# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-05 11:28:19
item,id,year,title,AU,SO,DE
0,WOS:000350920200007,2015,Assessing the impacts of climate change and dams on floodplain inundation and wetland connectivity in the wet-dry tropics of northern Australia,"Karim, Fazlul|Dutta, Dushmanta|Marvanek, Steve|Petheram, Cuan|Ticehurst, Catherine|Lerata, Julien|Kim, Shaun|Yang, Ang",JOURNAL OF HYDROLOGY,connectivity|floods|hydrodynamic modelling|mike 21|modis|ecology
1,WOS:000375746800019,2016,Energy budget increases reduce mean streamflow more than snow-rain transitions: using integrated modeling to isolate climate change impacts on Rocky Mountain hydrology,"Foster, Lauren M.|Bearup, Lindsay A.|Molotch, Noah P.|Brooks, Paul D.|Maxwell, Reed M.",ENVIRONMENTAL RESEARCH LETTERS,rocky mountains|climate change|integrated modeling|snow to rain transitions|energy budget|hydrology|precipitation phase
2,WOS:000395853600001,2017,"Integrated modeling approach for optimal management of water, energy and food security nexus","Zhang, Xiaodong|Vesselinov, Velimir V.",ADVANCES IN WATER RESOURCES,water-energy-food nexus|socioeconomic demands|environmental impacts|modeling|optimal management|ghg emission control
3,WOS:000424994700002,2017,Spatial analysis and simulation tools for groundwater management: the FREEWAT platform,"Rossetto, Rudy|De Filippis, Giovanna|Borsi, Iacopo|Foglia, Laura|Cannata, Massimiliano|Criollo, Rotman|Vasquez-Sune, Enric",ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER,freewat|gis|open source|participatory approach|groundwater management
4,WOS:000402663400190,2016,PCGEOFIM - Integrated Modelling of Mining specific Groundwater Dynamics and Soil Water Budget,"Blankenburg, Rene|Brckner, Friedemann|Ceranski, Helena|Mansel, Holger|Drebenstedt, C|Paul, M",MINING MEETS WATER - CONFLICTS AND SOLUTIONS,pcgeofim|arcegmo|groundwater|soil water budget|coupled modeling
5,WOS:000383466900009,2016,Analysis and integrated modelling of groundwater infiltration to sewer networks,"Thorndahl, Soren|Balling, Jonas Dueholm|Larsen, Uffe Bay Bogh",HYDROLOGICAL PROCESSES,groundwater infiltration|sewer networks|integrated modelling
6,WOS:000404087400070,2017,Integrated Modeling of Survival Data from Multiple Stressor Ecotoxicology Experiments,"Proctor, Abigael H.|King, Catherine K.|Holan, Jessica R.|Wotherspoon, Simon J.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
7,WOS:000395354400003,2017,Integrating a street-canyon model with a regional Gaussian dispersion model for improved characterisation of near-road air pollution,"Fallah-Shorshani, Masoud|Shekarrizfard, Maryam|Hatzopoulou, Marianne",ATMOSPHERIC ENVIRONMENT,dispersion modelling|street canyon|gaussian model|hybrid model|sirane|calpuff|traffic emissions
8,WOS:000436600400015,2015,The character and causes of flash flood occurrence changes in mountainous small basins of Southern California under projected climatic change,"Modrick, Theresa M.|Georgakakos, Konstantine P.",JOURNAL OF HYDROLOGY-REGIONAL STUDIES,flash flooding|climate change|soil moisture|precipitation|distributed hydrologic modeling
9,WOS:000383298800020,2016,Designing and implementing a multi-core capable integrated urban drainage modelling Toolkit:Lessons from CityDrain3,"Burger, Gregor|Bach, Peter M.|Urich, Christian|Leonhardt, Gunther|Kleidorfer, Manfred|Rauch, Wolfgang",ADVANCES IN ENGINEERING SOFTWARE,integrated urban drainage|modelling|simulation framework|object-oriented design|multi-core|parallel computing
