# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2019-01-31 11:21:20
item,id,year,title,AU,SO,DE
0,WOS:000284522700006,2010,Stochastic dynamic predictions using Gaussian process models for nanoparticle synthesis,"Hernandez, AF|Grover, MA",COMPUTERS & CHEMICAL ENGINEERING,gaussian process model dynamic systems modeling spatial statistics reduced-order model nanoparticle synthesis
1,WOS:000366787600010,2015,Estimating the fraction of absorbed photosynthetically active radiation from the MODIS data based GLASS leaf area index product,"Xiao, ZQ|Liang, SL|Sun, R|Wang, JD|Jiang, B",REMOTE SENSING OF ENVIRONMENT,glass products fapar lai validation
2,WOS:000298270300010,2011,Assessing the impacts of biodiversity offset policies,"Gordon, A|Langford, WT|Todd, JA|White, MD|Mullerworth, DW|Bekessy, SA",ENVIRONMENTAL MODELLING & SOFTWARE,policy modelling biodiversity offsets grassland habitat quality conservation planning global sensitivity analysis uncertainty
3,WOS:000314389800014,2013,Automatic classification of non-touching cereal grains in digital images using limited morphological and color features,"Mebatsion, HK|Paliwal, J|Jayas, DS",COMPUTERS AND ELECTRONICS IN AGRICULTURE,machine vision cereal grain classification automated discrimination
4,WOS:000253219900016,2008,"Plot scale continuous modelling of runoff in a maize cropping system with dynamic soil, surface properties","Laloy, E|Bielders, CL",JOURNAL OF HYDROLOGY,continuous runoff model physically-based wheel tracks cover crop
5,WOS:000086100100001,2000,Optimization of thermal processes using an Eulerian formulation and application in laser surface hardening,"Rajadhyaksha, SM|Michaleris, P",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,thermal finite element method upwinding eulerian laser-surfacing sensitivity optimization
6,WOS:000288886000004,2011,The role of measurement accuracy on the thermal environment assessment by means of PMV index,"Alfano, FRD|Palella, BI|Riccio, G",BUILDING AND ENVIRONMENT,thermal environment thermal comfort sensitivity analysis pmv
7,WOS:000266739300006,2009,Gradual conditioning of non-Gaussian transmissivity fields to flow and mass transport data: 2. Demonstration on a synthetic aquifer,"Llopis-Albert, C|Capilla, JE",JOURNAL OF HYDROLOGY,stochastic inversion gradual deformation mass transport secondary data non-gaussian
8,WOS:000321561700008,2013,Case Study of Simulation of Heat Export by Rainfall Runoff from a Small Urban Watershed Using MINUHET,"Janke, BD|Herb, WR|Mohseni, O|Stefan, HG",JOURNAL OF HYDROLOGIC ENGINEERING,thermal factors pollution stormwater management urban areas watersheds heat transfer rainfall runoff case studies simulation thermal pollution modeling stormwater urban watersheds hydrology heat transfer
9,WOS:000284253500010,2010,Artificial neural network and time series models for predicting soil salt and water content,"Zou, P|Yang, JS|Fu, JR|Liu, GM|Li, DS",AGRICULTURAL WATER MANAGEMENT,soil volumetric water content soil electrical conductivity back propagation neural network arima transfer function model
