# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2018-12-12 14:21:07
item,id,year,title,AU,SO,DE
0,WOS:000413161300001,2017,An advanced analytical neuro-space mapping technique with sensitivity analysis for transistor modeling,"Zhu, Lin|Liu, Kaihua|Liu, Wenyuan|Zhang, Qi-jun|Wu, Haifeng|Ma, Yongtao|Peng, Bo",INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,artificial neural networks|input|output mapping|neuro-sm|transistor modeling
1,WOS:000388155500001,2016,A fast uncertainty analysis for material nonlinear problems based on reanalysis and semi-analytic strategy,"Huang, Guanxin|Wang, Hu|Chen, Lei|Li, Enying|Li, Guangyao",ADVANCES IN ENGINEERING SOFTWARE,interval model|semi-analytic uncertainty analysis|pseudo elastic analysis|combined approximation
2,WOS:000338403000004,2014,A novel artificial neural networks assisted segmentation algorithm for discriminating almond nut and shell from background and shadow,"Teimouri, Nima|Omid, Mahmoud|Mollazade, Kaveh|Rajabipour, Ali",COMPUTERS AND ELECTRONICS IN AGRICULTURE,almond|artificial neural networks|color features|image processing|segmentation|sensitivity analysis
3,WOS:000339227500074,2014,Regional Assessment of CO2-Solubility Trapping Potential: A Case Study of the Coastal and Offshore Texas Miocene Interval,"Yang, Changbing|Trevino, Ramon H.|Zhang, Tongwei|Romanak, Katherine D.|Wallace, Kerstan|Lu, Jiemin|Mickler, Patrick J.|Hovorka, Susan D.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
4,WOS:000388183900033,2016,Efficient Sensor Placement for Leak Localization Considering Uncertainties,"Steffelbauer, David B.|Fuchs-Hanusch, Daniela",WATER RESOURCES MANAGEMENT,epanet2|cost functions|oopnet|uncertainty propagation
5,WOS:000374395100014,2016,Application of a soft computing technique in predicting the percentage of shear force carried by walls in a rectangular channel with non-homogeneous roughness,"Khozani, Zohreh Sheikh|Bonakdari, Hossein|Zaji, Amir Hossein",WATER SCIENCE AND TECHNOLOGY,genetic programming|open channel|roughness|shear
6,WOS:000403028500042,2017,Life cycle assessment of the hydrometallurgical zinc production chain in China,"Qi, Congcong|Ye, Liping|Ma, Xiaotian|Yang, Donglu|Hong, Jinglan",JOURNAL OF CLEANER PRODUCTION,environmental impact|national level|zinc ore mining|energy|heavy metal
7,WOS:000397004600057,2017,Effect of initial pH and pH-adjusted acid on nutrient recovery from hydrolysis urine by combining acidification with evaporation-crystallization,"Jiang, Shanqing|Wang, Xiaochang|Yang, Shengjiong|Shi, Honglei",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,nitrogenretention efficiency|acid consumption|volume reduction factor|crystallization|human urine|fertilizer
8,WOS:000357105903035,2013,Testing two simple pesticide runoff models in Northern Australian agriculture,"Anzooman, M.|Silburn, D. M.|Waters, D.|Craig, Ian|Piantadosi, J|Anderssen, RS|Boland, J",20TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2013),insecticide|herbicide|cotton|simulation modelling|howleaky
9,WOS:000357105900066,2013,Optimisation modelling for gas supply in Eastern Australia,"Plummer, J.|Schreider, S.|McInnes, D.|Piantadosi, J|Anderssen, RS|Boland, J",20TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2013),gas supply|linear programming|quadratic programming|network optimisation
