,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
0,WOS:000378360600010,2016,A comparison of five forest interception models using global sensitivity and uncertainty analysis,MIXED DECIDUOUS FOREST RAINFALL INTERCEPTION STORAGE CAPACITY BOREAL FOREST CANOPY THROUGHFALL VARIABILITY PINE COMMUNITIES PLANTATION,"Interception by the forest canopy plays a critical role in the hydrologic cycle by removing a significant portion of incoming precipitation from the terrestrial component. While there are a number of existing physical models of forest interception, few studies have summarized or compared these models. The objective of this work is to use global sensitivity and uncertainty analysis to compare five mechanistic interception models including the Rutter, Rutter Sparse, Gash, Sparse Gash, and Liu models. Using parameter probability distribution functions of values from the literature, our results show that on average storm duration [Dur], gross precipitation [PG], canopy storage [S] and solar radiation [Rn] are the most important model parameters. On the other hand, empirical parameters used in calculating evaporation and drip (i.e. trunk evaporation as a proportion of evaporation from the saturated canopy [e], the empirical drainage parameter [b], the drainage partitioning coefficient [pd], and the rate of water dripping from the canopy when canopy storage has been reached [Ds]) have relatively low levels of importance in interception modeling. As such, future modeling efforts should aim to decompose parameters that are the most influential in determining model outputs into easily measurable physical components. Because this study compares models, the choices regarding the parameter probability distribution functions are applied across models, which enables a more definitive ranking of model uncertainty.", (C) 2016 Elsevier B.V. All rights reserved.,"Linhoss, AC|Siegert, CM",JOURNAL OF HYDROLOGY,interception sensitivity analysis uncertainty analysis canopy storage capacity,10.1016/j.jhydrol.2016.04.011
1,WOS:000327904400058,2013,Greenhouse gas emissions during MSW landfilling in China: Influence of waste characteristics and LFG treatment measures,LABORATORY-SCALE LANDFILLS NITROUS-OXIDE EMISSIONS SUBSURFACE IRRIGATION MUNICIPAL LANDFILL METHANE EMISSIONS ENERGY PROJECTS COVER SOILS MANAGEMENT COMPONENTS INVENTORY,"Reducing greenhouse gas (GHG) emissions from municipal solid waste (MSW) treatment can be highly cost-effective in terms of GHG mitigation. This study investigated GHG emissions during MSW landfilling in China under four existing scenarios and in terms of seven different categories: waste collection and transportation, landfill management, leachate treatment, fugitive CH (FM) emissions, substitution of electricity production, carbon sequestration and NO and CO emissions. GHG emissions from simple sanitary landfilling technology where no landfill gas (LFG) extraction took place (Scenario ) were higher (- kg CO-eq-t(-)ww) than those from open dump (Scenario , - kg CO-eq.t(-)ww). This was due to the strictly anaerobic conditions in Scenario . LFG collection and treatment reduced GHG emissions to - kg CO-eq.t(-)ww in Scenario  (with LFG flare) and - kg CO-eq.t(-)ww in Scenario  (using LFG for electricity production). Amongst the seven categories, FM was the predominant contributor to GHG emissions. Global sensitivity analysis demonstrated that the parameters associated with waste characteristics (i.e. CH potential and carbon sequestered faction) and LFG management (i.e. LFG collection efficiency and CH oxidation efficiency) were of great importance. A further learning on the MSW in China indicated that water content and dry matter content of food waste were the basic factors affecting GHG emissions. Source separation of food waste, as well as increasing the incineration ratio of mixed collected MSW, could effectively mitigate the overall GHG emissions from landfilling in a specific city. To increase the LFG collection and CH oxidation efficiencies could considerably reduce GHG emissions on the landfill site level. While, the improvement in the LFG utilization measures had an insignificant impact as long as the LFG is recovered for energy generation. (C) ", Elsevier Ltd. All rights reserved.,"Yang, N|Zhang, H|Shao, LM|Lu, F|He, PJ",JOURNAL OF ENVIRONMENTAL MANAGEMENT,greenhouse gas emissions mitigation measures municipal solid waste landfilling waste characteristics landfill gas,10.1016/j.jenvman.2013.08.039
2,WOS:000209100000003,2011,ERROR AND UNCERTAINTY QUANTIFICATION AND SENSITIVITY ANALYSIS IN MECHANICS COMPUTATIONAL MODELS,,"Multiple sources of errors and uncertainty arise in mechanics computational models and contribute to the uncertainty in the final model prediction. This paper develops a systematic error quantification methodology for computational models. Some types of errors are deterministic, and some are stochastic. Appropriate procedures are developed to either correct the model prediction for deterministic errors or to account for the stochastic errors through sampling. First, input error, discretization error in finite element analysis (FEA), surrogate model error, and output measurement error are considered. Next, uncertainty quantification error, which arises due to the use of sampling-based methods, is also investigated. Model form error is estimated based on the comparison of corrected model prediction against physical observations and after accounting for solution approximation errors, uncertainty quantification errors, and experimental errors (input and output). Both local and global sensitivity measures are investigated to estimate and rank the contribution of each source of error to the uncertainty in the final result. Two numerical examples are used to demonstrate the proposed methodology by considering mechanical stress analysis and fatigue crack growth analysis.",,"Liang, B|Mahadevan, S",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,error quantification uncertainty quantification sensitivity analysis finite elements discretization surrogate model,10.1615/IntJUncertaintyQuantification.v1.i2.30
3,WOS:000362779900001,2015,Solving Civil Engineering Problems by Means of Fuzzy and Stochastic MCDM Methods: Current State and Future Research,MULTICRITERIA DECISION-MAKING ANALYTIC HIERARCHY PROCESS SENSITIVITY-ANALYSIS TECHNIQUES INTELLIGENT BUILDING SYSTEMS MULTIPLE CRITERIA HYBRID APPROACH RISK-ASSESSMENT EPISTEMIC UNCERTAINTY SUPPLIER SELECTION ATTRIBUTE WEIGHTS,"The present review examines decision-making methods developed for dealing with uncertainties and applied to solve problems of civil engineering. Several methodological difficulties emerging from uncertainty quantification in decision-making are identified. The review is focused on formal methods of multiple criteria decision-making (MCDM). Handling of uncertainty by means of fuzzy logic and probabilistic modelling is analysed in light of MCDM. A sensitivity analysis of MCDM problems with uncertainties is discussed. An application of stochastic MCDM methods to a design of safety critical objects of civil engineering is considered. Prospects of using MCDM under uncertainty in developing areas of civil engineering are discussed in brief. These areas are design of sustainable and energy efficient buildings, building information modelling, and assurance of security and safety of built property. It is stated that before long the decision-making in civil engineering may face several methodological problems: the need to combine fuzzy and probabilistic representations of uncertainties in one decision-making matrix, the necessity to extend a global sensitivity analysis to all input elements of a MCDM problem with uncertainties, and an application of MCDM methods in the areas of civil engineering where decision-making under uncertainty is presently not common.",,"Antucheviciene, J|Kala, Z|Marzouk, M|Vaidogas, ER",MATHEMATICAL PROBLEMS IN ENGINEERING,,10.1155/2015/362579
4,WOS:000334856200002,2014,Analytical solutions for anomalous dispersion transport,HIGHLY HETEROGENEOUS FORMATIONS NON-FICKIAN TRANSPORT MACRODISPERSION EXPERIMENT PARTICLE TRACKING POROUS-MEDIA 3-DIMENSIONAL AQUIFERS FRACTIONAL DISPERSION NUMERICAL SIMULATIONS CONTAMINANT TRANSPORT SENSITIVITY INDEXES,"Groundwater flow and transport often occur in a highly heterogeneous environment (potentially heterogeneous at multiple spatial scales) and is impacted by geochemical reactions, advection, diffusion, and other pore scale processes. All these factors can give rise to large-scale anomalous dispersive behavior that can make complex model representation and prediction of plume concentrations challenging due to difficulties unraveling all the complexities associated with the governing processes, flow medium, and their parameters. An alternative is to use upscaled stochastic models of anomalous dispersion, and this is the approach used here. Within a probabilistic framework, we derive a number of analytical solutions for several anomalous dispersion models. The anomalous dispersion models are allowed to be either non-Gaussian (alpha-stable Levy), correlated, or nonstationary from the Lagrangian perspective. A global sensitivity analysis is performed to gain a greater understanding of the extent to which uncertainty in the parameters associated with the anomalous behavior can be narrowed by examining concentration measurements from a network of monitoring wells and to demonstrate the computational speed of the solutions. The developed analytical solutions are encoded and available for use in the open source computational framework MADS (http://mads.lanl.gov).", Published by Elsevier Ltd.,"O'Malley, D|Vesselinov, VV",ADVANCES IN WATER RESOURCES,anomalous dispersion stochastic transport analytical solutions,10.1016/j.advwatres.2014.02.006
5,WOS:000290453200009,2011,50-Year Flood in the Lower Illinois River: Sensitivity of Spillway and Levee Failure Option Parameters in the UNET Model,GLOBAL SENSITIVITY,"The one-dimensional unsteady-state hydraulic model (UNET) was developed by the U. S. Army Corps of Engineers and has been used for flood protection in some large rivers. In its use for the real-time management of levee and drainage districts for flood protection, such as on the Mississippi River Basin, the required number of simulations for combinations of scenarios would present a great challenge for modelers to provide data for operational-mode decision making. The goal of this paper is to identify the most sensitive parameters for the spillway, simple levee failure, and complicated levee failure options in UNET so that simulations for real-time operation can focus on the most sensitive parameters without sacrificing much modeling accuracy. The sensitivity analysis was performed for the -year frequency flood in the lower Illinois River during which the Thompson Lake Levee and Drainage District or the Emiquon Area were used as temporary flood storage by using a state-of-the-art variance-based sensitivity analysis method-extended Fourier amplitude sensitivity test (FAST). The first-order and total-effect sensitivity indexes computed from the FAST method were used to evaluate the affect of the parameters to flood-peak reduction. As a result, the least and most sensitive variables for the spillway, simple levee failure, and complicated levee failure options in UNET were identified, and this knowledge helps significantly reduce the number of simulations for management scenarios by focusing on only the most sensitive parameters. DOI: ./(ASCE)HY.-..", (C) 2011 American Society of Civil Engineers.,"Lian, YQ|Wang, Y|Il Choi, H|Xie, H|Demissie, M",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,hydraulic model sensitivity analysis first-order index total-effect index illinois river levee failure flood control,10.1061/(ASCE)HY.1943-7900.0000333
6,WOS:000399674700039,2017,Monte Carlo simulation-aided analytical hierarchy process (AHP) for flood susceptibility mapping in Gabes Basin (southeastern Tunisia),FUZZY-LOGIC MULTICRITERIA EVALUATION SENSITIVITY-ANALYSIS SITE SELECTION UNCERTAINTY GIS MANAGEMENT SYSTEMS AREAS,"Flash floods are among the most severe hazards which have disastrous environmental, human, and economic impacts. This study is interested in the characterization of flood hazard in Gabes Catchment (southeastern Tunisia), considered as an important step for flood management in the region. Analytical hierarchy process (AHP) and geographic information system are applied to delineate and characterize flood areas. A spatial database was developed based on geological map, digital elevation model, land use, and rainfall data in order to evaluate the different factors susceptible to affect flood analysis. However, the uncertainties that are associated with AHP techniques may significantly impact the results. Flood susceptibility is analyzed as a function of weights using Monte Carlo (MC) simulation and Global sensitivity analysis. AHP and MC-AHP models gave similar results. However, compared to AHP approach, MC-AHP confidence intervals (%) of the overall scores had small overlaps. Results obtained were validated by remote sensing data for the zones that showed very high flood hazard during the extreme rainfall event of June  that hit the study basin.",,"Dahri, N|Abida, H",ENVIRONMENTAL EARTH SCIENCES,flood hazard analytical hierarchy process monte carlo simulation tunisia,10.1007/s12665-017-6619-4
7,WOS:000339100700007,2014,Hydrological impact and potential flooding of convective rain cells in a semi-arid environment,SPATIAL-TEMPORAL MODEL FLASH FLOODS CATCHMENT RESPONSE SOUTHERN ISRAEL VARIABILITY RUNOFF STORM IDENTIFICATION METHODOLOGY UNCERTAINTY,"Spatio-temporal storm properties have a large impact on catchment hydrological response. The sensitivity of simulated flash floods to convective rain-cell characteristics is examined for an extreme storm event over a  km() semi-arid catchment in southern Israel. High space-time resolution weather radar data were used to derive and model convective rain cells that then served as input into a hydrological model. Based on alterations of location, direction and speed of a major rain cell, identified as the flooding cell for this case, the impacts on catchment rainfall and generated flood were examined. Global sensitivity analysis was applied to identify the most important factors affecting the flash flood peak discharge at the catchment outlet. We found that the flood peak discharge could be increased three-fold by relatively small changes in rain-cell characteristics. We assessed that the maximum flash flood magnitude that this single rain cell can produce is  m()/s, and, taking into account the rest of the rain cells, the flash flood peak discharge can reach  m()/s.",,"Morin, E|Yakir, H",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,convective rain cells flash floods weather radar semi-arid climate space-time rain characteristics,10.1080/02626667.2013.841315
8,WOS:000340326100024,2014,Identifying sensitive sources and key control handles for the reduction of greenhouse gas emissions from wastewater treatment,AMMONIA-OXIDIZING BACTERIA NITROUS-OXIDE PRODUCTION TREATMENT-PLANT CONTROL CONTROL STRATEGIES MATHEMATICAL-MODELS OPTIMIZATION BENCHMARKING UNCERTAINTY SIMULATION GENERATION,"This research investigates the effects of adjusting control handle values on greenhouse gas emissions from wastewater treatment, and reveals critical control handles and sensitive emission sources for control through the combined use of local and global sensitivity analysis methods. The direction of change in emissions, effluent quality and operational cost resulting from variation of control handles individually is determined using one-factor-at-a-time sensitivity analysis, and corresponding trade-offs are identified. The contribution of each control handle to variance in model outputs, taking into account the effects of interactions, is then explored using a variance-based sensitivity analysis method, i.e., Sobol's method, and significant second order interactions are discovered. This knowledge will assist future control strategy development and aid an efficient design and optimisation process, as it provides a better understanding of the effects of control handles on key performance indicators and identifies those for which dynamic control has the greatest potential benefits. Sources with the greatest variance in emissions, and therefore the greatest need to monitor, are also identified. It is found that variance in total emissions is predominantly due to changes in direct NO emissions and selection of suitable values for wastage flow rate and aeration intensity in the final activated sludge reactor is of key importance. To improve effluent quality, costs and/or emissions, it is necessary to consider the effects of adjusting multiple control handles simultaneously and determine the optimum trade-off. (C) ", Elsevier Ltd. All rights reserved.,"Sweetapple, C|Fu, GT|Butler, D",WATER RESEARCH,greenhouse gas wastewater treatment operation control sensitivity,10.1016/j.watres.2014.06.002
9,WOS:000305374400002,2012,Global sensitivity analysis of the BSM2 dynamic influent disturbance scenario generator,WASTE-WATER TREATMENT PERFORMANCE EVALUATION SIMULATION BENCHMARK UNCERTAINTY SYSTEMS METHODOLOGY,"This paper presents the results of a global sensitivity analysis (GSA) of a phenomenological model that generates dynamic wastewater treatment plant (WWTP) influent disturbance scenarios. This influent model is part of the Benchmark Simulation Model (BSM) family and creates realistic dry/wet weather files describing diurnal, weekend and seasonal variations through the combination of different generic model blocks, i.e. households, industry, rainfall and infiltration. The GSA is carried out by combining Monte Carlo simulations and standardized regression coefficients (SRC). Cluster analysis is then applied, classifying the influence of the model parameters into strong, medium and weak. The results show that the method is able to decompose the variance of the model predictions (R- > .) satisfactorily, thus identifying the model parameters with strongest impact on several flow rate descriptors calculated at different time resolutions. Catchment size (PE) and the production of wastewater per person equivalent (QperPE) are two parameters that strongly influence the yearly average dry weather flow rate and its variability. Wet weather conditions are mainly affected by three parameters: () the probability of occurrence of a rain event (Llrain); () the catchment size, incorporated in the model as a parameter representing the conversion from mm rain . day(-) to m() . day(-) (Qpermm); and, () the quantity of rain falling on permeable areas (aH). The case study also shows that in both dry and wet weather conditions the SRC ranking changes when the time scale of the analysis is modified, thus demonstrating the potential to identify the effect of the model parameters on the fast/medium/slow dynamics of the flow rate. The paper ends with a discussion on the interpretation of GSA results and of the advantages of using synthetic dynamic flow rate data for WWTP influent scenario generation. This section also includes general suggestions on how to use the proposed methodology to any influent generator to adapt the created time series to a modeller's demands.",,"Flores-Alsina, X|Gernaey, KV|Jeppsson, U",WATER SCIENCE AND TECHNOLOGY,activated sludge modelling benchmarking bsm influent modelling monte carlo simulations standardized regression coefficients (src),10.2166/wst.2012.089
