,year,title,copyright,AU,SO
0,2013,Temporal and spatial variation in recent vehicular emission inventories in China based on dynamic emission factors,,"Cai, H|Xie, SD",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
7,2012,A direct differentiation formulation of electromechanical sensitivity analysis for rough surfaces in contact,,"Rauchs, G",COMPUTATIONAL MECHANICS
16,2012,A carbon emission analysis model for electronics manufacturing process based on value-stream mapping and sensitivity analysis,,"Li, HC|Cao, HJ|Pan, XY",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING
30,2000,Sensitivity analysis and other improvements to tailored combinatorial library design,,"Martin, E|Wong, A",JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCES
36,2006,A response-modeling approach to global optimization and OUU,,"Rutherford, B",OPTIMIZATION AND ENGINEERING
44,2000,Exposure efficiency: Concept and application to perchloroethylene exposure from dry cleaners,,"Evans, JS|Thompson, KM|Hattis, D",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
46,2004,Comparison of single-domain and dual-domain subsurface transport models,,"Flach, GP|Crisman, SA|Molz, FJ",GROUND WATER
62,2002,Survey of approaches to improve reliability in LCA,,"Bjorklund, AE",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
65,2014,Development of a chemical kinetic model for a biosolids fluidized-bed gasifier and the effects of operating parameters on syngas quality,,"Champion, WM|Cooper, CD|Mackie, KR|Cairney, P",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
73,2010,Optimal selection of robots by using distance based approach method, Elsevier Ltd. All rights reserved.,"Kumar, R|Garg, RK",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING
84,2001,Shape sensitivity analysis in mixed-mode fracture mechanics,,"Chen, G|Rahman, S|Park, YH",COMPUTATIONAL MECHANICS
88,2015,"Parameter Ranking System of Indoor Radon Concentration in South Korea, Case Studies: Dokdo Island, Yang Pyeong and Nae Gi",,"Sedighian, S|Kim, SH|Cho, SY|Kim, MJ|Kim, DH|Cha, DW",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH
91,2016,Carbon footprint of sugar production in Mexico, Elsevier Ltd. All rights reserved.,"Garcia, CA|Garcia-Trevino, ES|Aguilar-Rivera, N|Armendariz, C",JOURNAL OF CLEANER PRODUCTION
99,2017,Intra-and inter-year variability of agricultural carbon footprints - A case study on field-grown tomatoes, Elsevier Ltd. All rights reserved.,"Clavreul, J|Butnar, I|Rubio, V|King, H",JOURNAL OF CLEANER PRODUCTION
101,2010,Opportunistic versus life-cycle-oriented decision making in multi-loop recovery: an eco-eco study on disposed vehicles,,"Krikke, H",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
102,2015,Energy Use and Greenhouse Gas Emissions of Air-Source Heat Pump and Innovative Ground-Source Air Heat Pump in a Cold Climate,,"Mattinen, MK|Nissinen, A|Hyysalo, S|Juntunen, JK",JOURNAL OF INDUSTRIAL ECOLOGY
104,2017,Environmental impact assessment of different end-of-life LCD management strategies, Elsevier Ltd. All rights reserved.,"Amato, A|Rocchetti, L|Beolchini, F",WASTE MANAGEMENT
106,2001,"A perishable inventory system with modified (S-1,S) policy and arbitrary processing times",,"Kalpakam, S|Shanthi, S",COMPUTERS & OPERATIONS RESEARCH
109,2009,Estimating the consequences for projections of river discharges resulting from uncertainties in climate-change modelling - Analysis of an application of a multi-model ensemble in the catchment of the River Rhine,,"Krahe, P|Nilson, E|Carambia, M|Maurer, T|Tomassini, L|Bulow, K|Jacob, D|Moser, H",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG
112,2017,A new three-dimensional topology optimization method based on moving morphable components (MMCs),,"Zhang, WS|Li, D|Yuan, J|Song, JF|Guo, X",COMPUTATIONAL MECHANICS
133,2010,Life cycle assessment of Australian sugarcane production with a focus on sugarcane growing,,"Renouf, MA|Wegener, MK|Pagan, RJ",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
141,2014,An uncertainty analysis of mean flow velocity measurements used to quantify emissions from stationary sources,,"Bryant, R|Sanni, O|Moore, E|Bundy, M|Johnson, A",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
145,2016,Uncertainty analysis for measuring greenhouse gas emissions in the building construction phase: a case study in China, Elsevier Ltd. All rights reserved.,"Hong, JK|Shen, GQ|Peng, Y|Feng, Y|Mao, C",JOURNAL OF CLEANER PRODUCTION
155,2011,Life cycle assessment of coated white board: a case study in China, Elsevier Ltd. All rights reserved.,"Cui, ZJ|Hou, YN|Hong, JL|Ismail, ZZ",JOURNAL OF CLEANER PRODUCTION
156,2017,Greenhouse gas emissions from municipal solid waste with a high organic fraction under different management scenarios, Elsevier Ltd. All rights reserved.,"Liu, YL|Ni, Z|Kong, X|Liu, JG",JOURNAL OF CLEANER PRODUCTION
159,2017,Life cycle assessment of the environmental influence of wooden and concrete utility poles based on service lifetime,,"Souza, HHD|Lima, AMF|Esquerre, KO|Kiperstok, A",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
160,2003,A multi-warehouse inventory model for items with time-varying demand and shortages,,"Zhou, YW",COMPUTERS & OPERATIONS RESEARCH
176,2015,Life cycle analysis of incineration compared to anaerobic digestion followed by composting for managing organic waste: the influence of system components for an Italian district,,"Di Maria, F|Micale, C",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
181,2014,A fuzzy logic based aggregation method for life cycle impact assessment, Elsevier Ltd. All rights reserved.,"Afrinaldi, F|Zhang, HC",JOURNAL OF CLEANER PRODUCTION
185,2010,On the impact of the time increment on sensitivity analysis during the elastic-to-viscoplastic transition in metals,,"Rauchs, G|Ponthot, JP",COMPUTATIONAL MECHANICS
199,2012,Evaluating the performance of the horizontal radial plume mapping technique for locating multiple plumes,,"Chang, SY|Wu, CF",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
205,2017,Multi-products productions from Malaysian oil palm empty fruit bunch (EFB): Analyzing economic potentials from the optimal biomass supply chain, Elsevier Ltd. All rights reserved.,"Abdulrazik, A|Elsholkami, M|Elkamel, A|Simon, L",JOURNAL OF CLEANER PRODUCTION
219,2006,Sensitivity analysis of steel moment frames accounting for geometric and material nonlinearity, Elsevier Ltd. All rights reserved.,"Gong, YL|Xu, L|Grierson, DE",COMPUTERS & STRUCTURES
222,2003,Quantifying Ephemeral Streambed Infiltration from Downhole Temperature Measurements Collected Before and After Streamflow,,"Dowman, VCE|Ferre, TPA|Hoffmann, JP|Rucker, DF|Callegary, JB",VADOSE ZONE JOURNAL
233,2006,Numerical approaches for collaborative data processing,,"Seiler, P|Frenklach, M|Packard, A|Feeley, R",OPTIMIZATION AND ENGINEERING
239,2012,Including N2O in ozone depletion models for LCA,,"Lane, J|Lant, P",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
241,2015,Uncertainty analysis in the financial assessment of an integrated management system for restaurant and catering waste in Spain,,"Escobar, N|Ribal, J|Clemente, G|Rodrigo, A|Pascual, A|Sanjuan, N",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
242,2009,The Influence of Land Use Change on Chemical and Biological Properties of Steppe Soils in Northern China,,"Guo, YJ|Ni, Y|Han, JG",ARID LAND RESEARCH AND MANAGEMENT
249,2014,Life cycle assessment of commodity chemical production from forest residue via fast pyrolysis,,"Zhang, YA|Hu, GP|Brown, RC",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
251,2016,LIFE CYCLE ASSESSMENT OF THE STRAW MUSHROOM PRODUCTION,,"Usubharatana, P|Phungrassami, H",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH
253,2008,EPA Supersites Program-related emissions-based particulate matter modeling: Initial applications and advances,,"Russell, AG",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
264,2002,Modelling the transmission dynamics of Ross River virus in Southwestern Australia,,"Choi, YH|Comiskey, C|Lindsay, MDA|Cross, JA|Anderson, M",IMA JOURNAL OF MATHEMATICS APPLIED IN MEDICINE AND BIOLOGY
265,2015,Municipal solid waste management health risk assessment from air emissions for China by applying life cycle analysis,,"Li, H|Nitivattananon, V|Li, P",WASTE MANAGEMENT & RESEARCH
268,2001,Identification of model structure for aquatic ecosystems using regionalized sensitivity analysis,,"Osidele, OO|Beck, MB",WATER SCIENCE AND TECHNOLOGY
280,2017,Life cycle assessment of natural and mixed recycled aggregate production in Brazil, Elsevier Ltd. All rights reserved.,"Rosado, LP|Vitale, P|Penteado, CSG|Arena, U",JOURNAL OF CLEANER PRODUCTION
281,2017,Evaluating oat cultivars for dairy forage production in the central Kenyan highlands,,"Mwendia, SW|Maass, BL|Njenga, DG|Nyakundi, FN|Notenbaert, AMO",AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE
285,2013,Regional importance effect analysis of the input variables on failure probability, Elsevier Ltd. All rights reserved.,"Li, LY|Lu, ZZ",COMPUTERS & STRUCTURES
286,2008,SUPPLY CHAIN PARTNERSHIP FOR THREE-ECHELON DETERIORATING INVENTORY MODEL,,"Yu, JCP|Wee, HM|Wang, KJ",JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION
289,2008,Probabilistic Collocation used in a Two-Step approach for efficient uncertainty quantification in computational fluid dynamics,,"Loeven, GJA|Bijl, H",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
309,2014,Goal-oriented updating of mechanical models using the adjoint framework,,"Chamoin, L|Ladeveze, P|Waeytens, J",COMPUTATIONAL MECHANICS
310,2007,Life cycle assessment of a pyrolysis/gasification plant for hazardous paint waste,,"Saft, RJ",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
314,2017,Assessing greenhouse gas emissions of milk production: which parameters are essential?,,"Wolf, P|Groen, EA|Berg, W|Prochnow, A|Bokkers, EAM|Heijungs, R|de Boer, IJM",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
324,2006,Life cycle assessment of wood floor coverings - A representative study for the German flooring industry,,"Nebel, B|Zimmer, B|Wegener, G",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
326,2008,A sensitivity analysis of typical life insurance contracts with respect to the technical basis, (C) 2007 Elsevier B.V. All rights reserved.,"Christiansen, MC",INSURANCE MATHEMATICS & ECONOMICS
329,2001,Sensitivity analysis and evaluation of MicroFacCO: A microscale motor vehicle emission factor model for CO emissions,,"Singh, RB|Huber, AH",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
330,2002,Flexibility Analysis of Chemical Processes: Selected Global Optimization Sub-Problems,,"Ostrovski, GM|Achenie, LEK|Karalapakkam, AM|Volin, YM",OPTIMIZATION AND ENGINEERING
340,2016,Valuation of guaranteed minimum maturity benefits in variable annuities with surrender options, (C) 2016 Elsevier B.V. All rights reserved.,"Shen, Y|Sherris, M|Ziveyi, J",INSURANCE MATHEMATICS & ECONOMICS
342,2009,Life cycle assessment of Australian automotive door skins,,"Puri, P|Compston, P|Pantano, V",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
345,2017,Uncertainty quantification for engineering design,,"Ghanem, R|Du, XP",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING
372,2011,Life cycle assessment of milk produced in two smallholder dairy systems in the highlands and the coast of Peru, Elsevier Ltd. All rights reserved.,"Bartl, K|Gomez, CA|Nemecek, T",JOURNAL OF CLEANER PRODUCTION
404,2016,Environmental benefits of remanufacturing: A case study of cylinder heads remanufactured through laser cladding, Elsevier Ltd. All rights reserved.,"Liu, ZC|Jiang, QH|Li, T|Dong, SY|Yan, SX|Zhang, HC|Xu, BS",JOURNAL OF CLEANER PRODUCTION
419,2013,Behavior of PCDD/Fs during open burning of municipal solid waste in open dumping sites,,"Bastian, L|Yano, J|Hirai, Y|Sakai, S",JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT
439,2014,Uncertainty and spatial variability in characterization factors for aquatic acidification at the global scale,,"Roy, PO|Deschenes, L|Margni, M",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
445,2013,Individual post-retirement longevity risk management under systematic mortality risk, (c) 2012 Elsevier B.V. All rights reserved.,"Hanewald, K|Piggott, J|Sherris, M",INSURANCE MATHEMATICS & ECONOMICS
453,2004,Sensitivity analysis for output performance measures in long-range dependent queueing system, Elsevier Ltd. All rights reserved.,"Sohn, SY|Lee, SH",COMPUTERS & OPERATIONS RESEARCH
466,2009,Modified heat of hydration and strength models for concrete containing fly ash and slag,,"Ge, Z|Wang, KJ",COMPUTERS AND CONCRETE
467,2010,Analyses of location-price game on networks with stochastic customer behavior and its heuristic algorithm,,"Lu, XS|Li, JA|Yang, FM",JOURNAL OF SYSTEMS SCIENCE & COMPLEXITY
475,2010,Influence of an experimental Trypanosoma congolense infection on the reproductive function of Djallonke and Sahelian rams in subhumid zone.,,"Sangare, M|Bengaly, Z|Marichatou, H|Toguyeni, A|Tamboura, HH",BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT
