,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
0,WOS:000303583800015,2012,Global sensitivity analysis in an ocean general circulation model: a sparse spectral projection approach,POLYNOMIAL CHAOS UNCERTAINTY QUANTIFICATION DIFFERENTIAL-EQUATIONS VERTICAL COORDINATE CHEMICAL-SYSTEMS FLOW SIMULATIONS SMOLYAK CUBATURE BOUNDARY-LAYER MOMENTUM FLUX HYCOM,"Polynomial chaos (PC) expansions are used to propagate parametric uncertainties in ocean global circulation model. The computations focus on short-time, high-resolution simulations of the Gulf of Mexico, using the hybrid coordinate ocean model, with wind stresses corresponding to hurricane Ivan. A sparse quadrature approach is used to determine the PC coefficients which provides a detailed representation of the stochastic model response. The quality of the PC representation is first examined through a systematic refinement of the number of resolution levels. The PC representation of the stochastic model response is then utilized to compute distributions of quantities of interest (QoIs) and to analyze the local and global sensitivity of these QoIs to uncertain parameters. Conclusions are finally drawn regarding limitations of local perturbations and variance-based assessment and concerning potential application of the present methodology to inverse problems and to uncertainty management.",,"Alexanderian, A|Winokur, J|Sraj, I|Srinivasan, A|Iskandarani, M|Thacker, WC|Knio, OM",COMPUTATIONAL GEOSCIENCES,ocean circulation model parametric uncertainty sensitivity analysis polynomial chaos sparse quadrature,10.1007/s10596-012-9286-2
1,WOS:000289184600016,2011,Study on Lake Izvorul Muntelui rehabilitation,EUTROPHICATION MODEL SENSITIVITY-ANALYSIS WATER-QUALITY CALIBRATION RESERVOIRS PREDICTION DYNAMICS,"In the actual economical and ecological context the rehabilitation of aquatic ecosystems represents one of the most important concerns all over the world. The physical, chemical and biological processes that take place inside a lake are very complex. A simple analysis of the field data is not enough. Even if those dates offers an appreciation of the global functioning of the ecosystem under the influence of certain factors, it does not allow to predict the system evolution, the optimization of the water arrangement, in order to respect and to assure the water quality criteria or to propose solutions for diminishing the lakes eutrophication. In the recent years. Lake Izvorul Muntelui, which is the largest artificial lake on the interior waters of Romania, experienced eutrophication problems. This paper analyzes the apparition condition, its effects onto water quality in the lake and the solutions for the rehabilitation of the ecosystem. Since systematic measured data are not available for this ecosystem, the mathematical modelling it is used. The simulation is done by considering the ecosystem dynamic and the stipulation of the spatial and temporal variation domains for the natural processes to appear and act onto perturbation factors to modify the ecological succession. Thus, different scenarios will be created allowing us to offer solutions for the eutrophication phenomenon and, in the same time, to identify solutions for the rehabilitation of the Izvorul Muntelui Lake.", (C) 2010 Elsevier B.V. All rights reserved.,"Dumitran, GE|Vuta, LI",SIMULATION MODELLING PRACTICE AND THEORY,aquatic ecosystem eutrophication rehabilitation water quality water body model limnology,10.1016/j.simpat.2010.05.008
2,WOS:000246360400034,2007,"Potential of Borago officinalis, Sinapis alba L. and Phacelia boratus for Phytoextraction of Cd and Pb from Soil",CONTAMINATED SOILS INDIAN MUSTARD THLASPI-CAERULESCENS LEAD PHYTOEXTRACTION NICOTIANA-TABACUM HEAVY-METALS ZEA-MAYS PHYTOREMEDIATION ACCUMULATION ZINC,"Heavy metal phytoextraction is a soil remediation technique, which makes use of plants in removing contamination from soil. The plants must thus be tolerant to heavy metals, adaptable to soil and climate characteristics, and able to take up large amounts of heavy metals. Most of the high biomass productive plants such as, maize, oat and sunflower are plants, which do not grow in cold climates or need intensive care. In this study three '' weed '' plants, Borago officinalis; Sinapis alba L. and Phacelia boratus were investigated for their ability to tolerate and accumulate high amounts of Cd and Pb. Pot experiments were performed with soil containing Cd and Pb at concentrations of up to  mg kg(-) and , mg kg(-) respectively. All three plants showed high levels of tolerance. Borago officinalis; and Sinapis alba L. accumulated  mg kg(-) and  mg kg(-) Cd, respectively at the highest Cd spiked soil concentration. Phacelia boratus reached a Cd concentration of  mg kg(-) at a Cd soil concentration of  mg kg(-). In the case of Pb, B. officinalis and S. alba L. displayed Pb concentrations of  mg kg(-) and  mg kg(-), respectively at the highest Pb spiked soil concentration. Although the Pb uptake in P. boratus reached up to  mg kg(-) at a Pb spiked soil concentration of , mg kg(-), it is not suitable for phytoextraction because of its too low biomass.",,"Evangelou, MWH|Kutschinski-Kloss, S|Ebel, M|Schaeffer, A",WATER AIR AND SOIL POLLUTION,borago officinalis heavy metals phacelia boratus phytoextraction sinapis alba l,10.1007/s11270-007-9351-y
3,WOS:000358045500003,2015,Global Sensitivity-Based Model Updating for Heritage Structures,GENETIC ALGORITHMS PARAMETER-IDENTIFICATION SYSTEM-IDENTIFICATION DAMAGE DETECTION OPTIMIZATION BEHAVIOR NETWORK DESIGN BRIDGE,"Sensitivity-based approaches to model updating have become widely used because of their capability to calibrate the model by taking into account the influence of updating parameters associated to different structural elements. Global sensitivity analysis (SA) allows model updating to be carried out even in the case of elevated uncertainty about the material characteristics. Architectural heritage structures deserve specific attention on account of their intrinsic geometrical complexity and heterogeneity. In this article, the concept of global SA is applied for the first time to complex monumental structures, and a comparative view is offered on more classical local sensitivity approaches. Different finite element (FE) calibration techniquesvia global and local SAwere applied to the intriguing case of the church of S. Maria del Suffragio in L'Aquila (Italy), severely damaged by the  earthquake. The FE updating was based on experimental data acquired by a dynamic monitoring system. Finally, calibration strategies were assessed through time history analyses by comparing the responses to the recorded seismic event.",,"Boscato, G|Russo, S|Ceravolo, R|Fragonara, LZ",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,10.1111/mice.12138
4,WOS:000188231600001,2002,Remediation of ammonium-contaminated abandoned animal waste lagoon soil: Physical properties and growth of barley,CHEMICAL-PROPERTIES FORAGE WATER,"Remediation of the soil beneath closed animal waste lagoons is an important issue, particularly for lagoons in environmentally sensitive regions. Few studies address the possibility of using plants to remediate these soils. The objectives of this research were to determine whether barley (Hordeum vulgare L.), a salt-tolerant crop, would grow in lagoon soil and to determine the effect of plant residue amendments on barley growth and soil physical properties. The lagoon soil was collected from a closed swine lagoon. Oat-straw and corn-cob residues were added at rates of  (control), , , , , and  g/kg lagoon soil. Barley grew in all soils, including the soil with no residues. Average grain yield of plants in pots with oat straw was more than twice that of plants in pots with corn cobs (. g/pot and . g/pot, respectively). Bulk density and oxygen diffusion rate decreased with increasing amounts of residue in the soil. Infiltration was lower in pots with oat straw than in pots with corn cobs. Irrigation water moved rapidly through macropores visible in the soil with corn cobs. The soil amended with corn cobs retained less water, causing poor growth of the barley. The results showed that corn-cob residue created preferential flow paths in the lagoon soil.",,"Liphadzi, MS|Kirkham, MB|Mankin, KR",SOIL & SEDIMENT CONTAMINATION,,10.1080/20025891107096
5,WOS:000087885500003,2000,Buckling design optimization of complex built-up structures with shape and size variables,SENSITIVITY ANALYSIS,"The design optimization of buckling behaviour is studied for complex built-up structures composed of various kinds of elements and implemented within JIFEX, a general-purpose software for finite element analysis and design optimization. The direct and adjoint methods of sensitivity analysis for critical buckling loads are presented with detailed computational procedures. Particularly, the variations of prebuckling stresses and external loads have been accounted, for. The design model and solution methods presented in this paper are available for both shape and size optimization, and buckling optimization can also be combined with static, frequency and dynamic response optimization. The numerical examples show the applications of the buckling optimization method and the effectiveness of the methods and the program of this paper.",,"Gu, YX|Zhao, GZ|Zhang, HW|Kang, Z|Grandhi, RV",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,shape optimization size optimization buckling natural frequency dynamic response built-up structures,10.1007/s001580050101
6,WOS:000245682100003,2007,Fodder production and soil health with conjunctive use of saline and good quality water in ustipsamments of a semi-arid region,IRRIGATION,"Food and fodder shortage in and and semi-arid regions force farmers to use marginal quality water for meeting the water requirement of crops which result in low quality, reduced production and an adverse impact on soil properties. A field study on loamy-sand (Hyperthermic Typic Ustipsamments) saline soil was conducted during - at Central Institute for Research on Buffaloes, Hisar. This involved assessment of effects of conjunctive use of saline water, EC = .-.dSm(-), SAR = - (mmol(-))(/) with good quality water on five fodder crop rotations: oat-sorghum (Avena sativa-Sorghum bicolor), rye grass-sorghum (Loleum rigidum-Sorghum bicolor), Egyptian clover-sorghum (Trifoleum alexandrinum-Sorghum bicolor), Persian clover-sorghum (Trifoleum resupinatum-Sorghum bicolor) and Indian clover-sorghum (Melilotus indica-Sorghum bicolor) and certain soil properties associated with it. Leguminous winter fodder crops were more sensitive to poor quality water use. Reductions in fodder yield with use of saline water alone throughout season were , , , ,  and  per cent in Indian clover, Egyptian clover, Persian clover, oat, rye grass and sorghum respectively as compared to good quality water. Leguminous fodder crops produced protein rich (- per cent) and low fibre (- per cent) fodder as compared to poor quality grassy fodder under good quality water irrigation but their quality deteriorated when saline water was used. These leguminous crops accumulated proportionately higher Na+ (. percent) resulting in adverse impact on their growth as compared to grassy fodder crops. Higher soil salinity (. dSm(-)), SAR =  (mmol(-))(/) was recorded with saline water irrigation; and slight adverse impact was noticed on infiltration rate and contents of water dispersible clay. Alternate cyclic use of canal and saline water could be an option for fodder production under such conditions."," Copyright (c) 2006 John Wiley & Sons, Ltd.","Yadav, RK|Singh, SP|Lal, D|Kumar, A",LAND DEGRADATION & DEVELOPMENT,fodder production saline irrigation water dispersible clay infiltration rate loamy-sand sodium adsorption ratio (sar) proximate quality semi-arid india,10.1002/ldr.776
7,WOS:000382262400005,2016,REFINED LATINIZED STRATIFIED SAMPLING: A ROBUST SEQUENTIAL SAMPLE SIZE EXTENSION METHODOLOGY FOR HIGH-DIMENSIONAL LATIN HYPERCUBE AND STRATIFIED DESIGNS,RELIABILITY-ANALYSIS INPUT VARIABLES UNCERTAINTY,"A robust sequential sampling method, refined latinized stratified sampling, for simulation-based uncertainty quantification and reliability analysis is proposed. The method combines the benefits of the two leading approaches, hierarchical Latin hypercube sampling (HLHS) and refined stratified sampling, to produce a method that significantly reduces the variance of statistical estimators for very high-dimensional problems. The method works by hierarchically creating sample designs that are both Latin and stratified. The intermediate sample designs are then produced using the refined stratified sampling method. This causes statistical estimates to converge at rates that are equal to or better than HLHS while affording maximal flexibility in sample size extension (one-at-a-time or n-at-a-time sampling are possible) that does not exist in HLHS-which grows the sample size exponentially. The properties of the method are highlighted for several very high-dimensional problems, demonstrating the method has the distinct benefit of rapid convergence for transformations of all kinds.",,"Shields, MD",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,uncertainty quantification monte carlo simulation stratified sampling latin hypercube sampling sample size extension,10.1615/Int.J.UncertaintyQuantification.2016011333
8,WOS:000411534700023,2017,An interval algorithm for sensitivity analysis of coupled vibro-acoustic systems,BUT-BOUNDED PARAMETERS DIRECT DIFFERENTIATION METHOD STRUCTURAL-ACOUSTIC PROBLEMS ENERGY FINITE-ELEMENT DESIGN SENSITIVITY FIELD PREDICTION RADIATED NOISE OPTIMIZATION UNCERTAINTY MODEL,"Sensitivity analysis is a vital part in the optimization design of coupled vibro-acoustic systems. A new interval sensitivity-analysis method for vibro-acoustic systems is proposed in this paper. This method relies on only interval perturbation analysis instead of partial derivatives and difference operations. For strongly nonlinear systems, in particular, this methodology requires parameter variation over narrower ranges in comparison with other methods. To implement sensitivity analysis based on this method, the interval ranges of the responses of the vibro-acoustic system with interval parameters should first be obtained. Therefore, an interval perturbation-analysis method is presented for obtaining the interval bounds of the sound-pressure responses of a coupled vibro-acoustic system with interval parameters. The interval perturbation method is then compared with the Monte Carlo method, which can be taken as the benchmark for comparative accuracy. Two numerical examples involving sensitivity analysis of vibro-acoustic systems illustrate the feasibility and effectiveness of the proposed interval-based method.", (C) 2017 Elsevier Inc. All rights reserved.,"Li, YL|Wang, XJ|Zhang, HH|Chen, XJ|Xu, MH|Wang, C",APPLIED MATHEMATICAL MODELLING,sensitivity analysis interval perturbation method vibro-acoustic system interval algorithm design optimization,10.1016/j.apm.2017.05.045
9,WOS:000263441100011,2009,Numerical analysis of water and solute transport in variably-saturated fractured clayey till,PREFERENTIAL FLOW POROUS-MEDIA HYDRAULIC CONDUCTIVITY ARTIFICIAL MACROPORES PESTICIDE TRANSPORT PULSE FLOW FIELD SOILS FILM MOVEMENT,"This study numerically investigates the influence of initial water content and rain intensities on the preferential migration of two fluorescent tracers, Acid Yellow  (AY) and Sulforhodamine B (SB), through variably-saturated fractured clayey till. The simulations are based on the numerical model HydroGeoSphere, which solves D variably-saturated flow and solute transport in discretely-fractured porous media. Using detailed knowledge of the matrix, fracture, and biopore properties, the numerical model is calibrated and validated against experimental high-resolution tracer images/data collected under dry and wet soil conditions and for three different rain events. The model could reproduce reasonably well the observed preferential migration of AY and SB through the fractured till, although it did not capture the exact depth of migration and the negligible impact of the dead-end biopores in a near-saturated matrix. A sensitivity analysis suggests fast flow mechanisms and dynamic surface coating in the biopores, and the presence of a plough pan in the till.", (C) 2008 Elsevier B.V. All rights reserved,"Rosenbom, AE|Therrien, R|Refsgaard, JC|Jensen, KH|Ernstsen, V|Klint, KES",JOURNAL OF CONTAMINANT HYDROLOGY,hydrogeosphere preferential flow fluorescence tracer fracture biopore clayey till,10.1016/j.jconhyd.2008.09.001
