,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
0,WOS:000367774700005,2015,Chaospy: An open source tool for designing methods of uncertainty quantification,,"The paper describes the philosophy, design, functionality, and usage of the Python software toolbox Chaospy for performing uncertainty quantification via polynomial chaos expansions and Monte Carlo simulation. The paper compares Chaospy to similar packages and demonstrates a stronger focus on defining reusable software building blocks that can easily be assembled to construct new, tailored algorithms for uncertainty quantification. For example, a Chaospy user can in a few lines of high-level computer code define custom distributions, polynomials, integration rules, sampling schemes, and statistical metrics for uncertainty analysis. In addition, the software introduces some novel methodological advances, like a framework for computing Rosenblatt transformations and a new approach for creating polynomial chaos expansions with dependent stochastic variables. (C)  The Authors.", Published by Elsevier B.V.,"Feinberg, Jonathan|Langtangen, Hans Petter",JOURNAL OF COMPUTATIONAL SCIENCE,uncertainty quantification|polynomial chaos expansions|monte carlo simulation|rosenblatt transformations|python package,10.1016/j.jocs.2015.08.008
1,WOS:000374807600014,2016,Towards uncertainty quantification and parameter estimation for Earth system models in a component-based modeling framework,EQUIFINALITY,"Component-based modeling frameworks make it easier for users to access, configure, couple, run and test numerical models. However, they do not typically provide tools for uncertainty quantification or data-based model verification and calibration. To better address these important issues, modeling frameworks should be integrated with existing, general-purpose toolkits for optimization, parameter estimation and uncertainty quantification. This paper identifies and then examines the key issues that must be addressed in order to make a component-based modeling framework interoperable with general-purpose packages for model analysis. As a motivating example, one of these packages, DAKOTA, is applied to a representative but nontrivial surface process problem of comparing two models for the longitudinal elevation profile of a river to observational data. Results from a new mathematical analysis of the resulting nonlinear least squares problem are given and then compared to results from several different optimization algorithms in DAKOTA. (C) ", Elsevier Ltd. All rights reserved.,"Peckham, Scott D.|Kelbert, Anna|Hill, Mary C.|Hutton, Eric W. H.",COMPUTERS & GEOSCIENCES,model uncertainty|modeling frameworks|component-based modeling|optimization|inverse problems|nonlinear least squares|parameter estimation|longitudinal river elevation profiles,10.1016/j.cageo.2016.03.005
2,WOS:000240794000013,2006,Sensitivity analysis of differential-algebraic equations and partial differential equations,ADAPTIVE MESH REFINEMENT|SYSTEMS|SOFTWARE|OPTIMIZATION|ALGORITHMS,"Sensitivity analysis generates essential information for model development, design optimization, parameter estimation, optimal control, model reduction and experimental design. In this paper we describe the forward and adjoint methods for sensitivity analysis, and outline some of our recent work on theory, algorithms and software for sensitivity analysis of differential-algebraic equation (DAE) and time-dependent partial differential equation (PDE) systems. (c) ", Elsevier Ltd. All rights reserved.,"Petzold, Linda|Li, Shengtai|Cao, Yang|Serban, Radu",COMPUTERS & CHEMICAL ENGINEERING,sensitivity analysis|differential-algebraic equations|adjoint method,10.1016/j.compchemeng.2006.05.015
3,WOS:000332292700001,2014,Multiobjective Combinatorial Auctions in Transportation Procurement,OF-THE-ART,"This paper presents a multiobjective winner determination combinatorial auction mechanism for transportation carriers to present multiple transport lanes and bundle the lanes as packet bids to the shippers for the purposes of ocean freight. This then allows the carriers to maximize their network of resources and pass some of the cost savings onto the shipper. Specifically, we formulate three multi-objective optimization models (weighted objective model, preemptive goal programming, and compromise programming) under three criteria of cost, marketplace fairness, and the marketplace confidence in determining the winning packages. We develop solutions on the three models and perform a sensitivity analysis to show the options the shipper can use depending on the existing conditions at the point of awarding the transport lanes.",,"Ignatius, Joshua|Hosseini-Motlagh, Seyyed-Mahdi|Goh, Mark|Sepehri, Mohammad Mehdi|Mustafa, Adli|Rahman, Amirah",MATHEMATICAL PROBLEMS IN ENGINEERING,,10.1155/2014/951783
4,WOS:000230722000011,2005,"Assessing the potential of thermal infrared satellite surveys for monitoring seismically active areas: The case of Kocaell (Izmit) earthquake, August 17, 1999",AFTERSHOCK DISTRIBUTION|IMPENDING EARTHQUAKES|SENSITIVITY-ANALYSIS|SURFACE-TEMPERATURE|AUTOMATED DETECTION|TURKEY|GREECE|FAULT|PREDICTION|PRECURSOR,"Space-time anomalies of Earth's emitted radiation in the thermal infrared spectral range (TIR) measured from satellite months to weeks before the occurrence of earthquakes, have been interpreted, by several authors, as pre-seismic signals. The claimed connection of TIR emission with seismic activity has been considered, up to now, with some caution by the scientific community mainly for the insufficiency of the validation data-sets and the scarce importance attached by those authors to other causes (e.g. meteorological) that, rather than seismic activity, could be responsible for the observed TIR signal fluctuations. In this paper, a robust satellite data analysis technique is described which pen-nits us to identify anomalous space-time TIR signal transients even in very variable observational (satellite view angle, land topography and coverage, etc.) and natural (e.g. meteorological) conditions. A statistically well-founded definition of TIR anomaly is given and proposed as a suitable tool for satellite TIR surveys in seismically active regions. Eight years of Meteosat TIR observations have been analyzed in order to characterize the TIR signal behavior at each specific observation time and location. Space-time TIR signal transients have then been analyzed, both in the presence (validation) and in the absence of (confutation) seismic events, looking for possible space-time relationships. The devastating earthquake which occurred in Turkey (Izmit.. August , M(S)similar to .) in  has been considered as a test case for validation, relatively unperturbed periods (no earthquakes with M > ) were taken for confutation purposes. Quite intense (S/N > .) and rare, spatially extensive and time persistent, TIR signal transients were identified appearing eight days before the Izmit main shock in Greece, moving to Turkey on August  and disappearing, moving back to Greece, some days after. Possible implications of such results, together with present limitations of the proposed technique, will also be discussed in the light of the improved performances expected by its extension to other existing or future satellite packages.", (c) 2005 Elsevier Inc. All rights reserved.,"Tramutoli, |Cuomo, |Filizzola, C|Pergola, N|Pietrapertosa, C",REMOTE SENSING OF ENVIRONMENT,earthquake|thermal anomalies|thermal infrared satellite|avhrr|meteosat|msg|seviri|north anatolian fault|kocaeli-izmit,10.1016/j.rse.2005.04.006
5,WOS:000262275400013,2008,Evaluating the effect of scale in flood inundation modelling in urban environments,SCANNING LASER ALTIMETRY|DIFFUSION-WAVE TREATMENT|RASTER-BASED MODEL|RESOLUTION|SIMULATION|VEGETATION|1D,"Cellular-based approaches for flood inundation modelling have been extensively calibrated and evaluated for this prediction of flood flows on rural river reaches. However, there has only been limited application of these approaches to urban environments, where the need for flood management is greatest. Practical application of two-dimensional (D) flood inundation models is often limited by computation time and processing power on standard desktop PCs when attempting to resolve flows on the high-resolution grids necessary to replicate urban features. Consequently, it is necessary to evaluate the effectiveness of coarse grids to represent flood flows through urban environments. To examine these effects, LOSFLOOD-FP, a D storage cell model, is applied to hypothetical flooding scenarios in Greenfields, Glasgow, Grid resampling techniques in GIS software packages are evaluated and a bilinear griddling technique appears to provide the most accurate and physically intuitive results. A gridding method maintaining sharp elevation changes at building interfaces and neighbouring land is presented and estimates of the discretization noise associated with the coarse resolution grids suggest little improvement over current gridding methods. The variation in model results from the friction sensitivity analysis suggests a non-stationary response to Manning's n with changing model resolution. Model results suggests that a coarse resolution model for urban applications is limited by the representation or urban media in coarse model grids. Furthermore, critical length scales related to building dimensions and building separation distances exist in urban areas that determine maximum possible grid resolutions for hydraulic models of urban flooding."," Copyright (C) 2008 John Wiley & Sons, Ltd.","Fewtrell, T. J.|Bates, P. D.|Horritt, M.|Hunter, N. M.",HYDROLOGICAL PROCESSES,friction sensitivity|hydraulic modelling|scale|urban flooding,10.1002/hyp.7148
6,WOS:000173726400003,2002,Emerging issues in population viability analysis,SPOTTED OWL METAPOPULATION|INBREEDING DEPRESSION|ELASTICITY ANALYSIS|CONSERVATION BIOLOGY|GENTIANA-PNEUMONANTHE|MAMMALIAN POPULATIONS|SPECIES CONSERVATION|PLANT-POPULATIONS|GENETIC-VARIATION|ET-AL,"Population viability analysis (PVA) has become a commonly used tool in endangered species management. There is no single process that constitutes PVA, but all approaches have in common all assessment of a population's risk of extinction (or quasi extinction) or its projected population growth either under current conditions or expected from proposed management. As model sophistication increases, and software programs that facilitate PVA without the need for modeling expertise become more available, there is greater potential for the misuse of models and increased confusion over interpreting their results. Consequently, we discuss the practical use and limitations of PVA in conservation planning, and we discuss some emerging issues of PVA. We review extant issues that have become prominent in PTA, including spatially explicit modeling, sensitivity analysis, incorporating genetics into PVA, PVA in plants, and PVA software packages, but our coverage of emerging issues is not comprehensive. We conclude that PVA is a powerful tool in conservation biology for comparing alternative research plans and relative extinction risks among species, but the suggest caution in its use: () because PVA is a model, its validity depends on the appropriateness of the model's structure and data quality; () results should be presented with appropriate assessment of confidence; () model construction and results should be subject to external review, and () model structure, input, and results should be treated as hypotheses to be tested. We also suggest () restricting the definition of PVA to development of a formal quantitative model, () focusing more research on determining how pervasive density-dependence feedback is across species, and () not using PVA to determine minimum population size or () the specific probability of reaching extinction. The most appropriate use of PVA may be for comparing the relative effects of potential management actions on population growth or persistence.",,"Reed, JM|Mills, LS|Dunning, JB|Menges, ES|McKelvey, KS|Frye, R|Beissinger, |Anstett, MC|Miller, P",CONSERVATION BIOLOGY,,10.1046/j.1523-1739.2002.99419.x
7,WOS:000323457200002,2013,Comparative study on simulation performances of CORSIM and VISSIM for urban street network,ACTUATED SIGNAL SYSTEM|MICROSCOPIC SIMULATION|MODEL CALIBRATION|TRAFFIC FLOW|VALIDATION|BEHAVIOR,"With the progress of simulation technologies, many transportation simulation packages were developed. However, little information is available to the users in applying these models to the most appropriate situations, or even seldom with the simulation accuracy of the individual model. This study conducts a comparative analysis of two popular simulation models (VISSIM and CORSIM), based on their simulation performances on an urban transportation network. Road network and field traffic data from North Bund, Hongkou District, Shanghai, China were used as the simulation background and input. Sensitivity analysis was carried out to compare the performance of both models based on four key indices, namely software usability, average control delay, average queuing length, and cross-sectional traffic volume. Advantages of each simulator were identified based on comparison analyses of simulations with different levels of congestion and intersection geospatial scales. The main performance difference was found lying in the default parameter configuration within the models, including driver behavior settings, traffic environment settings, and vehicle types, etc. Consequently, it was recommended that analysts should choose their appropriate tools based on intersection type and level of saturation within the simulation case.", (c) 2013 Elsevier B.V. All rights reserved.,"Sun, Daniel (Jian)|Zhang, Lihui|Chen, Fangxi",SIMULATION MODELLING PRACTICE AND THEORY,micro-simulation model|urban transportation network|comparative study|signal intersections|sensitivity analysis,10.1016/j.simpat.2013.05.007
8,WOS:000330487700021,2014,"A modified (S-1,S) inventory system for deteriorating items with Poisson demand and non-zero lead time",OPTIMAL REPLENISHMENT POLICY|PRODUCTION QUANTITY MODELS|STOCK-DEPENDENT DEMAND|OPTIMAL SELLING PRICE|VARYING DEMAND|LOT-SIZE|EOQ MODEL|SHORTAGES,"An inventory system is considered for continuous decaying items with non-zero lead time and stochastic demand when shortages are allowed and all unsatisfied demands are back-logged. In this research we consider orders as separate packages where replenishment is one-for-one and a modified base stock policy is applied. In this paper, a penalty cost is introduced for stochastic inventory models with decaying items when less than one unit of the product is delivered to the customers. The objective of the warehouse is to maximize his average profit. Since the concavity analysis of the model is extremely complicated, an upper bound is introduced and an algorithm is presented for finding the optimal solution. Finally, a numerical example is presented and sensitivity analysis is carried out for a number of important parameters.", (C) 2013 Elsevier Inc. All rights reserved.,"Alizadeh, M.|Eskandari, H.|Sajadifar, S. M.",APPLIED MATHEMATICAL MODELLING,inventory|deteriorating items|poisson demand|upper bound,10.1016/j.apm.2013.07.014
9,WOS:000260920100004,2008,ON THE SENSITIVITY OF DESIRABILITY FUNCTIONS FOR MULTIRESPONSE OPTIMIZATION,,"Desirability functions have been one of the most important multiresponse optimization technique since the early eighties. Main reasons for this popularity might be counted as the convenience of the implementation of the method and it's availability in many experimental design software packages. Technique itself involves somehow subjective parameters such as the importance coefficients between response characteristics that are used to calculate overall desirability, weights used in determining the shape of each individual response and the size of the specification band of the response. However, the impact of these sensitive parameters on the solution set is mostly uninvestigated. This paper proposes a procedure to analyze the sensitivity of the important characteristic parameters of desirability functions and their impact on pareto-optimal solution set. The proposed procedure uses the experimental design tools on the solution space and estimates a prediction equation on the overall desirability to identify the sensitive parameters. For illustration, a classical desirability example is selected from the literature and results are given along with the discussion.",,"Aksezer, Caglar S.",JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,desirability functions|parametric sensitivity analysis|multiresponse optimization,10.3934/jimo.2008.4.685
