,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
0,WOS:000399845800057,2017,"Risk assessment of pesticides and other stressors in bees: Principles, data gaps and perspectives from the European Food Safety Authority",HONEYBEES APIS-MELLIFERA HORNET VESPA-VELUTINA YELLOW-LEGGED HORNET NEONICOTINOID INSECTICIDES ECOSYSTEM SERVICES POLLEN CONSUMPTION AETHINA-TUMIDA COLONY FAILURE EXPOSURE IMPACTS,"Current approaches to risk assessment in bees do not take into account co-exposures from multiple stressors. The European Food Safety Authority (EFSA) is deploying resources and efforts to move towards a holistic risk assessment approach of multiple stressors in bees. This paper describes the general principles of pesticide risk assessment in bees, including recent developments at EFSA dealing with risk assessment of single and multiple pesticide residues and biological hazards. The EFSA Guidance Document on the risk assessment of plant protection products in bees highlights the need for the inclusion of an uncertainty analysis, other routes of exposures and multiple stressors such as chemical mixtures and biological agents. The EFSA risk assessment on the survival, spread and establishment of the small hive beetle, Aethina tumida, an invasive alien species, is provided with potential insights for other bee pests such as the Asian hornet, Vespa velutina. Furthermore, data gaps are identified at each step of the risk assessment, and recommendations are made for future research that could be supported under the framework of Horizon . Finally, the recent work conducted at EFSA is presented, under the over-arching MUST-B project (""EU efforts towards the development of a holistic approach for the risk assessment on MUltiple STressors in Bees"") comprising a toolbox for harmonised data collection under field conditions and a mechanistic model to assess effects from pesticides and other stressors such as biological agents and beekeeping management practices, at the colony level and in a spatially complex landscape. Future perspectives at EFSA include the development of a data model to collate high quality data to calibrate and validate the model to be used as a regulatory tool. Finally, the evidence collected within the framework of MUST-B will support EFSA's activities on the development of a holistic approach to the risk assessment of multiple stressors in bees. In conclusion, EFSA calls for collaborative action at the EU level to establish a common and open access database to serve multiple purposes and different stakeholders. (C)  The Authors.", Published by Elsevier B.V.,"Rortais, A|Arnold, G|Dorne, JL|More, SJ|Sperandio, G|Streissl, F|Szentes, C|Verdonck, F",SCIENCE OF THE TOTAL ENVIRONMENT,multiple stressors honeybee colony health modelling indicator data collection research needs,10.1016/j.scitotenv.2016.09.127
6,WOS:000340951200003,2014,Numerical and intelligent modeling of triaxial strength of anisotropic jointed rock specimens,FUZZY INFERENCE SYSTEM INTACT ROCKS CONTINUUM MASSES,"The strength of anisotropic rock masses can be evaluated through either theoretical or experimental methods. The latter is more precise but also more expensive and time-consuming especially due to difficulties of preparing high-quality samples. Numerical methods, such as finite element method (FEM), finite difference method (FDM), distinct element method (DEM), etc. have been regarded as precise and low-cost theoretical approaches in different fields of rock engineering. On the other hand, applicability of intelligent approaches such as fuzzy systems, neural networks and decision trees in rock mechanics problems has been recognized through numerous published papers. In current study, it is aimed to theoretically evaluate the strength of anisotropic rocks with through-going discontinuity using numerical and intelligent methods. In order to do this, first, strength data of such rocks are collected from the literature. Then FlAC, a commercially well-known software for FDM analysis, is applied to simulate the situation of triaxial test on anisotropic jointed specimens. Reliability of this simulation in predicting the strength of jointed specimens has been verified by previous researches. Therefore, the few gaps of the experimental data are filled by numerical simulation to prevent unexpected learning errors. Furthermore, a sensitivity analysis is carried out based on the numerical process applied herein. Finally, two intelligent methods namely feed forward neural network and a newly developed fuzzy modeling approach are utilized to predict the strength of above-mentioned specimens. Comparison of the results with experimental data demonstrates that the intelligent models result in desirable prediction accuracy.",,"Asadi, M|Bagheripour, MH",EARTH SCIENCE INFORMATICS,numerical modeling artificial neural networks fuzzy systems strength anisotropy jointed rock,10.1007/s12145-013-0137-z
11,WOS:000231782200001,2005,Scenario-based simulation of runoff-related pesticide entries into small streams on a landscape level,SURFACE WATER FIELD,"The prediction of runoff-related pesticide entry into surface waters on a landscape level usually requires considerable efforts with regard to input data, time, and personnel. Therefore, the need for an easy to use simulation tool with easily accessible input data, for example from already existing public sources, is obvious. In this paper, we present a simulation tool for the simulation of pesticide entry from arable land into adjacent streams. Our aim was to develop a tool applicable on the landscape level using ""real world data"" from numerous sites and for the simulation of parameter case studies concerning particular parameters at single sites. We used the ratio of exposure to toxicity (REXTOX) model proposed by the OECD, which had been successfully validated in the study area as part of a previous study and which was extended to calculate pesticide concentrations in adjacent streams. We simulated the pesticide entry on the landscape level at  sites in small streams situated in the central lowland of Germany with winter wheat, barley, and sugar beat as the main agricultural. crops. A sensitivity analysis indicated that the most significant model parameters were the width of the no-application zone and the degree of plant interception. The simulation was carried out for the  most frequently detected substances found in the study area using eight different environmental scenarios, covering variation of the width of the no-application zone, climate, and seasonal scenarios. The highest in-stream concentrations were predicted for a scenario using no ( m) buffer zone in conjunction with increased precipitation. According to the predicted concentrations, the risk for the aquatic communities was estimated based on standard toxicity tests and the application of a safety factor. The simulation results are presented both by means of risk maps for the study area showing the simulated pesticide concentration and the resulting ecological risk for numerous sites under varying scenarios and by case study diagrams with focus on the model behavior under the influence of single parameters. Risk maps confirmed the importance of no-application (buffer) zones for the levels of pesticide input. They also indicated the importance of the existing no-application zones for certain compounds and in some cases the need for a further evaluation of these regulations. The simulation tool was implemented as a standard PC software combining the REXTOX model with a geographical information system and can be used on any current personal computer. All input data was taken from public sources of German authorities. With little effort the tool should be applicable for other areas with similar data quality.", (C) 2005 Elsevier Inc. All rights reserved.,"Probst, M|Berenzen, N|Lentzen-Godding, A|Schulz, R",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,risk assessment pesticides runoff buffer zones simulation modeling landscape level climate change risk mitigation,10.1016/j.ecoenv.2005.04.012
14,WOS:000308971400008,2012,Stochastic cost optimization of DNAPL remediation - Method description and sensitivity study,GROUNDWATER MONITORING DESIGN AQUIFER REMEDIATION GENETIC ALGORITHM TRANSPORT UNCERTAINTY MANAGEMENT MODEL NETWORK SYSTEMS PUMP,"A modeling approach is described for optimizing the design and operation of groundwater remediation at DNAPL sites that considers uncertainty in site and remediation system characteristics, performance and cost model limitations, and measurement uncertainties that affect predictions of remediation performance and cost. The performance model simulates performance and costs for thermal source zone treatment and enhanced bioremediation with statistical compliance rules and real-time operational system monitoring. An inverse solution is employed to estimate model parameters, parameter covariances, and residual prediction error from site data and a stochastic cost optimization algorithm determines design and operation variables that minimize expected net present value cost over Monte Carlo realizations. The method is implemented in the program SCOToolkit. A series of applications to a hypothetical problem yielded expected cost reductions for site remediation as much as % compared to conventional non-optimized approaches, while also increasing the probability of achieving ""no further action"" status in a specified timeframe by more than %. Optimizing monitoring frequency for compliance wells used to make no further action determinations as well as operational monitoring used to make decisions on individual remediation system components reveals tradeoffs between increased direct costs for sampling and analysis versus decreased construction and operating costs that arise because more data increases decision reliability. Optimizing protocols for operational monitoring and heating unit shutdown protocols for thermal source treatment (incremental versus all-or-none shutdown, soil versus groundwater sampling, number and frequency of samples) produced cost savings of more than %. Defining compliance based on confidence limits of a moving time window regression decreased expected cost and lowered failure probability compared to using measured extreme values over a lookback period. Uncertainty in DNAPL source delineation was found to have a large effect on the cost and probability of achieving remediation objectives for thermal source remediation. (C) ", Elsevier Ltd. All rights reserved.,"Parker, J|Kim, U|Kitanidis, P|Cardiff, M|Liu, XY|Beyke, G",ENVIRONMENTAL MODELLING & SOFTWARE,stochastic optimization uncertainty analysis dnapl model calibration thermal source treatment enhanced bioremediation remediation cost,10.1016/j.envsoft.2012.05.002
27,WOS:000382049400008,2016,"Parameterization, sensitivity analysis, and inversion: an investigation using groundwater modeling of the surface-mined Tivoli-Guidonia basin (Metropolitan City of Rome, Italy)",WATER MODELS UNCERTAINTY IMPORTANCE FLOW TRANSPORT VALIDATION SYSTEM SITE USA,"With respect to model parameterization and sensitivity analysis, this work uses a practical example to suggest that methods that start with simple models and use computationally frugal model analysis methods remain valuable in any toolbox of model development methods. In this work, ground-water model calibration starts with a simple parameterization that evolves into a moderately complex model. The model is developed for a water management study of the TivoliGuidonia basin (Rome, Italy) where surface mining has been conducted in conjunction with substantial dewatering. The approach to model development used in this work employs repeated analysis using sensitivity and inverse methods, including use of a new observation-stacked parameter importance graph. The methods are highly parallelizable and require few model runs, which make the repeated analyses and attendant insights possible. The success of a model development design can be measured by insights attained and demonstrated model accuracy relevant to predictions. Example insights were obtained: () A long-held belief that, except for a few distinct fractures, the travertine is homogeneous was found to be inadequate, and () The dewatering pumping rate is more critical to model accuracy than expected. The latter insight motivated additional data collection and improved pumpage estimates. Validation tests using three other recharge and pumpage conditions suggest good accuracy for the predictions considered. The model was used to evaluate management scenarios and showed that similar dewatering results could be achieved using  % less pumped water, but would require installing newly positioned wells and cooperation between mine owners.",,"La Vigna, F|Hill, MC|Rossetto, R|Mazza, R",HYDROGEOLOGY JOURNAL,stochastic optimization uncertainty analysis dnapl model calibration thermal source treatment enhanced bioremediation remediation cost,10.1007/s10040-016-1393-z
35,WOS:000407603800012,2017,Sensitivity analysis of DEM prediction for sliding wear by single iron ore particle,DISCRETE ELEMENT METHOD BALL MILLS SIMULATION MODEL PERFORMANCE CONTACT MECHANISMS MOTION STEEL LIFE,"Purpose - Sliding wear is a common phenomenon in the iron ore handling industry. Large-scale handling of iron ore bulk-solids causes a high amount of volume loss from the surfaces of bulk-solids-handling equipment. Predicting the sliding wear volume from equipment surfaces is beneficial for efficient maintenance of worn equipment. Recently, the discrete element method (DEM) simulations have been utilised to predict the wear by bulk-solids. However, the sensitivity of wear prediction subjected to DEM parameters has not been systemically investigated at single particle level. To ensure the wear predictions by DEM are accurate and stable, this study aims to conduct the sensitivity analysis at the single particle level. Design/methodology/approach - In this research, pin-on-disc wear tests are modelled to predict the sliding wear by individual iron ore particles. The Hertz-Mindlin ( no slip) contact model is implemented to simulate interactions between particle ( pin) and geometry ( disc). To quantify the wear from geometry surface, a sliding wear equation derived from Archard's wear model is adopted in the DEM simulations. The accuracy of the pin-on-disc wear test simulation is assessed by comparing the predicted wear volume with that of the theoretical calculation. The stability is evaluated by repetitive tests of a reference case. At the steady-state wear, the sensitivity analysis is done by predicting sliding wear volumes using the parameter values determined by iron ore-handling conditions. This research is carried out using the software EDEM (R) ... Findings - Numerical errors occur when a particle passes a joint side of geometry meshes. However, this influence is negligible compared to total wear volume of a wear revolution. A reference case study demonstrates that accurate and stable results of sliding wear volume can be achieved. For the sliding wear at steady state, increasing particle density or radius causes more wear, whereas, by contrast, particle Poisson's ratio, particle shear modulus, geometry mesh size, rotating speed, coefficient of restitution and time step have no impact on wear volume. As expected, increasing indentation force results in a proportional increase. For maintaining wear characteristic and reducing simulation time, the geometry mesh size is recommended. To further reduce simulation time, it is inappropriate using lower particle shear modulus. However, the maximum time step can be increased to % T-R without compromising simulation accuracy. Research limitations/implications - The applied coefficient of sliding wear is determined based on theoretical and experimental studies of a spherical head of iron ore particle. To predict realistic volume loss in the iron ore-handling industry, this coefficient should be experimentally determined by taking into account the non-spherical shapes of iron ore particles. Practical implications - The effects of DEM parameters on sliding wear are revealed, enabling the selections of adequate values to predict sliding wear in the iron ore-handling industry. Originality/value - The accuracy and stability to predict sliding wear by using EDEM (R) .. are verified. Besides, this research accelerates the calibration of sliding wear prediction by DEM.",,"Chen, GM|Schott, DL|Lodewijks, G",ENGINEERING COMPUTATIONS,discrete element method pin-on-disc bulk-solids-handling wear prediction,10.1108/EC-07-2016-0265
55,WOS:000417388800006,2017,Direct effect of atmospheric turbulence on plume rise in a neutral atmosphere,LARGE-EDDY SIMULATION DIRECT NUMERICAL-SIMULATION POLLUTANT DISPERSION CROSS-FLOW BOUNDARY-LAYERS FINITE-ELEMENT CFD SIMULATION ENVIRONMENT TERRAINS MODELS,"The direct effect of atmospheric turbulence on plume rise in the current research work is studied through examining the turbulence intensity parameter. A hybrid unsteady Reynolds averaged Navier Stokes (RANS) and large eddy simulation (LES) numerical approach is applied with a new mixed scale sub-grid parameterization technique in the commercial ANSYS Fluent software in order to simulate the buoyant plume behavior in a turbulent crossflow. The accuracy of the simulation method is crosschecked against the wind tunnel data available in the literature. The numerical simulation results in various operating conditions are used to derive a new plume rise formula in which the direct effect of atmospheric turbulence intensity at stack height (I-Air) is explicitly introduced in the plume rise formula. Furthermore, the buoyancy parameter of the flue gas is determined at some distances upstream of the stack top surface to include the whole effects of source buoyancy on the plume rise. The value of I-Air at stack height is obtained by measuring the standard deviation of wind velocity at stack height. The sensitivity analysis showed that by increasing the atmospheric turbulence intensity, the final plume rise decreases because of the updraft and downdraft motions of turbulence and it has been found that there is a linear dependency between the plume rise and ( I-Air)(-.). The quantile-quantile plots show that the new model can predict the simulated plume rise with a deviation factor of . whereas the conventional models overestimate the final plume rise at least by a factor of ..", (C) 2017 Turkish National Committee for Air Pollution Research and Control. Production and hosting by Elsevier B.V. All rights reserved.,"Ashrafi, K|Orkomi, AA|Motlagh, MS",ATMOSPHERIC POLLUTION RESEARCH,neutral numerical model plume rise rans-les method turbulence,10.1016/j.apr.2017.01.001
56,WOS:000331688500003,2014,Parallel flow routing in SWMM 5,URBAN DRAINAGE SYSTEMS SENSITIVITY-ANALYSIS MODEL PERFORMANCE IMPACT,"The hydrodynamic rainfall-runoff and urban drainage simulation model SWMM (Storm Water Management Model) is a state of the art software tool applied likewise in research and practice. In order to reduce the computational burden of long simulation runs and to use the extra power of modern multicore computers, a parallel version of SWMM is presented herein. The challenge has been to modify the software in such minimal way that the resulting code enhancement may find its way into the commercial and non-commercial software tools that depend on SWMM for its calculation engine. A pragmatic approach to identify and enhance only the critical parts of the software in terms of run-time was chosen in order to keep the code changes as low as possible. The enhanced software was first tested for coherence against the original code and then benchmarked on four different input scenarios ranging from a very small village to a medium sized urban area. For the investigated sewer systems a speedup of six to ten times on a twelve core system was realized, thus decreasing the execution time to an acceptable level even for tedious system analysis. (C) ", Elsevier Ltd. All rights reserved.,"Burger, G|Sitzenfrei, R|Kleidorfer, M|Rauch, W",ENVIRONMENTAL MODELLING & SOFTWARE,multi-core openmp parallel computing storm water management model urban drainage modeling,10.1016/j.envsoft.2013.11.002
68,WOS:000239980800018,2006,"Series of experiments for empirical validation of solar gain modeling in building energy simulation codes - Experimental setup, test cell characterization, specifications and uncertainty analysis",SPACE ANALYSIS TOOLS PROGRAMS,"Empirical validation of building energy simulation codes is an important component in understanding the capacity and limitations of the software. Within the framework of Task /Annex  of the International Energy Agency (IEA), a series of experiments was performed in an outdoor test cell. The objective of these experiments was to provide a high-quality data set for code developers and modelers to validate their solar gain models for windows with and without shading devices. A description of the necessary specifications for modeling these experiments is provided in this paper, which includes information about the test site location, experimental setup, geometrical and thermophysical cell properties including estimated uncertainties. Computed overall thermal cell properties were confirmed by conducting a steady-state experiment without solar gains. A transient experiment, also without solar gains, and corresponding simulations from four different building energy simulation codes showed that the provided specifications result in accurate thermal cell modeling. A good foundation for the following experiments with solar gains was therefore accomplished. (c) ", Elsevier Ltd. All rights reserved.,"Manz, H|Loutzenhiser, P|Frank, T|Strachan, PA|Bundi, R|Maxwell, G",BUILDING AND ENVIRONMENT,building energy simulation empirical validation test cell specification,10.1016/j.buildenv.2005.07.020
70,WOS:000262565100007,2009,More efficient PEST compatible model independent model calibration,GLOBAL OPTIMIZATION METHODS RAINFALL-RUNOFF MODELS WATERSHED MODEL MULTIOBJECTIVE CALIBRATION AUTOMATIC CALIBRATION PARAMETER-ESTIMATION SENSITIVITY CATCHMENT SCALE HSPF,"This article describes some of the capabilities encapsulated within the Model Independent Calibration and Uncertainty Analysis Toolbox (MICUT), which was written to support the popular PEST model independent interface. We have implemented a secant version of the Levenberg-Marquardt (LM) method that requires far fewer model calls for local search than the PEST LM methodology. Efficiency studies on three distinct environmental model structures (HSPF, FASST and GSSHA) show that we can find comparable local minima with -% fewer model calls than a conventional model independent LM application. Using the secant LM method for local search, MICUT also supports global optimization through the use of a slightly modified version of a stochastic global search technique called Multi-Level Single Linkage [Rinnooy Kan, A.H.G., Timmer, G., a. Stochastic global optimization methods, part : clustering methods. Math. Program. , -; Rinnooy Kan, A.H.G., Timmer, G., b. Stochastic global optimization methods, part ii: multi level methods. Math. Program. , -.]. Comparison studies with three environmental models suggest that the stochastic global optimization algorithm in MICUT is at least as, and sometimes more efficient and reliable than the global optimization algorithms available in PEST.", Published by Elsevier Ltd.,"Skahill, BE|Baggett, JS|Frankenstein, S|Downer, CW",ENVIRONMENTAL MODELLING & SOFTWARE,calibration efficiency secant version of levenberg-marquardt multi-level single linkage,10.1016/j.envsoft.2008.09.011
