,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
0,WOS:000375818700005,2016,River-to-sea pressure retarded osmosis: Resource utilization in a full-scale facility,POWER-GENERATION SALINITY GRADIENTS REVERSE ELECTRODIALYSIS OSMOTIC POWER SEAWATER DESALINATION ENERGY EFFICIENCY RO-PRO WATER SYSTEM PERFORMANCE,"Pressure retarded osmosis (PRO) is a technology that could be utilized to recover energy from the mixing of freshwater with seawater. This source of renewable energy is sizeable and in the past decade several investigations analyzed its potential. The vast majority of studies focused on mass transfer problems across the membrane in order to improve membrane productivity and just recently studies started to look at membrane module efficiencies and parasitic loads within the PRO facility. In this article, the net specific energy production from a facility-scale PRO system was determined and optimized by using a novel simulation method that integrates parasitic loads and efficiencies of the PRO facility components and combines the model with an optimization software in a linked system optimization scheme. It was found that the overall net specific energy that may be recovered by a river-to-sea PRO facility is approximately . kWh per m() of permeate. Furthermore, a sensitivity analysis was performed to elucidate the relationship between net specific energy and power density as functions of membrane area, flow rates, and operating pressures. In general, in order to maximize resource recovery, a low power density, thus a low membrane productivity, must be accepted.", (C) 2016 Elsevier B.V. All rights reserved.,"O'Toole, G|Jones, L|Coutinho, C|Hayes, C|Napoles, M|Achilli, A",DESALINATION,renewable energy salinity gradient power pressure retarded osmosis net specific energy power density facility analysis,10.1016/j.desal.2016.01.012
1,WOS:000088879600005,2000,Scales and similarities in runoff processes with respect to geomorphometry,SPATIAL VARIABILITY CATCHMENT SOIL,"Numerous investigations using various techniques have been carried out towards a more detailed understanding of relationships and interactions between catchment morphometry and rainfall-runoff processes. Recently, this research question has become more relevant through the need for accurate, yet simple, computer models simulating the water balance of large areas. Moreover, advances in the analysis of landform morphometry through the availability of high-resolution digital elevation models (DEMs) and powerful geographical information systems (GIS) have enhanced research efforts with this aim. In this study several computer techniques and models were applied to investigate the effects of geomorphometry on rainfall-runoff processes at different scales. The sensitivity of dynamic hydrological processes to comparatively static boundary conditions requires different methods for modelling, analysis and visualization of different kinds of data appropriate to different scales. Therefore an approach integrating several geocomputational concepts, including spatial analysis of different types of geodata, static modelling of spatial structures, dynamic four-dimensional modelling of hydrological processes and statistical techniques was chosen. Geomorphometric analysis of the study sites was carried out with GIS packages (including ARC/INFO and GRASS), special purpose software and self-developed tools. Soil-morphometry relationships were modelled within a GIS environment. Hydrological models (SAKE and TOPMODEL) were then used to simulate rainfall-runoff processes, and finally statistical tools and sensitivity analysis were applied to gain an insight into the hydrological significance of the various geomorphometric properties. The results demonstrate the importance of small subregions of the catchment, particularly those having low slope angles, low flow lengths and concavities. The spatial distribution of soil types significantly influences modelled runoff. Spatial distributions of soil types are partly related to morphometry and can be captured using soil-morphometry models. Further results show that catchments which differ significantly in morphometry show different runoff responses and different hydrological sensitivity to changes in boundary conditions. A crude derivation of geomorphometric-hydrological landform types could be reached. Therefore, geomorphometric classifications of catchment types could form a basis for representative hydrological modelling at the large scale. Models describing soil distribution in relation to geomorphometry could assist regionalization of spatial heterogeneity and structure of soil parameters relevant in hydrological modelling. Moreover, quantification of geomorphometric catchment structure, e.g. in terms of contributing areas, is needed to describe significant geomorphometric catchment characteristics."," Copyright (C) 2000 John Wiley & Sons, Ltd.","Schmidt, J|Hennrich, K|Dikau, R",HYDROLOGICAL PROCESSES,hydrological modelling geomorphometry gis dem soil-morphometry relationship,10.1002/1099-1085(20000815/30)14:11/12<1963::AID-HYP48>3.0.CO;2-M
2,WOS:000338551800010,2014,Risk and uncertainty analysis of gas pipeline failure and gas combustion consequence,MODELS DETONATION METHANE,"Taking into account a general concept of risk parameters and knowing that natural gas provides very significant portion of energy, firstly, it is important to insure that the infrastructure remains as robust and reliable as possible. For this purpose, authors present available statistical information and probabilistic analysis related to failures of natural gas pipelines. Presented historical failure data is used to model age-dependent reliability of pipelines in terms of Bayesian methods, which have advantages of being capable to manage scarcity and rareness of data and of being easily interpretable for engineers. The performed probabilistic analysis enables to investigate uncertainty and failure rates of pipelines when age-dependence is significant and when it is not relevant. The results of age-dependent modeling and analysis of gas pipeline reliability and uncertainty are applied to estimate frequency of combustions due to natural gas release when pipeline failure occurs. Estimated age-dependent combustion frequency is compared and proposed to be used instead of conservative and age-independent estimate. The rupture of a high-pressure natural gas pipeline can lead to consequences that can pose a significant threat to people and property in the close vicinity to the pipeline fault location. The dominant hazard is combustion and thermal radiation from a sustained fire. The second purpose of the paper is to present the combustion consequence assessment and application of probabilistic uncertainty analysis for modeling of gas pipeline combustion effects. The related work includes performance of the following tasks: to study gas pipeline combustion model, to identify uncertainty of model inputs noting their variation range, and to apply uncertainty and sensitivity analysis for results of this model. The performed uncertainty analysis is the part of safety assessment that focuses on the combustion consequence analysis. Important components of such uncertainty analysis are qualitative and quantitative analysis that identifies the most uncertain parameters of combustion model, assessment of uncertainty, analysis of the impact of uncertain parameters on the modeling results, and communication of the results' uncertainty. As outcome of uncertainty analysis the tolerance limits and distribution function of thermal radiation intensity are given. The measures of uncertainty and sensitivity analysis were estimated and outcomes presented applying software system for uncertainty and sensitivity analysis. Conclusions on the importance of the parameters and sensitivity of the results are obtained using a linear approximation of the model under analysis. The outcome of sensitivity analysis confirms that distance from the fire center has the greatest influence on the heat flux caused by gas pipeline combustion.",,"Alzbutas, R|Iesmantas, T|Povilaitis, M|Vitkute, J",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,risk parameters natural gas pipelines age-dependent reliability bayesian inference gas combustion uncertainty and sensitivity analysis,10.1007/s00477-013-0845-4
3,WOS:000329561100024,2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,RAINFALL-RUNOFF MODELS IMPROVED CALIBRATION COMPUTER EXPERIMENTS GLOBAL OPTIMIZATION REGRESSION INDEXES SYSTEMS OUTPUT,"Sensitivity analysis (SA) is a commonly used approach for identifying important parameters that dominate model behaviors. We use a newly developed software package, a Problem Solving environment for Uncertainty Analysis and Design Exploration (PSUADE), to evaluate the effectiveness and efficiency of ten widely used SA methods, including seven qualitative and three quantitative ones. All SA methods are tested using a variety of sampling techniques to screen out the most sensitive (i.e., important) parameters from the insensitive ones. The Sacramento Soil Moisture Accounting (SAC-SMA) model, which has thirteen tunable parameters, is used for illustration. The South Branch Potomac River basin near Springfield, West Virginia in the U.S. is chosen as the study area. The key findings from this study are: () For qualitative SA methods, Correlation Analysis (CA), Regression Analysis (RA), and Gaussian Process (GP) screening methods are shown to be not effective in this example. Morris One-At-a-Time (MOAT) screening is the most efficient, needing only  samples to identify the most important parameters, but it is the least robust method. Multivariate Adaptive Regression Splines (MARS), Delta Test (DT) and Sum-Of-Trees (SOT) screening methods need about - samples for the same purpose. Monte Carlo (MC), Orthogonal Array (OA) and Orthogonal Array based Latin Hypercube (OALH) are appropriate sampling techniques for them; () For quantitative SA methods, at least  samples are needed for Fourier Amplitude Sensitivity Test (FAST) to identity parameter main effect. McKay method needs about  samples to evaluate the main effect, more than  samples to assess the two-way interaction effect. OALH and LP tau (LPTAU) sampling techniques are more appropriate for McKay method. For the Sobol' method, the minimum samples needed are  to compute the first-order and total sensitivity indices correctly. These comparisons show that qualitative SA methods are more efficient but less accurate and robust than quantitative ones. (C)  The Authors. Published by", Elsevier Ltd. All rights reserved.,"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",ENVIRONMENTAL MODELLING & SOFTWARE,uncertainty quantification sensitivity analysis parameter screening space-filling sampling psuade,10.1016/j.envsoft.2013.09.031
4,WOS:000388889800001,2016,A New Software Reliability Growth Model: Multigeneration Faults and a Power-Law Testing-Effort Function,ERROR-DETECTION OPTIMIZATION DEPENDENCY COST,"Software reliability growth models (SRGMs) based on a nonhomogeneous Poisson process (NHPP) are widely used to describe the stochastic failure behavior and assess the reliability of software systems. For these models, the testing-effort effect and the fault interdependency play significant roles. Considering a power-law function of testing effort and the interdependency of multigeneration faults, we propose a modified SRGM to reconsider the reliability of open source software (OSS) systems and then to validate the model's performance using several real-world data. Our empirical experiments show that the model well fits the failure data and presents a high-level prediction capability. We also formally examine the optimal policy of software release, considering both the testing cost and the reliability requirement. By conducting sensitivity analysis, we find that if the testing-effort effect or the fault interdependency was ignored, the best time to release software would be seriously delayed and more resources would be misplaced in testing the software.",,"Li, F|Yi, ZL",MATHEMATICAL PROBLEMS IN ENGINEERING,,10.1155/2016/9276093
5,WOS:000333743900027,2014,Comparative Life Cycle Assessment (LCA) of Accelerated Carbonation Processes Using Steelmaking Slag for CO2 Fixation,ROTATING PACKED-BED OXYGEN FURNACE SLAG METALWORKING WASTE-WATER CALCIUM-CARBONATE MINERAL CARBONATION STEEL SLAG CAPTURE STORAGE DIOXIDE SEQUESTRATION,"Carbon capture, utilization, and storage (CCUS) is one of the most prominent emerging technologies for mitigating global climate change. In this study, a comparative evaluation for CO fixation by carbonation of steelmaking slag was performed by life cycle assessment (LCA) using Umberto .. software, with the Swiss Eco-invent . database. Six scenarios of carbonation for basic oxygen furnace slag (BOFS), steel converted slag (SCS), and blended hydraulic slag cement (BHC) if different types of reactors and/or method were established. The environmental impacts for each scenario are quantified using the valuation system of ReCiPe, where global warming potential (GWP), ecosystem quality potential (EQP), an human health potential (HHP) were evaluated. In addition, sensitivity analysis was carried out to evaluate the relevant uncertainties of heating efficiency on the GHG emissions in direct carbonation processes. According to the results of LCA and sensitivity analysis, the direct carbonation of steelmaking slag in a slurry reactor was found to be the most attractive method, since the GWP was the lowest among the selected scenarios. Furthermore, the best available technology (BAT) for CO capture by carbonation processes of alkaline wastes was proposed according to the key performance indicators (KPIs) with respect to engineering considerations and environmental impacts. It was concluded that the accelerated carbonation of steelmaking slag should be performed by combining the slurry reactor with a rotating packed bed (RPB) to maximize carbonation conversion and minimize environmental impacts and additional CO emissions.",,"Xiao, LS|Wang, R|Chiang, PC|Pan, SY|Guo, QH|Chang, EE",AEROSOL AND AIR QUALITY RESEARCH,technology assessment umberto environmental impacts recipe sensitivity analysis rotating packed bed,10.4209/aaqr.2013.04.0121
6,WOS:000323644600031,2013,Nitrous Oxide Emissions from Cropland: a Procedure for Calibrating the DayCent Biogeochemical Model Using Inverse Modelling,CARBON-DIOXIDE SOIL N2O DENITRIFICATION SIMULATIONS COLORADO SYSTEMS DNDC,"DayCent is a biogeochemical model of intermediate complexity widely used to simulate greenhouse gases (GHG), soil organic carbon and nutrients in crop, grassland, forest and savannah ecosystems. Although this model has been applied to a wide range of ecosystems, it is still typically parameterized through a traditional ""trial and error"" approach and has not been calibrated using statistical inverse modelling (i.e. algorithmic parameter estimation). The aim of this study is to establish and demonstrate a procedure for calibration of DayCent to improve estimation of GHG emissions. We coupled DayCent with the parameter estimation (PEST) software for inverse modelling. The PEST software can be used for calibration through regularized inversion as well as model sensitivity and uncertainty analysis. The DayCent model was analysed and calibrated using NO flux data collected over  years at the Iowa State University Agronomy and Agricultural Engineering Research Farms, Boone, IA. Crop year  data were used for model calibration and  data were used for validation. The optimization of DayCent model parameters using PEST significantly reduced model residuals relative to the default DayCent parameter values. Parameter estimation improved the model performance by reducing the sum of weighted squared residual difference between measured and modelled outputs by up to  %. For the calibration period, simulation with the default model parameter values underestimated mean daily NO flux by  %. After parameter estimation, the model underestimated the mean daily fluxes by  %. During the validation period, the calibrated model reduced sum of weighted squared residuals by  % relative to the default simulation. Sensitivity analysis performed provides important insights into the model structure providing guidance for model improvement.",,"Rafique, R|Fienen, MN|Parkin, TB|Anex, RP",WATER AIR AND SOIL POLLUTION,daycent model inverse modelling parameter estimation (pest) nitrous oxide sensitivity analysis automatic calibration validation,10.1007/s11270-013-1677-z
7,WOS:000273504300008,2010,Predicting the Long-Term Performance of a Structural Best Management Practice with the BMP ToolBox Model,NONPOINT-SOURCE POLLUTION CONSTRUCTED WETLAND WASTE-WATER TAIWAN SYSTEM REMOVAL DESIGN,"It is costly to constantly sample to monitor the performance of a structural best management practice (BMP). Alternatively, occasional sampling might not be adequate. The BMP ToolBox model, developed by Tetra Tech and Prince George's County in Maryland, USA, assesses the performance of a structural BMP treatment site. The study applied the BMP ToolBox model to a BMP site in Taiwan to test its validity. The case study site was designed to remove pollution from nonpoint sources (tea gardens) in order to maintain water quality in the Feitsui Reservoir. The BMP ToolBox model was calibrated and verified using two years of sample data. Results were satisfactory with the coefficient of determination (R-) for calibration and verification being . and ., respectively. Furthermore, the one-factor-at-a-time method (OFAT) was applied in a sensitivity analysis to identify sensitive model parameters. Several hydrographs were created to predict BMP performance. The positive relationship between the total phosphorus (TP) removal rate and the recurrence interval was observed: rainfall with longer durations showed increased removal rates compared to shorter periods of rainfall. The BMP Toolbox model was successfully applied, and a process for evaluating the long-term operation of structural BMP sites was established.",,"Chen, CF|Lin, JY|Kang, SF|Lee, YJ|Yang, CH",ENVIRONMENTAL ENGINEERING SCIENCE,structural bmp pollution removal evaluation bmp toolbox,10.1089/ees.2009.0105
8,WOS:000302794000003,2012,Techno-Economics for Conversion of Lignocellulosic Biomass to Ethanol by Indirect Gasification and Mixed Alcohol Synthesis,,"This techno-economic study investigates the production of ethanol and a higher alcohols coproduct by conversion of lignocelluosic biomass to syngas via indirect gasification followed by gas-to-liquids synthesis over a precommercial heterogeneous catalyst. The design specifies a processing capacity of , dry U.S. tons (, dry metric tonnes) of woody biomass per day and incorporates  research targets from NREL and other sources for technologies that will facilitate the future commercial production of cost-competitive ethanol. Major processes include indirect steam gasification, syngas cleanup, and catalytic synthesis of mixed alcohols, and ancillary processes include feed handling and drying, alcohol separation, steam and power generation, cooling water, and other operations support utilities. The design and analysis is based on research at NREL, other national laboratories, and The Dow Chemical Company, and it incorporates commercial technologies, process modeling using Aspen Plus software, equipment cost estimation, and discounted cash flow analysis. The design considers the economics of ethanol production assuming successful achievement of internal research targets and n(th)-plant costs and financing. The design yields . gallons of ethanol and . gallons of higher-molecular-weight alcohols per U.S. ton of biomass feedstock. A rigorous sensitivity analysis captures uncertainties in costs and plant performance."," (C) 2012 American Institute of Chemical Engineers Environ Prog, 31: 182-190, 2012","Dutta, A|Talmadge, M|Hensley, J|Worley, M|Dudgeon, D|Barton, D|Groenendijk, P|Ferrari, D|Stears, B|Searcy, E|Wright, C|Hess, JR",ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY,biomass thermochemical conversion indirect gasification tar reforming mixed alcohols process design,10.1002/ep.10625
9,WOS:000412253100005,2017,NHPP software reliability model considering the uncertainty of operating environments with imperfect debugging and testing coverage,RANDOM-FIELD ENVIRONMENTS FAULT-DETECTION RATE GROWTH-MODELS COST MODELS DEPENDENCY,"In this paper, we propose a testing-coverage software reliability model that considers not only the imperfect debugging (ID) but also the uncertainty of operating environments based on a non-homogeneous Poisson process (NHPP). Software is usually tested in a given control environment, but it may be used in different operating environments by different users, which are unknown to the developers. Many NHPP software reliability growth models (SRGMs) have been developed to estimate the software reliability measures, but most of the underlying common assumptions of these models are that the operating environment is the same as the developing environment. But in fact, due to the unpredictability of the uncertainty in the operating environments for the software, environments may considerably influence the reliability and software's performance in an unpredictable way. So when a software system works in a field environment, its reliability is usually different from the theory reliability, and also from all its similar applications in other fields. In this paper, a new model is proposed with the consideration of the fault detection rate based on the testing coverage and examined to cover ID subject to the uncertainty of operating environments. We compare the performance of the proposed model with several existing NHPP SRGMs using three sets of real software failure data based on seven criteria. Improved normalized criteria distance (NCD) method is also used to rank and select the best model in the context of a set of goodness-of-fit criteria taken all together. All results demonstrate that the new model can give a significant improved goodness-of-fit and predictive performance. Finally, the optimal software release time based on cost and reliability requirement and its sensitivity analysis are discussed.", (C) 2017 Elsevier Inc. All rights reserved.,"Li, QY|Pham, H",APPLIED MATHEMATICAL MODELLING,testing coverage uncertainty operating environment imperfect debugging (id) software reliability growth models (srgms) non-homogeneous poisson process (nhpp),10.1016/j.apm.2017.06.034
