,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
0,WOS:000245063400008,2007,Parameter estimation and uncertainty analysis for a watershed model,RAINFALL-RUNOFF MODELS|SHUFFLED COMPLEX EVOLUTION|GROUNDWATER-FLOW MODEL|MONTE-CARLO METHODS|BAYESIAN-APPROACH|METROPOLIS ALGORITHM|PREDICTION INTERVALS|CATCHMENT MODELS|MARKOV-CHAINS|CALIBRATION,"Where numerical models are employed as an aid to environmental management, the uncertainty associated with predictions made by such models must be assessed. A number of different methods are available to make such an assessment. This paper explores the use of three such methods, and compares their performance when used in conjunction with a lumped parameter model for surface water flow (HSPF) in a large watershed. Linear (or first-order) uncertainty analysis has the advantage that it can be implemented with virtually no computational burden. While the results of such an analysis can be extremely useful for assessing parameter uncertainty in a relative sense, and ascertaining the degree of correlation between model parameters, its use in analyzing predictive uncertainty is often limited. Markov Chain Monte Carlo (MCMC) methods are far more robust, and can produce reliable estimates of parameter and predictive uncertainty. As well as this, they can provide the modeler with valuable qualitative information on the shape of parameter and predictive probability distributions; these shapes can be quite complex, especially where local objective function optima lie within those parts of parameter space that are considered probable after calibration has been undertaken. Nonlinear calibration-constrained optimization can also provide good estimates of parameter and predictive uncertainty, even in situations where the objective function surface is complex. Furthermore, they can achieve these estimates using far fewer model runs than MCMC methods. However, they do not provide the same amount of qualitative information on the probability structure of parameter space as do MCMC methods, a situation that can be partially rectified by combining their use with an efficient gradient-based search method that is specifically designed to locate different local optima. All methods of parameter and predictive uncertainty analysis discussed herein are implemented using freely-available software. Hence similar studies, or extensions of the present study, can be easily undertaken in other modeling contexts by other modelers. (c) ", Elsevier Ltd. All rights reserved.,"Gallagher, Mark|Doherty, John",ENVIRONMENTAL MODELLING & SOFTWARE,uncertainty analysis|parameter estimation|mathematical modeling|markov chain monte carlo|model calibration,10.1016/j.envsoft.2006.06.007
1,WOS:000089556100004,2000,Estimating labor productivity using probability inference neural network,ESTIMATING CONSTRUCTION PRODUCTIVITY,"This paper discusses the derivation of a probabilistic neural network classification model and its application in the construction industry. The probability inference neural network (PINN) model is based on the same concepts as those of the learning vector quantization method combined with a probabilistic approach. The classification and prediction networks are combined in an integrated network, which required the development of a different training and recall algorithm. The topology and algorithm of the developed model was presented and explained in detail. Portable computer software was developed to implement the training, testing, and recall for PINN. The PINN was tested on real historical productivity data at a local construction company and compared to the classic feedforward back-propagation neural network model. This showed marked improvement in performance and accuracy. In addition, the effectiveness of PINN for estimating labor production rates in the context of the application domain was validated through sensitivity analysis.",,"Lu, M|AbouRizk, SM|Hermann, UH",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,10.1061/(ASCE)0887-3801(2000)14:4(241)
2,WOS:000241686100002,2006,Application of the Morris algorithm for sensitivity analysis of the REALM model for the Goulburn irrigation system,2ND-ORDER SCREENING METHOD,"The REALM modelling shell is widely used in Australia as a water allocation modelling tool. It has been used to develop the Goulburn System Model (GSM) of the Goulburn, Broken, Loddon and Campaspe Rivers in northeastern Victoria. REALM represents the river and irrigation system as a network of storages and carriers. The model has been optimised to best represent the water harvesting and allocation for use by water management authorities. The model is analysed to assess the sensitivity of a subset of the model outputs, to a subset of the system parameters. The New Morris algorithm uses sampling paths generated in the space of the parameters, to generate points at which the model is run (to generate the model outputs). These model runs are then used to estimate the first and second-order effects of the parameters on the outputs. The results illustrate the mild linkage of the Goulburn and Broken systems, and the Broken system also shows differences between minimum and average outflows. The Goulburn is more sensitive to some of the numerical convergence parameters used in the allocation software, while the Broken is less sensitive to these factors. The numerical convergence factors also lead to important second-order effects.",,"Braddock, R. D.|Schreider, S. Yu.",ENVIRONMENTAL MODELING & ASSESSMENT,sensitivity analysis|water allocation model|realm,10.1007/s10666-005-9029-z
3,WOS:000378360600027,2016,Operational snow mapping with simplified data assimilation using the seNorge snow model,WATER EQUIVALENT|COVERED AREA|SWISS ALPS|DEPTH|PREDICTION|CALIBRATION|CHALLENGES|RADIATION|NORWAY|SCHEME,"Frequently updated maps of snow conditions are useful for many applications, e.g., for avalanche and flood forecasting services, hydropower energy situation analysis, as well as for the general public. Numerical snow models are often applied in snow map production for operational hydrological services. However, inaccuracies in the simulated snow maps due to model uncertainties and the lack of suitable data assimilation techniques to correct them in near-real time may often reduce the usefulness of the snow maps in operational use. In this paper the revised seNorge snow model (v...) for snow mapping is described, and a simplified data assimilation procedure is introduced to correct detected snow model biases in near real-time. The data assimilation procedure is theoretically based on the Bayesian updating paradigm and is meant to be pragmatic with modest computational and input data requirements. Moreover, it is flexible and can utilize both point-based snow depth and satellite-based areal snow-covered area observations, which are generally the most common data-sources of snow observations. The model and analysis codes as well as the ""R"" statistical software are freely available. All these features should help to lower the challenges and hurdles hampering the application of data-assimilation techniques in operational hydrological modeling. The steps of the data assimilation procedure (evaluation, sensitivity analysis, optimization) and their contribution to significantly increased accuracy of the snow maps are demonstrated with a case from eastern Norway in winter /.", (C) 2016 Elsevier B.V. All rights reserved.,"Saloranta, Tuomo M.",JOURNAL OF HYDROLOGY,snow|modeling|snow mapping|data assimilation,10.1016/j.jhydrol.2016.03.061
4,WOS:000319162300007,2013,Soil organic matter accounting in the carbon footprint analysis of the wine chain,LIFE-CYCLE ASSESSMENT|GREENHOUSE-GAS EMISSIONS|NITROUS-OXIDE EVOLUTION|CROPPING SYSTEMS|RAINFALL EVENTS|ASSESSMENT LCA|DYNAMICS|SEQUESTRATION|AGRICULTURE|MODEL,"Concerns about global warming led to the calculation of the carbon footprint (CF) left by human activities. The agricultural sector is a significant source of greenhouse gas (GHG) emissions, though cropland soils can also act as sinks. So far, most LCA studies on agricultural products have not considered changes in soil organic matter (SOM). This paper aimed to: () integrate the H,nin-Dupuis SOM model into the CF study and () outline the impacts of different vineyard soil management scenarios on the overall CF. A representative wine chain in the Maremma Rural District, Tuscany (Italy), made up of a cooperative winery and nine of its associated farms, was selected to investigate the production of a non-aged, high-quality red wine. The system boundary was established from vineyard planting to waste management after use. The functional unit (FU) chosen for this study was a .-L bottle of wine, and all data refer to the year . The SOM balance, based on H,nin-Dupuis' equation, was integrated and run using GaBi software. A sensitivity analysis was performed, and four scenarios were developed to assess the impact of vineyard soil management types with decreasing levels of organic matter inputs. SOM accounting reduced the overall CF of one wine bottle from . to . kg CO-eq/FU. The vineyard planting sub-phase produced a loss of SOM while, in the pre-production and production sub-phases, the loss/accumulation of SOM was related to the soil management practices. On average, soil management in the production sub-phase led to a net accumulation of SOM, and the overall vineyard phase was a sink of CO. Residue incorporation and grassing were identified as the main factors affecting changes in SOM in vineyard soils. Our results showed that incorporating SOM accounting into the wine chain's CF analysis changed the vineyard phase from a GHG source to a modest net GHG sink. These results highlighted the need to include soil C dynamics in the CF of the agricultural product. Here, the SOM balance method proposed was sensitive to changes in management practices and was site specific. Moreover, we were also able to define a minimum data set for SOM accounting. The EU recognises soil carbon sequestration as one of the major European strategies for mitigation. However, specific measures have yet to be included in the CAP . It would be desirable to include soil in the new ISO -Carbon Footprint of Products.",,"Bosco, Simona|Di Bene, Claudia|Galli, Mariassunta|Remorini, Damiano|Massai, Rossano|Bonari, Enrico",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,agriculture mitigation potential|food lca|greenhouse gas emissions|soil organic matter model|vineyard soil management|wine,10.1007/s11367-013-0567-3
5,WOS:000358997900004,2015,Sensitivity Analysis for Bayesian Hierarchical Models,LINEAR MIXED MODELS|LOCAL INFLUENCE|MARGINAL DENSITIES|INFERENCE|APPROXIMATIONS|PERTURBATION,"Prior sensitivity examination plays an important role in applied Bayesian analyses. This is especially true for Bayesian hierarchical models, where interpretability of the parameters within deeper layers in the hierarchy becomes challenging. In addition, lack of information together with identifiability issues may imply that the prior distributions for such models have an undesired influence on the posterior inference. Despite its importance, informal approaches to prior sensitivity analysis are currently used. They require repetitive re-fits of the model with ad-hoc modified base prior parameter values. Other formal approaches to prior sensitivity analysis suffer from a lack of popularity in practice, mainly due to their high computational cost and absence of software implementation. We propose a novel formal approach to prior sensitivity analysis, which is fast and accurate. It quantifies sensitivity without the need for a model re-fit. Through a series of examples we show how our approach can be used to detect high prior sensitivities of some parameters as well as identifiability issues in possibly over-parametrized Bayesian hierarchical models.",,"Roos, Malgorzata|Martins, Thiago G.|Held, Leonhard|Rue, Havard",BAYESIAN ANALYSIS,base prior|formal local sensitivity measure|bayesian robustness|calibration|hellinger distance|bayesian hierarchical models|identifiability|overparametrisation,10.1214/14-BA909
6,WOS:000321439500015,2013,Application of Bayesian Networks in Quantitative Risk Assessment of Subsea Blowout Preventer Operations,OFFSHORE SAFETY ASSESSMENT|RELIABILITY-ANALYSIS|ORGANIZATIONAL-FACTORS|FAULT-TREES|SYSTEMS|METHODOLOGY|FACILITIES|ACCIDENTS|SECURITY|PLATFORM,"This article proposes a methodology for the application of Bayesian networks in conducting quantitative risk assessment of operations in offshore oil and gas industry. The method involves translating a flow chart of operations into the Bayesian network directly. The proposed methodology consists of five steps. First, the flow chart is translated into a Bayesian network. Second, the influencing factors of the network nodes are classified. Third, the Bayesian network for each factor is established. Fourth, the entire Bayesian network model is established. Lastly, the Bayesian network model is analyzed. Subsequently, five categories of influencing factors, namely, human, hardware, software, mechanical, and hydraulic, are modeled and then added to the main Bayesian network. The methodology is demonstrated through the evaluation of a case study that shows the probability of failure on demand in closing subsea ram blowout preventer operations. The results show that mechanical and hydraulic factors have the most important effects on operation safety. Software and hardware factors have almost no influence, whereas human factors are in between. The results of the sensitivity analysis agree with the findings of the quantitative analysis. The three-axiom-based analysis partially validates the correctness and rationality of the proposed Bayesian network model.",,"Cai, Baoping|Liu, Yonghong|Liu, Zengkai|Tian, Xiaojie|Zhang, Yanzhen|Ji, Renjie",RISK ANALYSIS,bayesian networks|quantitative risk assessment|subsea blowout preventer,10.1111/j.1539-6924.2012.01918.x
7,WOS:000368869200001,2016,A GUI platform for uncertainty quantification of complex dynamical models,RAINFALL-RUNOFF MODELS|GLOBAL SENSITIVITY MEASURES|AUTOMATIC CALIBRATION|OPTIMIZATION|INDEXES|DESIGN|MACHINE|OUTPUT,"Uncertainty quantification (UQ) refers to quantitative characterization and reduction of uncertainties present in computer model simulations. It is widely used in engineering and geophysics fields to assess and predict the likelihood of various outcomes. This paper describes a UQ platform called UQ-PyL (Uncertainty Quantification Python Laboratory), a flexible software platform designed to quantify uncertainty of complex dynamical models. UQ-PyL integrates different kinds of UQ methods, including experimental design, statistical analysis, sensitivity analysis, surrogate modeling and parameter optimization. It is written in Python language and runs on all common operating systems. UQ-PyL has a graphical user interface that allows users to enter commands via pull-down menus. It is equipped with a model driver generator that allows any computer model to be linked with the software. We illustrate the different functions of UQ-PyL by applying it to the uncertainty analysis of the Sacramento Soil Moisture Accounting Model. We will also demonstrate that UQ-PyL can be applied to a wide range of applications. (C)  The Authors.", Published by Elsevier Ltd.,"Wang, Chen|Duan, Qingyun|Tong, Charles H.|Di, Zhenhua|Gong, Wei",ENVIRONMENTAL MODELLING & SOFTWARE,uncertainty quantification|design of experiments|sensitivity analysis|surrogate modeling|parameter optimization|uq-pyl,10.1016/j.envsoft.2015.11.004
8,WOS:000172361300016,2001,Including optimisation in the conception of fabric structures,SENSITIVITY ANALYSIS|VARIATIONAL APPROACH|ADJOINT SYSTEMS|OPTIMIZATION|DOMAIN,"For the conception of fabric structure, many specialised software have been developed in the last  years. Therefore, designing a fabric structure remains difficult, as textile behaviour is complex. To improve the static analysis stage, two new CAD tools have been developed and are presented in this paper. The first is a design sensitivity analysis module to give designers a better structural behaviour understanding. The second is an optimisation module, which determine the optimal adjustments leading to a structure satisfying the different requirements. All of these are illustrated by some examples.", (C) 2001 Civil-Comp Ltd. and Elsevier Science Ltd. All rights reserved.,"Sindel, F|Nouri-Baranger, T|Trompette, P",COMPUTERS & STRUCTURES,fabric structures|static analysis|design sensitivity analysis|optimisation,10.1016/S0045-7949(01)00079-7
9,WOS:000346334900006,2015,Context-Aware Framework for Highway Bridge Inspections,,"Bridge inspections are tedious, time consuming, and complex tasks in the field that require highly specific information pertinent to the decisions at hand. The use of a centralized inspection database and bridge inspection reporting software has been explored by several state DOTs in recent years. During an inspection routine, the inspector visually assesses the condition of a particular bridge component. Based on a priori knowledge of the bridge components' taxonomic hierarchy and ontology, the inspector navigates to the form corresponding to the component. The inspector then reports the component's condition to the database. Context-aware computing offers the possibility to make inspections more efficient by reducing the time required to navigate the software and the effort spent by inspectors to learn, remember, and recall the taxonomic hierarchy and ontology of bridge components. Context-aware computing leverages environmental variables, which define the inspector's context, and delivers streamlined information, pertinent to the task at hand, to assist decision making. This paper presents a computing framework that identifies the component of interest to the inspector and automatically queries the inspection database to retrieve information relevant to the component being assessed. The framework's run-time and space complexity are analyzed and presented. The uncertainty in sensing the inspector's location and line of sight are translated into errors in identifying the component of interest. Using a case study bridge, sensitivity analysis is performed to evaluate and characterize the errors in identifying the component of interest due to the errors in tracking technologies through simulation studies and field testing. The sensitivity analysis is used to evaluate the feasibility of employing global positioning systems (GPS) and magnetic compass technologies for location and line-of-sight tracking. Finally, the authors suggest a workflow design for integrating the framework into bridge inspection reporting software.", (C) 2014 American Society of Civil Engineers.,"Akula, Manu|Sandur, Atul|Kamat, Vineet R.|Prakash, Atul",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,bridge inspection|context-aware computing|contextual object identification|gps coordinates|simulation|uncertainty,10.1061/(ASCE)CP.1943-5487.0000292
