,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
0,WOS:000245063400008,2007,Parameter estimation and uncertainty analysis for a watershed model,RAINFALL-RUNOFF MODELS|SHUFFLED COMPLEX EVOLUTION|GROUNDWATER-FLOW MODEL|MONTE-CARLO METHODS|BAYESIAN-APPROACH|METROPOLIS ALGORITHM|PREDICTION INTERVALS|CATCHMENT MODELS|MARKOV-CHAINS|CALIBRATION,"Where numerical models are employed as an aid to environmental management, the uncertainty associated with predictions made by such models must be assessed. A number of different methods are available to make such an assessment. This paper explores the use of three such methods, and compares their performance when used in conjunction with a lumped parameter model for surface water flow (HSPF) in a large watershed. Linear (or first-order) uncertainty analysis has the advantage that it can be implemented with virtually no computational burden. While the results of such an analysis can be extremely useful for assessing parameter uncertainty in a relative sense, and ascertaining the degree of correlation between model parameters, its use in analyzing predictive uncertainty is often limited. Markov Chain Monte Carlo (MCMC) methods are far more robust, and can produce reliable estimates of parameter and predictive uncertainty. As well as this, they can provide the modeler with valuable qualitative information on the shape of parameter and predictive probability distributions; these shapes can be quite complex, especially where local objective function optima lie within those parts of parameter space that are considered probable after calibration has been undertaken. Nonlinear calibration-constrained optimization can also provide good estimates of parameter and predictive uncertainty, even in situations where the objective function surface is complex. Furthermore, they can achieve these estimates using far fewer model runs than MCMC methods. However, they do not provide the same amount of qualitative information on the probability structure of parameter space as do MCMC methods, a situation that can be partially rectified by combining their use with an efficient gradient-based search method that is specifically designed to locate different local optima. All methods of parameter and predictive uncertainty analysis discussed herein are implemented using freely-available software. Hence similar studies, or extensions of the present study, can be easily undertaken in other modeling contexts by other modelers. (c) ", Elsevier Ltd. All rights reserved.,"Gallagher, Mark|Doherty, John",ENVIRONMENTAL MODELLING & SOFTWARE,uncertainty analysis|parameter estimation|mathematical modeling|markov chain monte carlo|model calibration,10.1016/j.envsoft.2006.06.007
1,WOS:000089556100004,2000,Estimating labor productivity using probability inference neural network,ESTIMATING CONSTRUCTION PRODUCTIVITY,"This paper discusses the derivation of a probabilistic neural network classification model and its application in the construction industry. The probability inference neural network (PINN) model is based on the same concepts as those of the learning vector quantization method combined with a probabilistic approach. The classification and prediction networks are combined in an integrated network, which required the development of a different training and recall algorithm. The topology and algorithm of the developed model was presented and explained in detail. Portable computer software was developed to implement the training, testing, and recall for PINN. The PINN was tested on real historical productivity data at a local construction company and compared to the classic feedforward back-propagation neural network model. This showed marked improvement in performance and accuracy. In addition, the effectiveness of PINN for estimating labor production rates in the context of the application domain was validated through sensitivity analysis.",,"Lu, M|AbouRizk, SM|Hermann, UH",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,10.1061/(ASCE)0887-3801(2000)14:4(241)
3,WOS:000378360600027,2016,Operational snow mapping with simplified data assimilation using the seNorge snow model,WATER EQUIVALENT|COVERED AREA|SWISS ALPS|DEPTH|PREDICTION|CALIBRATION|CHALLENGES|RADIATION|NORWAY|SCHEME,"Frequently updated maps of snow conditions are useful for many applications, e.g., for avalanche and flood forecasting services, hydropower energy situation analysis, as well as for the general public. Numerical snow models are often applied in snow map production for operational hydrological services. However, inaccuracies in the simulated snow maps due to model uncertainties and the lack of suitable data assimilation techniques to correct them in near-real time may often reduce the usefulness of the snow maps in operational use. In this paper the revised seNorge snow model (v...) for snow mapping is described, and a simplified data assimilation procedure is introduced to correct detected snow model biases in near real-time. The data assimilation procedure is theoretically based on the Bayesian updating paradigm and is meant to be pragmatic with modest computational and input data requirements. Moreover, it is flexible and can utilize both point-based snow depth and satellite-based areal snow-covered area observations, which are generally the most common data-sources of snow observations. The model and analysis codes as well as the ""R"" statistical software are freely available. All these features should help to lower the challenges and hurdles hampering the application of data-assimilation techniques in operational hydrological modeling. The steps of the data assimilation procedure (evaluation, sensitivity analysis, optimization) and their contribution to significantly increased accuracy of the snow maps are demonstrated with a case from eastern Norway in winter /.", (C) 2016 Elsevier B.V. All rights reserved.,"Saloranta, Tuomo M.",JOURNAL OF HYDROLOGY,snow|modeling|snow mapping|data assimilation,10.1016/j.jhydrol.2016.03.061
5,WOS:000358997900004,2015,Sensitivity Analysis for Bayesian Hierarchical Models,LINEAR MIXED MODELS|LOCAL INFLUENCE|MARGINAL DENSITIES|INFERENCE|APPROXIMATIONS|PERTURBATION,"Prior sensitivity examination plays an important role in applied Bayesian analyses. This is especially true for Bayesian hierarchical models, where interpretability of the parameters within deeper layers in the hierarchy becomes challenging. In addition, lack of information together with identifiability issues may imply that the prior distributions for such models have an undesired influence on the posterior inference. Despite its importance, informal approaches to prior sensitivity analysis are currently used. They require repetitive re-fits of the model with ad-hoc modified base prior parameter values. Other formal approaches to prior sensitivity analysis suffer from a lack of popularity in practice, mainly due to their high computational cost and absence of software implementation. We propose a novel formal approach to prior sensitivity analysis, which is fast and accurate. It quantifies sensitivity without the need for a model re-fit. Through a series of examples we show how our approach can be used to detect high prior sensitivities of some parameters as well as identifiability issues in possibly over-parametrized Bayesian hierarchical models.",,"Roos, Malgorzata|Martins, Thiago G.|Held, Leonhard|Rue, Havard",BAYESIAN ANALYSIS,base prior|formal local sensitivity measure|bayesian robustness|calibration|hellinger distance|bayesian hierarchical models|identifiability|overparametrisation,10.1214/14-BA909
6,WOS:000321439500015,2013,Application of Bayesian Networks in Quantitative Risk Assessment of Subsea Blowout Preventer Operations,OFFSHORE SAFETY ASSESSMENT|RELIABILITY-ANALYSIS|ORGANIZATIONAL-FACTORS|FAULT-TREES|SYSTEMS|METHODOLOGY|FACILITIES|ACCIDENTS|SECURITY|PLATFORM,"This article proposes a methodology for the application of Bayesian networks in conducting quantitative risk assessment of operations in offshore oil and gas industry. The method involves translating a flow chart of operations into the Bayesian network directly. The proposed methodology consists of five steps. First, the flow chart is translated into a Bayesian network. Second, the influencing factors of the network nodes are classified. Third, the Bayesian network for each factor is established. Fourth, the entire Bayesian network model is established. Lastly, the Bayesian network model is analyzed. Subsequently, five categories of influencing factors, namely, human, hardware, software, mechanical, and hydraulic, are modeled and then added to the main Bayesian network. The methodology is demonstrated through the evaluation of a case study that shows the probability of failure on demand in closing subsea ram blowout preventer operations. The results show that mechanical and hydraulic factors have the most important effects on operation safety. Software and hardware factors have almost no influence, whereas human factors are in between. The results of the sensitivity analysis agree with the findings of the quantitative analysis. The three-axiom-based analysis partially validates the correctness and rationality of the proposed Bayesian network model.",,"Cai, Baoping|Liu, Yonghong|Liu, Zengkai|Tian, Xiaojie|Zhang, Yanzhen|Ji, Renjie",RISK ANALYSIS,bayesian networks|quantitative risk assessment|subsea blowout preventer,10.1111/j.1539-6924.2012.01918.x
7,WOS:000368869200001,2016,A GUI platform for uncertainty quantification of complex dynamical models,RAINFALL-RUNOFF MODELS|GLOBAL SENSITIVITY MEASURES|AUTOMATIC CALIBRATION|OPTIMIZATION|INDEXES|DESIGN|MACHINE|OUTPUT,"Uncertainty quantification (UQ) refers to quantitative characterization and reduction of uncertainties present in computer model simulations. It is widely used in engineering and geophysics fields to assess and predict the likelihood of various outcomes. This paper describes a UQ platform called UQ-PyL (Uncertainty Quantification Python Laboratory), a flexible software platform designed to quantify uncertainty of complex dynamical models. UQ-PyL integrates different kinds of UQ methods, including experimental design, statistical analysis, sensitivity analysis, surrogate modeling and parameter optimization. It is written in Python language and runs on all common operating systems. UQ-PyL has a graphical user interface that allows users to enter commands via pull-down menus. It is equipped with a model driver generator that allows any computer model to be linked with the software. We illustrate the different functions of UQ-PyL by applying it to the uncertainty analysis of the Sacramento Soil Moisture Accounting Model. We will also demonstrate that UQ-PyL can be applied to a wide range of applications. (C)  The Authors.", Published by Elsevier Ltd.,"Wang, Chen|Duan, Qingyun|Tong, Charles H.|Di, Zhenhua|Gong, Wei",ENVIRONMENTAL MODELLING & SOFTWARE,uncertainty quantification|design of experiments|sensitivity analysis|surrogate modeling|parameter optimization|uq-pyl,10.1016/j.envsoft.2015.11.004
8,WOS:000172361300016,2001,Including optimisation in the conception of fabric structures,SENSITIVITY ANALYSIS|VARIATIONAL APPROACH|ADJOINT SYSTEMS|OPTIMIZATION|DOMAIN,"For the conception of fabric structure, many specialised software have been developed in the last  years. Therefore, designing a fabric structure remains difficult, as textile behaviour is complex. To improve the static analysis stage, two new CAD tools have been developed and are presented in this paper. The first is a design sensitivity analysis module to give designers a better structural behaviour understanding. The second is an optimisation module, which determine the optimal adjustments leading to a structure satisfying the different requirements. All of these are illustrated by some examples.", (C) 2001 Civil-Comp Ltd. and Elsevier Science Ltd. All rights reserved.,"Sindel, F|Nouri-Baranger, T|Trompette, P",COMPUTERS & STRUCTURES,fabric structures|static analysis|design sensitivity analysis|optimisation,10.1016/S0045-7949(01)00079-7
10,WOS:000330916900008,2014,Detecting the causes of ill-conditioning in structural finite element models,,"In , version . of the finite element-based structural analysis package Oasys GSA was released. A new feature in this release was the estimation of the -norm condition number kappa() (K)= parallel to K parallel to()parallel to K- parallel to() of the stiffness matrix K of structural models by using a -norm estimation algorithm of Higham and Tisseur to estimate parallel to K- parallel to(). The condition estimate is reported as part of the information provided to engineers when they carry out linear/static analysis of models and a warning is raised if the condition number is found to be large. The inclusion of this feature prompted queries from users asking how the condition number impacted the analysis and, in cases where the software displayed an ill conditioning warning, how the ill conditioning could be ""fixed"". We describe a method that we have developed and implemented in the software that enables engineers to detect sources of ill conditioning in their models and rectify them. We give the theoretical background and illustrate our discussion with real-life examples of structural models to which this tool has been applied and found useful. Typically, condition numbers of stiffness matrices reduce from O(()) for erroneous models to O(()) or less for the corrected model. (C) ", Elsevier Ltd. All rights reserved.,"Kannan, Ramaseshan|Hendry, Stephen|Higham, Nicholas J.|Tisseur, Francoise",COMPUTERS & STRUCTURES,ill-conditioning|condition number|stiffness matrix|structural analysis|modelling errors,10.1016/j.compstruc.2013.11.014
11,WOS:000340977000075,2014,Groundwater fluxes in a shallow seasonal wetland pond: The effect of bathymetric uncertainty on predicted water and solute balances,MASS-BALANCE|DEPENDENT ECOSYSTEMS|LAKES|MODEL|DISCHARGE|STORAGE|RN-222|VOLUME|CALIBRATION|AUSTRALIA,"The successful management of groundwater dependent shallow seasonal wetlands requires a sound understanding of groundwater fluxes. However, such fluxes are hard to quantify. Water volume and solute mass balance models can be used in order to derive an estimate of groundwater fluxes within such systems. This approach is particularly attractive, as it can be undertaken using measurable environmental variables, such as; rainfall, evaporation, pond level and salinity. Groundwater fluxes estimated from such an approach are subject to uncertainty in the measured variables as well as in the process representation and in parameters within the model. However, the shallow nature of seasonal wetland ponds means water volume and surface area can change rapidly and non-linearly with depth, requiring an accurate representation of the wetland pond bathymetry. Unfortunately, detailed bathymetry is rarely available and simplifying assumptions regarding the bathymetry have to be made. However, the implications of these assumptions are typically not quantified. We systematically quantify the uncertainty implications for eight different representations of wetland bathymetry for a shallow seasonal wetland pond in South Australia. The predictive uncertainty estimation methods provided in the Model-Independent Parameter Estimation and Uncertainty Analysis software (PEST) are used to quantify the effect of bathymetric uncertainty on the modelled fluxes. We demonstrate that bathymetry can be successfully represented within the model in a simple parametric form using a cubic Sexier curve, allowing an assessment of bathymetric uncertainty due to measurement error and survey detail on the derived groundwater fluxes compared with the fixed bathymetry models. Findings show that different bathymetry conceptualisations can result in very different mass balance components and hence process conceptualisations, despite equally good fits to observed data, potentially leading to poor management decisions for the wetlands. Model predictive uncertainty increases with the crudity of the bathymetry representation, however, approximations that capture the general shape of the wetland pond such as a power law or Bezier curve show only a small increase in prediction uncertainty compared to the full dGPS surveyed bathymetry, implying these may be sufficient for most modelling purposes.", (C) 2014 Elsevier B.V. All rights reserved.,"Trigg, Mark A.|Cook, Peter G.|Brunner, Philip",JOURNAL OF HYDROLOGY,wetland ponds|bathymetry|uncertainty|pest|solute balance|bezier curve,10.1016/j.jhydrol.2014.06.020
12,WOS:000369512800012,2016,Integration of a Three-Dimensional Process-Based Hydrological Model into the Object Modeling System,JGRASS-NEWAGE SYSTEM|DISTRIBUTED MODEL|FRAMEWORK|ENERGY|BUDGETS|BASIN|WATER|TIME|FLOW|TERRAIN,"The integration of a spatial process model into an environmental modeling framework can enhance the model's capabilities. This paper describes a general methodology for integrating environmental models into the Object Modeling System (OMS) regardless of the model's complexity, the programming language, and the operating system used. We present the integration of the GEOtop model into the OMS version . and illustrate its application in a small watershed. OMS is an environmental modeling framework that facilitates model development, calibration, evaluation, and maintenance. It provides innovative techniques in software design such as multithreading, implicit parallelism, calibration and sensitivity analysis algorithms, and cloud-services. GEOtop is a physically based, spatially distributed rainfall-runoff model that performs three-dimensional finite volume calculations of water and energy budgets. Executing GEOtop as an OMS model component allows it to: () interact directly with the open-source geographical information system (GIS) uDig-JGrass to access geo-processing, visualization, and other modeling components; and () use OMS components for automatic calibration, sensitivity analysis, or meteorological data interpolation. A case study of the model in a semi-arid agricultural catchment is presented for illustration and proof-of-concept. Simulated soil water content and soil temperature results are compared with measured data, and model performance is evaluated using goodness-of-fit indices. This study serves as a template for future integration of process models into OMS.",,"Formetta, Giuseppe|Capparelli, Giovanna|David, Olaf|Green, Timothy R.|Rigon, Riccardo",WATER,watershed model|environmental modeling framework|automatic calibration|software integration,10.3390/w8010012
