,AU,year,title,journal,citations,DOI link
0,"Refsgaard, JC|van der Sluijs, JP|Hojberg, AL|Vanrolleghem, PA",2007,Uncertainty in the environmental modelling process - A framework and guidance,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,512,https://dx.doi.org/10.1016/j.envsoft.2007.02.004
1,"Pianosi, F|Beven, K|Freer, J|Hall, JW|Rougier, J|Stephenson, DB|Wagener, T",2016,Sensitivity analysis of environmental models: A systematic review with practical workflow,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,134,https://dx.doi.org/10.1016/j.envsoft.2016.02.008
2,"Castelletti, A|Galelli, S|Ratto, M|Soncini-Sessa, R|Young, PC",2012,A general framework for Dynamic Emulation Modelling in environmental problems,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,73,https://dx.doi.org/10.1016/j.envsoft.2012.01.002
10,"Koornneef, J|Spruijt, M|Molag, M|Ramirez, A|Turkenburg, W|Faaij, A",2010,Quantitative risk assessment of CO2 transport by pipelines-A review of uncertainties and their impacts,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_JOURNAL OF HAZARDOUS MATERIALS,58,https://dx.doi.org/10.1016/j.jhazmat.2009.11.068
3,"Fu, BH|Newham, LTH|Ramos-Scharron, CE",2010,A review of surface erosion and sediment delivery models for unsealed roads,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,56,https://dx.doi.org/10.1016/j.envsoft.2009.07.013
4,"Vanuytrecht, E|Raes, D|Willems, P",2014,Global sensitivity analysis of yield output from the water productivity model,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,54,https://dx.doi.org/10.1016/j.envsoft.2013.10.017
5,"Pena-Haro, S|Pulido-Velazquez, M|Llopis-Albert, C",2011,Stochastic hydro-economic modeling for optimal management of agricultural groundwater nitrate pollution under hydraulic conductivity uncertainty,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,32,https://dx.doi.org/10.1016/j.envsoft.2011.02.010
6,"Zoras, S|Triantafyllou, AG|Hurley, PJ",2007,Grid sensitivity analysis for the calibration of a prognostic meteorological model in complex terrain by a screening experiment,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,15,https://dx.doi.org/10.1016/j.envsoft.2005.09.010
7,"Larocque, GR|Bhatti, JS|Ascough, JC|Liu, J|Luckai, N|Mailly, D|Archambault, L|Gordon, AM",2011,An analytical framework to assist decision makers in the use of forest ecosystem model predictions,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,14,https://dx.doi.org/10.1016/j.envsoft.2010.03.009
8,"Colbach, N|Bertrand, M|Busset, H|Colas, F|Dugue, F|Farcy, P|Fried, G|Granger, S|Meunier, D|Munier-Jolain, NM|Noilhan, C|Strbik, F|Gardarin, A",2016,"Uncertainty analysis and evaluation of a complex, multi-specific weed dynamics model with diverse and incomplete data sets",{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,7,https://dx.doi.org/10.1016/j.envsoft.2016.09.020
9,"Argent, RM|Sojda, RS|Guipponi, C|McIntosh, B|Voinov, AA|Maier, HR",2016,Best practices for conceptual modelling in environmental planning and management,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_ENVIRONMENTAL MODELLING & SOFTWARE,6,https://dx.doi.org/10.1016/j.envsoft.2016.02.023
13,"Abdalla, M|Hastings, A|Bell, MJ|Smith, JU|Richards, M|Nilsson, MB|Peichl, M|Lofvenius, MO|Lund, M|Helfter, C|Nemitz, E|Sutton, MA|Aurela, M|Lohila, A|Laurila, T|Dolman, AJ|Belelli-Marchesini, L|Pogson, M|Jones, E|Drewer, J|Drosler, M|Smith, P",2014,Simulation of CO2 and Attribution Analysis at Six European Peatland Sites Using the ECOSSE Model,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_WATER AIR AND SOIL POLLUTION,5,https://dx.doi.org/10.1007/s11270-014-2182-8
12,"Capone, L|Benhamadouche, S|Hassan, YA",2016,Source terms modeling for spacer grids with mixing vanes for CFD simulations in nuclear reactors,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_COMPUTERS & FLUIDS,3,https://dx.doi.org/10.1016/j.compfluid.2015.11.011
11,"Yan, HH|Guo, H|Ou, JM",2014,Emissions of halocarbons from mobile vehicle air conditioning system in Hong Kong,{'best practice'} {'good practice'} {'best practise'} {'good practise'} {'an introduction to'} {'a framework for'} {'guidelines for'}_JOURNAL OF HAZARDOUS MATERIALS,2,https://dx.doi.org/10.1016/j.jhazmat.2014.06.020
