,AU,year,title,journal,citations,DOI link
0,"Landuyt, D|Broekx, S|D'hondt, R|Engelen, G|Aertsens, J|Goethals, PLM",2013,A review of Bayesian belief networks in ecosystem service modelling,ENVIRONMENTAL MODELLING & SOFTWARE,94,https://dx.doi.org/10.1016/j.envsoft.2013.03.011
1,"van Delden, H|Seppelt, R|White, R|Jakeman, AJ",2011,A methodology for the design and development of integrated models for policy support,ENVIRONMENTAL MODELLING & SOFTWARE,86,https://dx.doi.org/10.1016/j.envsoft.2010.03.021
2,"Chen, KP|Blong, R|Jacobson, C",2001,MCE-RISK: integrating multicriteria evaluation and CIS for risk decision-making in natural hazards,ENVIRONMENTAL MODELLING & SOFTWARE,79,https://dx.doi.org/10.1016/S1364-8152(01)00006-8
20,"Bertrand-Krajewski, JL",2007,Stormwater pollutant loads modelling: epistemological aspects and case studies on the influence of field data sets on calibration and verification,WATER SCIENCE AND TECHNOLOGY,58,https://dx.doi.org/10.2166/wst.2007.090
3,"Carnevale, C|Finzi, G|Pisoni, E|Volta, M|Guariso, G|Gianfreda, R|Maffeis, G|Thunis, P|White, L|Triacchini, G",2012,An integrated assessment tool to define effective air quality policies at regional scale,ENVIRONMENTAL MODELLING & SOFTWARE,45,https://dx.doi.org/10.1016/j.envsoft.2012.07.004
4,"Brown, HE|Huth, NI|Holzworth, DP|Teixeira, EI|Zyskowski, RF|Hargreaves, JNG|Moot, DJ",2014,Plant Modelling Framework: Software for building and running crop models on the APSIM platform,ENVIRONMENTAL MODELLING & SOFTWARE,28,https://dx.doi.org/10.1016/j.envsoft.2014.09.005
5,"Burger, G|Sitzenfrei, R|Kleidorfer, M|Rauch, W",2014,Parallel flow routing in SWMM 5,ENVIRONMENTAL MODELLING & SOFTWARE,27,https://dx.doi.org/10.1016/j.envsoft.2013.11.002
15,"Zobel, RW",2008,Hardware and software efficacy in assessment of fine root diameter distributions,COMPUTERS AND ELECTRONICS IN AGRICULTURE,21,https://dx.doi.org/10.1016/j.compag.2007.08.002
21,"Mair, M|Sitzenfrei, R|Kleidorfer, M|Moderl, M|Rauch, W",2012,GIS-based applications of sensitivity analysis for sewer models,WATER SCIENCE AND TECHNOLOGY,18,https://dx.doi.org/10.2166/wst.2012.954
16,"Resop, JP|Fleisher, DH|Wang, QG|Timlin, DJ|Reddy, VR",2012,Combining explanatory crop models with geospatial data for regional analyses of crop yield using field-scale modeling units,COMPUTERS AND ELECTRONICS IN AGRICULTURE,15,https://dx.doi.org/10.1016/j.compag.2012.08.001
