AU,year,title,journal,citations,DOI link
"Bennett, ND|Croke, BFW|Guariso, G|Guillaume, JHA|Hamilton, SH|Jakeman, AJ|Marsili-Libelli, S|Newham, LTH|Norton, JP|Perrin, C|Pierce, SA|Robson, B|Seppelt, R|Voinov, AA|Fath, BD|Andreassian, V",2013,Characterising performance of environmental models,ENVIRONMENTAL MODELLING & SOFTWARE,581,https://dx.doi.org/10.1016/j.envsoft.2012.09.011
"Campolongo, F|Cariboni, J|Saltelli, A",2007,An effective screening design for sensitivity analysis of large models,ENVIRONMENTAL MODELLING & SOFTWARE,578,https://dx.doi.org/10.1016/j.envsoft.2006.10.004
"Abbaspour, KC|Yang, J|Maximov, I|Siber, R|Bogner, K|Mieleitner, J|Zobrist, J|Srinivasan, R",2007,Modelling hydrology and water quality in the pre-alpine/alpine Thur watershed using SWAT,JOURNAL OF HYDROLOGY,560,https://dx.doi.org/10.1016/j.jhydrol.2006.09.014
"van Griensven, A|Meixner, T|Grunwald, S|Bishop, T|Diluzio, A|Srinivasan, R",2006,A global sensitivity analysis tool for the parameters of multi-variable catchment models,JOURNAL OF HYDROLOGY,555,https://dx.doi.org/10.1016/j.jhydrol.2005.09.008
"Refsgaard, JC|van der Sluijs, JP|Hojberg, AL|Vanrolleghem, PA",2007,Uncertainty in the environmental modelling process - A framework and guidance,ENVIRONMENTAL MODELLING & SOFTWARE,510,https://dx.doi.org/10.1016/j.envsoft.2007.02.004
"Merritt, WS|Letcher, RA|Jakeman, AJ",2003,A review of erosion and sediment transport models,ENVIRONMENTAL MODELLING & SOFTWARE,407,https://dx.doi.org/10.1016/S1364-8152(03)00078-1
"Sigmund, O|Maute, K",2013,Topology optimization approaches A comparative review,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,382,https://dx.doi.org/10.1007/s00158-013-0978-6
"Saltelli, A|Annoni, P",2010,How to avoid a perfunctory sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,355,https://dx.doi.org/10.1016/j.envsoft.2010.04.012
"Oudin, L|Hervieu, F|Michel, C|Perrin, C|Andreassian, V|Anctil, F|Loumagne, C",2005,Which potential evapotranspiration input for a lumped rainfall-runoff model? Part 2 - Towards a simple and efficient potential evapotranspiration model for rainfall-runoff modelling,JOURNAL OF HYDROLOGY,321,https://dx.doi.org/10.1016/j.jhydrol.2004.08.026
"Yang, J|Reichert, P|Abbaspour, KC|Xia, J|Yang, H",2008,Comparing uncertainty analysis techniques for a SWAT application to the Chaohe Basin in China,JOURNAL OF HYDROLOGY,312,https://dx.doi.org/10.1016/j.jhydrol.2008.05.012
"Xu, CY|Gong, LB|Jiang, T|Chen, DL|Singh, VP",2006,Analysis of spatial distribution and temporal trend of reference evapotranspiration and pan evaporation in Changjiang (Yangtze River) catchment,JOURNAL OF HYDROLOGY,305,https://dx.doi.org/10.1016/j.jhydrol.2005.11.029
"Duan, Q|Schaake, J|Andreassian, V|Franks, S|Goteti, G|Gupta, HV|Gusev, YM|Habets, F|Hall, A|Hay, L|Hogue, T|Huang, M|Leavesley, G|Liang, X|Nasonova, ON|Noilhan, J|Oudin, L|Sorooshian, S|Wagener, T|Wood, EF",2006,Model Parameter Estimation Experiment (MOPEX): An overview of science strategy and major results from the second and third workshops,JOURNAL OF HYDROLOGY,289,https://dx.doi.org/10.1016/j.jhydrol.2005.07.031
"Kirchner, JW",2009,"Catchments as simple dynamical systems: Catchment characterization, rainfall-runoff modeling, and doing hydrology backward",WATER RESOURCES RESEARCH,280,https://dx.doi.org/10.1029/2008WR006912
