AU,year,title,journal,citations,DOI link
"Oudin, L|Hervieu, F|Michel, C|Perrin, C|Andreassian, V|Anctil, F|Loumagne, C",2005,Which potential evapotranspiration input for a lumped rainfall-runoff model? Part 2 - Towards a simple and efficient potential evapotranspiration model for rainfall-runoff modelling,JOURNAL OF HYDROLOGY,322,https://dx.doi.org/10.1016/j.jhydrol.2004.08.026
"Muleta, MK|Nicklow, JW",2005,Sensitivity and uncertainty analysis coupled with automatic calibration for a distributed watershed model,JOURNAL OF HYDROLOGY,259,https://dx.doi.org/10.1016/j.jhydrol.2004.09.005
"Pedersen, CBW|Buhl, T|Sigmund, O",2001,Topology synthesis of large-displacement compliant mechanisms,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,235,https://dx.doi.org/10.1002/nme.148
"Le Maitre, OP|Knio, OM|Najm, HN|Ghanem, RG",2004,Uncertainty propagation using Wiener-Haar expansions,JOURNAL OF COMPUTATIONAL PHYSICS,208,https://dx.doi.org/10.1016/j.jcp.2003.11.033
"McVicar, TR|Van Niel, TG|Li, LT|Hutchinson, MF|Mu, XM|Liu, ZH",2007,Spatially distributing monthly reference evapotranspiration and pan evaporation considering topographic influences,JOURNAL OF HYDROLOGY,202,https://dx.doi.org/10.1016/j.jhydrol.2007.02.018
"Pappenberger, F|Beven, K|Horritt, M|Blazkova, S",2005,Uncertainty in the calibration of effective roughness parameters in HEC-RAS using inundation and downstream level observations,JOURNAL OF HYDROLOGY,201,https://dx.doi.org/10.1016/j.jhydrol.2004.06.036
"Gong, LB|Xu, CY|Chen, DL|Halldin, S|Chen, YQD",2006,Sensitivity of the Penman-Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,JOURNAL OF HYDROLOGY,196,https://dx.doi.org/10.1016/j.jhydrol.2006.03.027
"Le Maitre, OP|Najm, HN|Ghanem, RG|Knio, OM",2004,Multi-resolution analysis of Wiener-type uncertainty propagation schemes,JOURNAL OF COMPUTATIONAL PHYSICS,177,https://dx.doi.org/10.1016/j.jcp.2003.12.020
"Oberkampf, WL|Barone, MF",2006,Measures of agreement between computation and experiment: Validation metrics,JOURNAL OF COMPUTATIONAL PHYSICS,175,https://dx.doi.org/10.1016/j.jcp.2006.03.037
"Stegmann, J|Lund, E",2005,Discrete material optimization of general composite shell structures,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,167,https://dx.doi.org/10.1002/nme.1259
