AU,year,title,journal,citations,DOI link
"Bjorklund, AE",2002,Survey of approaches to improve reliability in LCA,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,175,https://dx.doi.org/10.1065/lca2001.12/071
"Huijbregts, MAJ|Norris, G|Bretz, R|Ciroth, A|Maurice, B|von Bahr, B|Weidema, B|de Beaufort, ASH",2001,Framework for modelling data uncertainty in life cycle inventories,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,144,https://dx.doi.org/10.1007/BF02978728
"Gottschalk, Fadri|Scholz, Roland W.|Nowack, Bernd",2010,Probabilistic material flow modeling for assessing the environmental exposure to compounds: Methodology and an application to engineered nano-TiO2 particles,ENVIRONMENTAL MODELLING & SOFTWARE,134,https://dx.doi.org/10.1016/j.envsoft.2009.08.011
"Gorree, M|Guinee, JB|Huppes, G|van Oers, L",2002,Environmental Life Cycle Assessment of linoleum,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,132,https://dx.doi.org/10.1065/lca2001.12.072
"Pianosi, Francesca|Beven, Keith|Freer, Jim|Hall, Jim W.|Rougier, Jonathan|Stephenson, David B.|Wagener, Thorsten",2016,Sensitivity analysis of environmental models: A systematic review with practical workflow,ENVIRONMENTAL MODELLING & SOFTWARE,131,https://dx.doi.org/10.1016/j.envsoft.2016.02.008
"Cherubini, Francesco|Jungmeier, Gerfried",2010,"LCA of a biorefinery concept producing bioethanol, bioenergy, and chemicals from switchgrass",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,124,https://dx.doi.org/10.1007/s11367-009-0124-2
"Kim, S|Dale, BE",2002,Allocation procedure in ethanol production system from corn grain - I. System expansion,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,122,https://dx.doi.org/10.1065/lca2002.05.081
"Yang, Jing",2011,Convergence and uncertainty analyses in Monte-Carlo based sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,121,https://dx.doi.org/10.1016/j.envsoft.2010.10.007
"Gallagher, Mark|Doherty, John",2007,Parameter estimation and uncertainty analysis for a watershed model,ENVIRONMENTAL MODELLING & SOFTWARE,118,https://dx.doi.org/10.1016/j.envsoft.2006.06.007
"Uusitalo, Laura|Lehikoinen, Annukka|Helle, Inari|Myrberg, Kai",2015,An overview of methods to evaluate uncertainty of deterministic models in decision support,ENVIRONMENTAL MODELLING & SOFTWARE,117,https://dx.doi.org/10.1016/j.envsoft.2014.09.017
"Lassaux, Stephane|Renzoni, Robert|Germain, Albert",2007,Life cycle assessment of water from the pumping station to the wastewater treatment plant,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,100,https://dx.doi.org/10.1065/lca2005.12.243
"Wagener, Thorsten|Kollat, Joshua",2007,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox,ENVIRONMENTAL MODELLING & SOFTWARE,86,https://dx.doi.org/10.1016/j.envsoft.2006.06.017
"Chu-Agor, M. L.|Munoz-Carpena, R.|Kiker, G.|Emanuelsson, A.|Linkov, I.",2011,Exploring vulnerability of coastal habitats to sea level rise through global sensitivity and uncertainty analyses,ENVIRONMENTAL MODELLING & SOFTWARE,74,https://dx.doi.org/10.1016/j.envsoft.2010.12.003
"Borgonovo, E.|Castaings, W.|Tarantola, S.",2012,Model emulation and moment-independent sensitivity analysis: An application to environmental modelling,ENVIRONMENTAL MODELLING & SOFTWARE,73,https://dx.doi.org/10.1016/j.envsoft.2011.06.006
"Castelletti, A.|Galelli, S.|Ratto, M.|Soncini-Sessa, R.|Young, P. C.",2012,A general framework for Dynamic Emulation Modelling in environmental problems,ENVIRONMENTAL MODELLING & SOFTWARE,72,https://dx.doi.org/10.1016/j.envsoft.2012.01.002
"Geisler, G|Hellweg, S|Hungerbuhler, K",2005,Uncertainty analysis in life cycle assessment (LCA): Case study on plant-protection products and implications for decision making,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,72,https://dx.doi.org/10.1065/lca2004.09.178
"Das, Sujit",2011,Life cycle assessment of carbon fiber-reinforced polymer composites,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,71,https://dx.doi.org/10.1007/s11367-011-0264-z
"Panichelli, Luis|Dauriat, Arnaud|Gnansounou, Edgard",2009,Life cycle assessment of soybean-based biodiesel in Argentina for export,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,71,https://dx.doi.org/10.1007/s11367-008-0050-8
"Cannavo, Flavio",2012,Sensitivity analysis for volcanic source modeling quality assessment and model selection,COMPUTERS & GEOSCIENCES,70,https://dx.doi.org/10.1016/j.cageo.2012.03.008
"Spielmann, M|Scholz, RW",2005,Life cycle inventories of transport services,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,69,https://dx.doi.org/10.1065/lca.10.181.10
"Yen, Haw|Wang, Xiuying|Fontane, Darrell G.|Harmel, R. Daren|Arabi, Mazdak",2014,"A framework for propagation of uncertainty contributed by parameterization, input data, model structure, and calibration/validation data in watershed modeling",ENVIRONMENTAL MODELLING & SOFTWARE,69,https://dx.doi.org/10.1016/j.envsoft.2014.01.004
"Feizizadeh, Bakhtiar|Jankowski, Piotr|Blaschke, Thomas",2014,A GIS based spatially-explicit sensitivity and uncertainty analysis approach for multi-criteria decision analysis,COMPUTERS & GEOSCIENCES,55,https://dx.doi.org/10.1016/j.cageo.2013.11.009
"Meerschman, Eef|Pirot, Guillaume|Mariethoz, Gregoire|Straubhaar, Julien|Van Meirvenne, Marc|Renard, Philippe",2013,A practical guide to performing multiple-point statistical simulations with the Direct Sampling algorithm,COMPUTERS & GEOSCIENCES,51,https://dx.doi.org/10.1016/j.cageo.2012.09.019
"Tang, Guoping|Mayes, Melanie A.|Parker, Jack C.|Jardine, Philip M.",2010,"CXTFIT/Excel-A modular adaptable code for parameter estimation, sensitivity analysis and uncertainty analysis for laboratory or field tracer experiments",COMPUTERS & GEOSCIENCES,34,https://dx.doi.org/10.1016/j.cageo.2010.01.013
"Rohmer, Jeremy|Foerster, Evelyne",2011,Global sensitivity analysis of large-scale numerical landslide models based on Gaussian-Process meta-modeling,COMPUTERS & GEOSCIENCES,29,https://dx.doi.org/10.1016/j.cageo.2011.02.020
"Goovaerts, P.",2009,AUTO-IK: A 2D indicator kriging program for the automated non-parametric modeling of local uncertainty in earth sciences,COMPUTERS & GEOSCIENCES,23,https://dx.doi.org/10.1016/j.cageo.2008.08.014
"Elizondo, D|Cappelaere, B|Faure, C",2002,Automatic versus manual model differentiation to compute sensitivities and solve non-linear inverse problems,COMPUTERS & GEOSCIENCES,22,https://dx.doi.org/10.1016/S0098-3004(01)00048-6
"Puncher, M.|Birchall, A.",2007,Estimating uncertainty on internal dose assessments,RADIATION PROTECTION DOSIMETRY,19,https://dx.doi.org/10.1093/rpd/ncm361
"Mair, M.|Sitzenfrei, R.|Kleidorfer, M.|Moederl, M.|Rauch, W.",2012,GIS-based applications of sensitivity analysis for sewer models,WATER SCIENCE AND TECHNOLOGY,18,https://dx.doi.org/10.2166/wst.2012.954
"Reichert, P",2006,A standard interface between simulation programs and systems analysis software,WATER SCIENCE AND TECHNOLOGY,18,https://dx.doi.org/10.2166/wst.2006.029
"Wellmann, J. Florian|Finsterle, Stefan|Croucher, Adrian",2014,Integrating structural geological data into the inverse modelling framework of iTOUGH2,COMPUTERS & GEOSCIENCES,10,https://dx.doi.org/10.1016/j.cageo.2013.10.014
"Arnold, D.|Demyanov, V.|Tatum, D.|Christie, M.|Rojas, T.|Geiger, S.|Corbett, P.",2013,"Hierarchical benchmark case study for history matching, uncertainty quantification and reservoir characterisation",COMPUTERS & GEOSCIENCES,9,https://dx.doi.org/10.1016/j.cageo.2012.09.011
"Miele, A.|Blanchin, N.|Raynaud, P.|Quesne, B.|Giraud, J. M.|Fottorino, R.|Berard, P.|Ansoborlo, E.|Franck, D.|Blanchardon, E.|Vathaire, C. Challeton-de|Lebaron-Jacobs, L.|Poncy, J. L.|Piechowski, J.|Fritsch, P.",2007,"MEDOR, a didactic tool to support interpretation of bioassay data after internal contamination by actinides",RADIATION PROTECTION DOSIMETRY,7,https://dx.doi.org/10.1093/rpd/ncm288
"Xu, Tianfang|Valocchi, Albert J.",2015,Data-driven methods to improve baseflow prediction of a regional groundwater model,COMPUTERS & GEOSCIENCES,7,https://dx.doi.org/10.1016/j.cageo.2015.05.016
"Marsili-Libelli, S.|D'Ardes, V.|Bondi, C.",2008,Development of a open-vessel single-stage respirometer,WATER SCIENCE AND TECHNOLOGY,1,https://dx.doi.org/10.2166/wst.2008.149
