,AU,year,title,journal,citations,DOI link
40,"Saltelli, A|Annoni, P",2010,How to avoid a perfunctory sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,355,https://dx.doi.org/10.1016/j.envsoft.2010.04.012
30,"Gong, LB|Xu, CY|Chen, DL|Halldin, S|Chen, YQD",2006,Sensitivity of the Penman-Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,JOURNAL OF HYDROLOGY,196,https://dx.doi.org/10.1016/j.jhydrol.2006.03.027
41,"Chen, Y|Yu, J|Khan, S",2010,Spatial sensitivity analysis of multi-criteria weights in GIS-based land suitability evaluation,ENVIRONMENTAL MODELLING & SOFTWARE,169,https://dx.doi.org/10.1016/j.envsoft.2010.06.001
20,"Doltsinis, I|Kang, Z",2004,Robust design of structures using optimization methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,152,https://dx.doi.org/10.1016/j.cma.2003.12.055
0,"Cohan, DS|Hakami, A|Hu, YT|Russell, AG",2005,Nonlinear response of ozone to emissions: Source apportionment and sensitivity analysis,ENVIRONMENTAL SCIENCE & TECHNOLOGY,147,https://dx.doi.org/10.1021/es05664m
31,"Al-Raoush, RI|Willson, CS",2005,Extraction of physically realistic pore network properties from three-dimensional synchrotron X-ray microtomography images of unconsolidated porous media systems,JOURNAL OF HYDROLOGY,142,https://dx.doi.org/10.1016/j.jhydrol.2004.05.005
32,"Arabi, M|Govindaraju, RS|Hantush, MM",2007,A probabilistic approach for analysis of uncertainty in the evaluation of watershed management practices,JOURNAL OF HYDROLOGY,110,https://dx.doi.org/10.1016/j.jhydrol.2006.09.012
1,"Dunker, AM|Yarwood, G|Ortmann, JP|Wilson, GM",2002,"The decoupled direct method for sensitivity analysis in a three-dimensional air quality model - Implementation, accuracy, and efficiency",ENVIRONMENTAL SCIENCE & TECHNOLOGY,82,https://dx.doi.org/10.1021/es0112691
33,"Marty, NCM|Tournassat, C|Burnol, A|Giffaut, E|Gaucher, EC",2009,Influence of reaction kinetics and mesh refinement on the numerical modelling of concrete/clay interactions,JOURNAL OF HYDROLOGY,80,https://dx.doi.org/10.1016/j.jhydrol.2008.10.013
42,"Cheng, V|Steerners, K",2011,Modelling domestic energy consumption at district scale: A tool to support national and local energy policies,ENVIRONMENTAL MODELLING & SOFTWARE,74,https://dx.doi.org/10.1016/j.envsoft.2011.04.005
43,"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,ENVIRONMENTAL MODELLING & SOFTWARE,72,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
34,"Haddad, K|Rahman, A",2012,Regional flood frequency analysis in eastern Australia: Bayesian GLS regression-based methods within fixed region and ROI framework - Quantile Regression vs. Parameter Regression Technique,JOURNAL OF HYDROLOGY,64,https://dx.doi.org/10.1016/j.jhydrol.2012.02.012
21,"Srikanth, A|Zabaras, N",2000,Shape optimization and preform design in metal forming processes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,53,https://dx.doi.org/10.1016/S0045-7825(00)00213-9
2,"Ng, CA|Hungerbuhler, K",2013,Bioconcentration of Perfluorinated Alkyl Acids: How Important Is Specific Binding?,ENVIRONMENTAL SCIENCE & TECHNOLOGY,49,https://dx.doi.org/10.1021/es400981a
44,"Chen, Y|Yu, J|Khan, S",2013,The spatial framework for weight sensitivity analysis in AHP-based multi-criteria decision making,ENVIRONMENTAL MODELLING & SOFTWARE,47,https://dx.doi.org/10.1016/j.envsoft.2013.06.010
45,"Sun, XY|Newham, LTH|Croke, BFW|Norton, JP",2012,Three complementary methods for sensitivity analysis of a water quality model,ENVIRONMENTAL MODELLING & SOFTWARE,46,https://dx.doi.org/10.1016/j.envsoft.2012.04.010
10,"Pappa, VA|Rees, RM|Walker, RL|Baddeley, JA|Watson, CA",2011,Nitrous oxide emissions and nitrate leaching in an arable rotation resulting from the presence of an intercrop,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,41,https://dx.doi.org/10.1016/j.agee.2011.02.025
22,"Doltsinis, I|Kang, Z|Cheng, GD",2005,Robust design of non-linear structures using optimization methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,40,https://dx.doi.org/10.1016/j.cma.2004.02.027
35,"Frey, MP|Schneider, MK|Dietzel, A|Reichert, P|Stamm, C",2009,Predicting critical source areas for diffuse herbicide losses to surface waters: Role of connectivity and boundary conditions,JOURNAL OF HYDROLOGY,39,https://dx.doi.org/10.1016/j.jhydrol.2008.11.015
3,"Ping, QY|Zhang, CY|Chen, XE|Zhang, B|Huang, ZY|He, Z",2014,Mathematical Model of Dynamic Behavior of Microbial Desalination Cells for Simultaneous Wastewater Treatment and Water Desalination,ENVIRONMENTAL SCIENCE & TECHNOLOGY,39,https://dx.doi.org/10.1021/es504089x
4,"Shaviv, A|Raban, S|Zaidel, E",2003,Modeling controlled nutrient release from a population of polymer coated fertilizers: Statistically based model for diffusion release,ENVIRONMENTAL SCIENCE & TECHNOLOGY,39,https://dx.doi.org/10.1021/es0205277
5,"Howard, CJ|Kumar, A|Malkina, I|Mitloehner, F|Green, PG|Flocchini, RG|Kleeman, MJ",2010,Reactive Organic Gas Emissions from Livestock Feed Contribute Significantly to Ozone Production in Central California,ENVIRONMENTAL SCIENCE & TECHNOLOGY,36,https://dx.doi.org/10.1021/es902864u
11,"Ceballos-Silva, A|Lopez-Blanco, J",2003,Evaluating biophysical variables to identify suitable areas for oat in Central Mexico: a multi-criteria and GIS approach,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,36,https://dx.doi.org/10.1016/S0167-8809(02)00180-9
12,"Tan, CS|Drury, CF|Reynolds, WD|Groenevelt, PH|Dadfar, H",2002,Water and nitrate loss through tiles under a clay loam soil in Ontario after 42 years of consistent fertilization and crop rotation,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,35,https://dx.doi.org/10.1016/S0167-8809(01)00359-0
46,"Pastres, R|Ciavatta, S",2005,A comparison between the uncertainties in model parameters and in forcing functions: its application to a 3D water-quality model,ENVIRONMENTAL MODELLING & SOFTWARE,35,https://dx.doi.org/10.1016/j.envsoft.2004.09.010
36,"Dhillon, KS|Dhillon, SK",2003,Quality of underground water and its contribution towards selenium enrichment of the soil-plant system for a seleniferous region of northwest India,JOURNAL OF HYDROLOGY,34,https://dx.doi.org/10.1016/S0022-1694(02)00259-7
23,"Van den Nieuwenhof, B|Coyette, JP",2003,Modal approaches for the stochastic finite element analysis of structures with material and geometric uncertainties,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,33,https://dx.doi.org/10.1016/S0045-7825(03)00371-2
13,"Jarecki, MK|Parkin, TB|Chan, ASK|Kaspar, TC|Moorman, TB|Singer, JW|Kerr, BJ|Hatfield, JL|Jones, R",2009,Cover crop effects on nitrous oxide emission from a manure-treated Mollisol,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,33,https://dx.doi.org/10.1016/j.agee.2009.05.008
14,"Aslam, T|Choudhary, MA|Saggar, S",2000,Influence of land-use management on CO2 emissions from a silt loam soil in New Zealand,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,32,https://dx.doi.org/10.1016/S0167-8809(99)00102-4
47,"Hirabayashi, S|Kroll, CN|Nowak, DJ",2011,Component-based development and sensitivity analyses of an air pollutant dry deposition model,ENVIRONMENTAL MODELLING & SOFTWARE,32,https://dx.doi.org/10.1016/j.envsoft.2010.11.007
48,"Newham, LTH|Norton, JP|Prosser, IP|Croke, BFW|Jakeman, AJ",2003,Sensitivity analysis for assessing the behaviour of a landscape-based sediment source and transport model,ENVIRONMENTAL MODELLING & SOFTWARE,30,https://dx.doi.org/10.1016/S1364-8152(03)00076-8
15,"Alliaume, F|Rossing, WAH|Tittonell, P|Jorge, G|Dogliotti, S",2014,Reduced tillage and cover crops improve water capture and reduce erosion of fine textured soils in raised bed tomato systems,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,30,https://dx.doi.org/10.1016/j.agee.2013.11.001
16,"Cayuela, ML|Aguilera, E|Sanz-Cobena, A|Adams, DC|Abalos, D|Barton, L|Ryals, R|Silver, WL|Alfaro, MA|Pappa, VA|Smith, P|Garnier, J|Billen, G|Bouwman, L|Bondeau, A|Lassaletta, L",2017,Direct nitrous oxide emissions in Mediterranean climate cropping systems: Emission factors based on a meta-analysis of available measurement data,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,29,https://dx.doi.org/10.1016/j.agee.2016.10.006
49,"Brown, HE|Huth, NI|Holzworth, DP|Teixeira, EI|Zyskowski, RF|Hargreaves, JNG|Moot, DJ",2014,Plant Modelling Framework: Software for building and running crop models on the APSIM platform,ENVIRONMENTAL MODELLING & SOFTWARE,27,https://dx.doi.org/10.1016/j.envsoft.2014.09.005
24,"Doltsinis, I|Kang, Z",2006,Perturbation-based stochastic FE analysis and robust design of inelastic deformation processes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2005.05.004
37,"Elsawwaf, M|Willems, P|Feyen, J",2010,"Assessment of the sensitivity and prediction uncertainty of evaporation models applied to Nasser Lake, Egypt",JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2010.10.002
17,"Kahiluoto, H|Ketoja, E|Vestberg, M",2009,Contribution of arbuscular mycorrhiza to soil quality in contrasting cropping systems,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,23,https://dx.doi.org/10.1016/j.agee.2009.05.016
19,"Main, AR|Michel, NL|Cavallaro, MC|Headley, JV|Peru, KM|Morrissey, CA",2016,Snowmelt transport of neonicotinoid insecticides to Canadian Prairie wetlands,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,22,https://dx.doi.org/10.1016/j.agee.2015.09.011
18,"Balota, EL|Calegari, A|Nakatani, AS|Coyne, MS",2014,Benefits of winter cover crops and no-tillage for microbial parameters in a Brazilian Oxisol: A long-term study,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,22,https://dx.doi.org/10.1016/j.agee.2014.07.010
7,"Mendoza-Dominguez, A|Russell, AG",2000,Iterative inverse modeling and direct sensitivity analysis of a photochemical air duality model,ENVIRONMENTAL SCIENCE & TECHNOLOGY,22,https://dx.doi.org/10.1021/es991040+
6,"Moermond, CTA|Traas, TP|Roessink, I|Veltman, K|Hendriks, AJ|Koelmans, AA",2007,Modeling decreased food chain accumulation of PAHs due to strong sorption to carhonaceous materials and metabolic transformation,ENVIRONMENTAL SCIENCE & TECHNOLOGY,22,https://dx.doi.org/10.1021/es0702364
25,"Zhang, X|Rayasam, M|Subbarayan, G",2007,"A meshless, compositional approach to shape optimal design",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,21,https://dx.doi.org/10.1016/j.cma.2006.11.008
26,"Acharjee, S|Zabaras, N",2006,The continuum sensitivity method for the computational design of three-dimensional deformation processes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,https://dx.doi.org/10.1016/j.cma.2004.05.033
27,"Xia, L|Zhu, JH|Zhang, WH",2012,Sensitivity analysis with the modified Heaviside function for the optimal layout design of multi-component systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2012.06.005
38,"Audouin, O|Bodin, J",2008,Cross-borehole slug test analysis in a fractured limestone aquifer,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2007.10.021
28,"Lin, G|Su, CH|Karniadakis, GE",2008,Stochastic modeling of random roughness in shock scattering problems: Theory and simulations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,https://dx.doi.org/10.1016/j.cma.2008.02.025
39,"Hill, MC",2010,"Comment on ""Two statistics for evaluating parameter identifiability and error reduction"" by John Doherty and Randall J. Hunt",JOURNAL OF HYDROLOGY,15,https://dx.doi.org/10.1016/j.jhydrol.2009.10.011
8,"Digar, A|Cohan, DS",2010,Efficient Characterization of Pollutant-Emission Response under Parametric Uncertainty,ENVIRONMENTAL SCIENCE & TECHNOLOGY,14,https://dx.doi.org/10.1021/es903743t
9,"Fellows, RJ|Wang, ZM|Ainsworth, CC",2003,Europium uptake and partitioning in oat (Avena sativa) roots as studied by laser-induced fluorescence spectroscopy and confocal microscopy profiling technique,ENVIRONMENTAL SCIENCE & TECHNOLOGY,11,https://dx.doi.org/10.1021/es0343609
29,"Lampoh, K|Charpentier, I|Daya, E",2011,A generic approach for the solution of nonlinear residual equations. Part III: Sensitivity computations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,https://dx.doi.org/10.1016/j.cma.2011.06.009
