,AU,year,title,journal,citations,DOI link
23,"Tang, Y|Reed, P|Wagener, T|van Werkhoven, K",2007,Comparing sensitivity analysis methods to advance lumped watershed model identification and evaluation,HYDROLOGY AND EARTH SYSTEM SCIENCES,161,https://dx.doi.org/10.5194/hess-11-793-2007
5,"Ziehn, T|Tomlin, AS",2009,GUI-HDMR - A software tool for global sensitivity analysis of complex models,ENVIRONMENTAL MODELLING & SOFTWARE,120,https://dx.doi.org/10.1016/j.envsoft.2008.12.002
6,"Gallagher, M|Doherty, J",2007,Parameter estimation and uncertainty analysis for a watershed model,ENVIRONMENTAL MODELLING & SOFTWARE,119,https://dx.doi.org/10.1016/j.envsoft.2006.06.007
7,"Clavreul, J|Baumeister, H|Christensen, TH|Damgaard, A",2014,An environmental assessment system for environmental technologies,ENVIRONMENTAL MODELLING & SOFTWARE,78,https://dx.doi.org/10.1016/j.envsoft.2014.06.007
15,"Cannavo, F",2012,Sensitivity analysis for volcanic source modeling quality assessment and model selection,COMPUTERS & GEOSCIENCES,74,https://dx.doi.org/10.1016/j.cageo.2012.03.008
8,"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,ENVIRONMENTAL MODELLING & SOFTWARE,73,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
9,"Harmel, RD|Smith, DR|King, KW|Slade, RM",2009,Estimating storm discharge and water quality data uncertainty: A software tool for monitoring and modeling applications,ENVIRONMENTAL MODELLING & SOFTWARE,64,https://dx.doi.org/10.1016/j.envsoft.2008.12.006
10,"Wegmann, F|Cavin, L|MacLeod, M|Scheringer, M|Hungerbuhler, K",2009,The OECD software tool for screening chemicals for persistence and long-range transport potential,ENVIRONMENTAL MODELLING & SOFTWARE,60,https://dx.doi.org/10.1016/j.envsoft.2008.06.014
28,"Sinha, K",2007,Reliability-based multiobjective optimization for automotive crashworthiness and occupant safety,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,58,https://dx.doi.org/10.1007/s00158-006-0050-x
58,"Duan, HB|Eugster, M|Hischier, R|Streicher-Porte, M|Li, JH",2009,Life cycle assessment study of a Chinese desktop personal computer,SCIENCE OF THE TOTAL ENVIRONMENT,58,https://dx.doi.org/10.1016/j.scitotenv.2008.10.063
52,"Shin, MJ|Guillaume, JHA|Croke, BFW|Jakeman, AJ",2013,Addressing ten questions about conceptual rainfall-runoff models with global sensitivity analyses in R,JOURNAL OF HYDROLOGY,56,https://dx.doi.org/10.1016/j.jhydrol.2013.08.047
16,"Brown, JD|Heuvelink, GBM",2007,The Data Uncertainty Engine (DUE): A software tool for assessing and simulating uncertain environmental variables,COMPUTERS & GEOSCIENCES,51,https://dx.doi.org/10.1016/j.cageo.2006.06.015
11,"Zambrano-Bigiarini, M|Rojas, R",2013,A model-independent Particle Swarm Optimisation software for model calibration,ENVIRONMENTAL MODELLING & SOFTWARE,46,https://dx.doi.org/10.1016/j.envsoft.2013.01.004
12,"Babendreier, JE|Castleton, KJ",2005,"Investigating uncertainty and sensitivity in integrated, multimedia environmental models: tools for FRAMES-3MRA",ENVIRONMENTAL MODELLING & SOFTWARE,43,https://dx.doi.org/10.1016/j.envsoft.2004.09.013
24,"Futter, MN|Erlandsson, MA|Butterfield, D|Whitehead, PG|Oni, SK|Wade, AJ",2014,PERSiST: a flexible rainfall-runoff modelling toolkit for use with the INCA family of models,HYDROLOGY AND EARTH SYSTEM SCIENCES,42,https://dx.doi.org/10.5194/hess-18-855-2014
13,"Benedetti, L|Bixio, D|Claeys, F|Vanrolleghem, PA",2008,Tools to support a model-based methodology for emission/immission and benefit/cost/risk analysis of wastewater systems that considers uncertainty,ENVIRONMENTAL MODELLING & SOFTWARE,42,https://dx.doi.org/10.1016/j.envsoft.2008.01.001
0,"Petzold, L|Li, ST|Cao, Y|Serban, R",2006,Sensitivity analysis of differential-algebraic equations and partial differential equations,COMPUTERS & CHEMICAL ENGINEERING,40,https://dx.doi.org/10.1016/j.compchemeng.2006.05.015
29,"Huang, X|Xie, YM|Jia, B|Li, Q|Zhou, SW",2012,Evolutionary topology optimization of periodic composites for extremal magnetic permeability and electrical permittivity,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,38,https://dx.doi.org/10.1007/s00158-012-0766-8
30,"Tang, PS|Chang, KH",2001,Integration of topology and shape optimization for design of structural components,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,35,https://dx.doi.org/10.1007/PL00013282
14,"Hirsch, RM|Archfield, SA|De Cicco, LA",2015,A bootstrap method for estimating uncertainty of water quality trends,ENVIRONMENTAL MODELLING & SOFTWARE,33,https://dx.doi.org/10.1016/j.envsoft.2015.07.017
38,"Novak, D|Vorechovsky, M|Teply, B",2014,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module,ADVANCES IN ENGINEERING SOFTWARE,27,https://dx.doi.org/10.1016/j.advengsoft.2013.06.011
17,"Weerts, AH|El Serafy, GY|Hummel, S|Dhondia, J|Gerritsen, H",2010,Application of generic data assimilation tools (DATools) for flood forecasting purposes,COMPUTERS & GEOSCIENCES,26,https://dx.doi.org/10.1016/j.cageo.2009.07.009
1,"Pistikopoulos, EN|Diangelakis, NA",2016,"Towards the integration of process design, control and scheduling: Are we getting closer?",COMPUTERS & CHEMICAL ENGINEERING,26,https://dx.doi.org/10.1016/j.compchemeng.2015.11.002
53,"Geza, M|Poeter, EP|McCray, JE",2009,Quantifying predictive uncertainty for a mountain-watershed model,JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2009.07.025
18,"Hamm, NAS|Hall, JW|Anderson, MG",2006,Variance-based sensitivity analysis of the probability of hydrologically induced slope instability,COMPUTERS & GEOSCIENCES,22,https://dx.doi.org/10.1016/j.cageo.2005.10.007
19,"Elizondo, D|Cappelaere, B|Faure, C",2002,Automatic versus manual model differentiation to compute sensitivities and solve non-linear inverse problems,COMPUTERS & GEOSCIENCES,22,https://dx.doi.org/10.1016/S0098-3004(01)00048-6
25,"He, X|Sonnenborg, TO|Jorgensen, F|Hoyer, AS|Moller, RR|Jensen, KH",2013,Analyzing the effects of geological and parameter uncertainty on prediction of groundwater head and travel time,HYDROLOGY AND EARTH SYSTEM SCIENCES,20,https://dx.doi.org/10.5194/hess-17-3245-2013
46,"Sun, F|Shao, HB|Kalbacher, T|Wang, WQ|Yang, ZS|Huang, ZF|Kolditz, O",2011,Groundwater drawdown at Nankou site of Beijing Plain: model development and calibration,ENVIRONMENTAL EARTH SCIENCES,19,https://dx.doi.org/10.1007/s12665-011-0957-4
39,"Chang, KH|Joo, SH",2006,Design parameterization and tool integration for CAD-based mechanism optimization,ADVANCES IN ENGINEERING SOFTWARE,19,https://dx.doi.org/10.1016/j.advengsoft.2006.05.005
59,"Pieragostini, C|Aguirre, P|Mussati, MC",2014,Life cycle assessment of corn-based ethanol production in Argentina,SCIENCE OF THE TOTAL ENVIRONMENT,18,https://dx.doi.org/10.1016/j.scitotenv.2013.11.012
