relevant,DOI,title,1,2,3,4,5
?,10.1117/1.JRS.7.073591,Determination of the overlap factor and its enhancement for medium-size tropospheric lidar systems: a ray-tracing approach (2013),"The problem of overlap factor (OVF) computation and its near-range sensitivity for medium-size aperture (f/, f/) bi-axial tropospheric lidar systems using ray-tracing simulation software is presented.","A sensitivity analysis is carried out as a function of laser divergence, field lens, and detector/fiber positions, detector size, and the fiber's core diameter and numerical aperture.","Insertion of a field lens proves to be an elegant and low sensitivity solution for OVF enhancement, particularly, in the near-range of the lidar.",Parametric simulations are carried out to show that both approaches are coincident.,The ray-tracing approach presented here is straightforward and a comparatively much simpler solution than analytical-based methods.
No (not related to environment),10.1615/Int.J.UncertaintyQuantification.2016016194,SOFTWARE RELIABILITY GROWTH MODEL WITH TEMPORAL CORRELATION IN A NETWORK ENVIRONMENT (2016),Increasingly software systems are developed to provide great flexibility to customers but also introduce great uncertainty for system development.,"Based on a stochastic model of the software fault detection process, the environmental uncertainties collectively are treated as a noise of arbitrary distribution and correlation structure.","To validate our model, we consider five particular scenarios with distinct environmental uncertainty.",Experimental comparisons with existing methods demonstrate that the new framework shows a closer fitting to actual data and exhibits a more accurately predictive power.,"Based on the stochastic model, the analytical solution can be derived."
?,10.2166/wqrjc.2011.028,A simulation of the fate of nitrogen in an on-site wastewater treatment system (2011),"Following a sensitivity analysis, the model was calibrated by comparing results from the pilot experiment and those of the simulation predictions.",Modeling was performed with the GPS-X (TM) software.,"The calibrated model shows a good agreement with results obtained in the pilot unit, although work remains to be done for nitrates.","Modeling of residential wastewater treatment appears to be a useful tool for understanding, optimizing and predicting the expected performances of such a system.","Obtained results show that the studied pilot unit is able to eliminate most of the ammonia contained in the influent, except for days with exceptionally high influent concentrations."
?,10.1002/2017WR020814,"A Practical, Robust Methodology for Acquiring New Observation Data Using Computationally Expensive Groundwater Models (2017)",These predictions often contain a significant degree of uncertainty.,"Regional groundwater flow models play an important role in decision making regarding water resources; however, the uncertainty embedded in model parameters and model assumptions can significantly hinder the reliability of model predictions.",One way to reduce this uncertainty is to collect new observation data from the field.,The so-called Null-Space Monte Carlo method is used to reduce the computational burden associated with uncertainty quantification.,"The method incorporates any existing information, examines the characteristics of uncertainty, and alleviates the high computing costs associated with conducting the necessary calculations."
No (not related to environment),10.1002/cnm.2615,Verification of computational models of cardiac electro-physiology (2014),"The field of 'verification, validation and uncertainty quantification' has been developed to evaluate the credibility of computational predictions.","The first stage, verification, is the evaluation of how well computational software correctly solves the underlying mathematical equations.","These problems are carefully constructed so that they can be easily run using a general solver and can be used to greatly increase confidence that an implementation is correct, which we illustrate by testing one major solver, 'Chaste', on the problems.","For computational models of cardiac activity to be used in safety-critical clinical decision-making, thorough and rigorous testing of the accuracy of predictions is required.","We define D-D model problems with exact solutions for each of the monodomain, bidomain, and bidomain-with-perfusing-bath formulations of cardiac electro-physiology, which allow for the first time the testing of cardiac solvers against exact errors on fully coupled problems in all dimensions."
No,10.1016/j.watres.2009.03.017,Nitritation performance and biofilm development of co- and counter-diffusion biofilm reactors: Modeling and experimental comparison (2009),Mathematical simulations of these two geometries were implemented in two -D multispecies biofilm models using the AQUASIM software.,The modeling simulations demonstrated that Ki had stronger effects on nitrogen conversion at lower (- m d(-)) than at the higher values (>  m d(-)).,The experimental results showed that the counter-diffusion biofilms developed faster and attained a larger maximum biofilm thickness than the co-diffusion biofilms.,mg L-) and high pH (.-.,Sensitivity analysis results showed that the oxygen mass transfer coefficient (K-i) and maximum specific growth rate of ammonia-oxidizing (AOB) and nitrite-oxidizing bacteria (NOB) were the determinant parameters in nitrogen conversion simulations.
?,10.1214/14-BA909,Sensitivity Analysis for Bayesian Hierarchical Models (2015),"We propose a novel formal approach to prior sensitivity analysis, which is fast and accurate.","Other formal approaches to prior sensitivity analysis suffer from a lack of popularity in practice, mainly due to their high computational cost and absence of software implementation.","Despite its importance, informal approaches to prior sensitivity analysis are currently used.",It quantifies sensitivity without the need for a model re-fit.,Prior sensitivity examination plays an important role in applied Bayesian analyses.
Yes - NEVA,10.1007/s10584-014-1254-5,Non-stationary extreme value analysis in a changing climate (2014),The software presents the results of non-stationary extreme value analysis using various exceedance probability methods.,"NEVA includes posterior probability intervals (uncertainty bounds) of estimated return levels through Bayesian inference, with its inherent advantages in uncertainty quantification.","This framework is implemented in the Non-stationary Extreme Value Analysis (NEVA) software package, explicitly designed to facilitate analysis of extremes in the geosciences.",We evaluate both stationary and non-stationary components of the package for a case study consisting of annual temperature maxima for a gridded global temperature dataset.,"This paper introduces a framework for estimating stationary and non-stationary return levels, return periods, and risks of climatic extremes using Bayesian inference."
Yes,10.1061/(ASCE)CP.1943-5487.0000239,Study of MEPDG Sensitivity Using Nonparametric Regression Procedures (2014),"Using four-layer pavement geometry [two asphalt concrete (AC), base, and subgrade layers], simulations are run in MEPDG software to produce a time series of predicted distresses such as roughness, rutting, and cracking.","Because the new Mechanistic-Empirical Pavement Design Guide (MEPDG) includes numerous inputs, a sensitivity analysis using the Monte Carlo approach is not practical because it requires thousands of MEPDG runs.","Instead, nonparametric regression procedures can be very useful to perform MEPDG sensitivity analysis.",Thirty inputs are used to randomly generate  input combinations by using Latin hypercube sampling.,"In addition to these, alligator cracking is highly sensitive to percentage of air voids in the bottom AC layer."
Yes - GUI-HDMR,10.1016/j.envsoft.2008.12.002,GUI-HDMR - A software tool for global sensitivity analysis of complex models (2009),The developed GUI-HDMR software copes very well with the test cases and sensitivity indices of first and second order could be calculated accurately with only low computational effort.,"GUI-HDMR can be applied to a wide range of applications in all fields, because in principle only one random or quasi-random set of input and output values is required to estimate all sensitivity indices up to second order.",The high dimensional model representation (HDMR) method is a set of tools which can be used to construct a fully functional metamodel and to calculate variance based sensitivity indices very efficiently.,The HDMR software described here combines the RS-HDMR tools and its extensions in one Matlab package equipped with a graphical user interface (GUI).,"The performance of the GUI-HDMR software has been tested in this paper using two analytical test models, the Ishigami function and the Sobol' g-function."
