AU,SO,copyright,title,year
"Abdelaziz, AH|Kolossa, D",SPEECH COMMUNICATION, (c) 2016 Elsevier B.V. All rights reserved.,General hybrid framework for uncertainty-decoding-based automatic speech recognition systems,2016
"Magri, L|Bauerheim, M|Juniper, MP",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Stability analysis of thermo-acoustic nonlinear eigenproblems in annular combustors. Part I. Sensitivity,2016
"Liu, L|Flora, JRV|Aelion, CM",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,,Theoretical analysis of the influence of process parameters on the use of an encapsulated phosphate buffer to control pH in a soil column,2003
"Omrani, H|Keshavarz, M",APPLIED MATHEMATICAL MODELLING, (C) 2014 Elsevier Inc. All rights reserved.,An interval programming approach for developing economic order quantity model with imprecise exponents and coefficients,2014
"Thuburn, J|Haine, TWN",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2001 Academic Press.,Adjoints of nonoscillatory advection schemes,2001
"Dennison, PE|Charoensiri, K|Roberts, DA|Peterson, SH|Green, RO",REMOTE SENSING OF ENVIRONMENT, (c) 2005 Elsevier Inc. All rights reserved.,Wildfire temperature and land cover modeling using hyperspectral data,2006
"Heidari, A|Saghafian, B|Maknoon, R",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Assessment of flood forecasting lead time based on generalized likelihood uncertainty estimation approach,2006
"Mocenni, C|Madeo, D|Sparacino, E",MATHEMATICS AND COMPUTERS IN SIMULATION, Published by Elsevier B.V. All rights reserved.,Linear least squares parameter estimation of nonlinear reaction diffusion equations,2011
"Shandilya, N|Morgeneyer, M|Le Bihan, O",JOURNAL OF AEROSOL SCIENCE, Elsevier Ltd. All rights reserved.,"First development to model aerosol emission from solid surfaces subjected to mechanical stresses: II. Experiment-theory comparison, simulation and sensibility analysis",2015
"Cannavo, F",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Sensitivity analysis for volcanic source modeling quality assessment and model selection,2012
"Zhang, BH|Konomi, BA|Sang, HY|Karagiannis, G|Lin, G",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.,Full scale multi-output Gaussian process emulator with nonseparable auto-covariance functions,2015
"Castillo, E|Minguez, R|Ruiz-Teran, A|Fernandez-Canteli, A",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2004 John Wiley Sons, Ltd.",Design of a composite beam using the failure probability-safety factor method,2005
"Werner, S|Stingl, M|Leugering, G",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Elsevier B.V. All rights reserved.,Model-based control of dynamic frictional contact problems using the example of hot rolling,2017
"Xia, Q|Shi, TL|Wang, MY|Liu, SY",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A level set based method for the optimization of cast part,2010
"Boukouvala, F|Niotis, V|Ramachandran, R|Muzzio, FJ|Ierapetritou, MG",COMPUTERS & CHEMICAL ENGINEERING, Published by Elsevier Ltd.,An integrated approach for dynamic flowsheet modeling and sensitivity analysis of a continuous tablet manufacturing process,2012
"Bushey, JT|Small, MJ|Dzombak, DA|Ebbs, SD",INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,,Parameter estimation of a plant uptake model for cyanide: Application to hydroponic data,2006
"Langelaar, M|Yoon, GH|Kim, YY|van Keulen, F",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2011 John Wiley & Sons, Ltd.",Topology optimization of planar shape memory alloy thermal actuators using element connectivity parameterization,2011
