,AU,SO,copyright,title,year
0,"Breuer, L|Huisman, JA|Frede, HG",ENVIRONMENTAL MODELING & ASSESSMENT,,Monte Carlo assessment of uncertainty in the simulated hydrological response to land use change,2006
1,"Hu, SY|Zhu, Q|Guo, JJ|Tang, B",ENVIRONMENTAL EARTH SCIENCES,,Production rate analysis of multiple-fractured horizontal wells in shale gas reservoirs by a trilinear flow model,2017
2,"Sun, GY|Zhang, HL|Wang, RY|Lv, XJ|Li, Q",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Multiobjective reliability-based optimization for crashworthy structures coupled with metal forming process,2017
3,"De Laender, F|Van Oevelen, D|Middelburg, JJ|Soetaert, K",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY, (C) 2009 Elsevier Inc. All rights reserved.,"Uncertainties in ecological, chemical and physiological parameters of a bioaccumulation model: Implications for internal concentrations and tissue based risk quotients",2010
4,"Cao, Y|Luo, XG|Kwong, CK|Tang, JFF|Zhou, W",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,,Joint optimization of product family design and supplier selection under multinomial logit consumer choice rule,2012
5,"Arabi, M|Govindaraju, RS|Engel, B|Hantush, M",WATER RESOURCES RESEARCH,,Multiobjective sensitivity analysis of sediment and nitrogen processes with a watershed model,2007
6,"Wang, D|LeBauer, D|Dietze, M",ECOLOGICAL APPLICATIONS,,Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model-data synthesis,2013
7,"Kovtunenko, VA",JOURNAL OF ENGINEERING MATHEMATICS,,Primal-dual sensitivity analysis of active sets for mixed boundary-value contact problems,2006
8,"Elhag, M",JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,,Inconsistencies of SEBS Model Output Based on the Model Inputs: Global Sensitivity Contemplations,2016
9,"Han, Z|Wu, YH|Lightstone, S|Gross, B",JOURNAL OF APPLIED REMOTE SENSING, (C) 2016 Society of Photo-Optical Instrumentation Engineers (SPIE),Observation of aerosol-cloud interaction over New York City using synergetic ground-based remote sensing systems,2016
10,"Ramin, E|Flores-Alsina, X|Sin, G|Gernaey, KV|Jeppsson, U|Mikkelsen, PS|Plosz, BG",CHEMICAL ENGINEERING JOURNAL, (C) 2013 Elsevier B.V. All rights reserved.,Influence of selecting secondary settling tank sub-models on the calibration of WWTP models - A global sensitivity analysis using BSM2,2014
11,"Dennison, PE|Charoensiri, K|Roberts, DA|Peterson, SH|Green, RO",REMOTE SENSING OF ENVIRONMENT, (c) 2005 Elsevier Inc. All rights reserved.,Wildfire temperature and land cover modeling using hyperspectral data,2006
12,"Iorio, L",CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,,Perspectives on effectively constraining the location of a massive trans-Plutonian object with the New Horizons spacecraft: a sensitivity analysis,2013
13,"Hu, Y|Wang, JF|Li, XH|Ren, D|Driskell, L|Zhu, J",INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,Exploring geological and socio-demographic factors associated with under-five mortality in the Wenchuan earthquake using neural network model,2012
14,"De Melo, RM|Bezerra, MC|Dantas, J|Matos, R|De Melo, IJ|Maciel, P",MATHEMATICAL PROBLEMS IN ENGINEERING,,Redundant VoD Streaming Service in a Private Cloud: Availability Modeling and Sensitivity Analysis,2014
15,"Banitz, T|Gras, A|Ginovart, M",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,"Individual-based modeling of soil organic matter in NetLogo: Transparent, user-friendly, and open",2015
16,"Najafzadeh, M|Balf, MR|Rashedi, E",JOURNAL OF HYDROINFORMATICS,,"Prediction of maximum scour depth around piers with debris accumulation using EPR, MT, and GEP models",2016
17,"Kang, Z|Luo, YJ",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2009 Elsevier B.V. All rights reserved.,Non-probabilistic reliability-based topology optimization of geometrically nonlinear structures using convex models,2009
