DOI,title,1,2,3,4,5
10.1016/j.jhydrol.2016.01.058,Evaluating two sparse grid surrogates and two adaptation criteria for groundwater Bayesian uncertainty quantification (2016),"While our numerical study suggests building state-variable surrogates and using the relative error indicator for building log-likelihood surrogates, selecting appropriate type of surrogates and error indicators depends on the shapes of response surfaces.",The shapes should be approximated and examined before building sparse grid surrogates.,"Using a synthetic groundwater flow model, this study evaluates the log-likelihood and head surrogates in terms of the computational cost of building them, the accuracy of the surrogates, and the accuracy of the distributions of model parameters and predictions obtained using the surrogates.","For both log-likelihood and head surrogates, adaptive sparse grids are built using two indicators: absolute error and relative error.","The head surrogates outperform the log-likelihood surrogates for the following four reasons: () the shape of the head response surface is smoother than that of the log-likelihood response surface in parameter space, () the head variation is smaller than the log-likelihood variation in parameter space, () the interpolation error of the head surrogates does not accumulate to be larger than the interpolation error of the log-likelihood surrogates, and () the model simulations needed for building one head surrogate can be recycled for building others."
10.1016/j.envsoft.2013.10.017,Global sensitivity analysis of yield output from the water productivity model (2014),The study rationale consisted in a comprehensive evaluation of the model and the formulation of guidelines for model simplification and efficient calibration.,"Also, a list of influential parameters was identified.","The main objectives were to distinguish the model's influential and non-influential parameters, and to examine the yield output sensitivity.",This study includes a global sensitivity analysis of the water productivity model AquaCrop.,"Instead, particular root and soil parameters, relevant in the determination of water availability, were influential under various conditions and merit attention during calibration."
10.1016/j.envsoft.2015.10.005,"How agent heterogeneity, model structure and input data determine the performance of an empirical ABM - A real-world case study on residential mobility (2016)","While partly answered using simple and abstract models, the question of the role of different aspects of model detail for controlling model outcomes still has not been explored with empirical ABMs.","Our diverse results indicate that a good data basis is crucial, heterogeneity strongly controls small-scale patterns and different design aspects must be tested thoroughly.","Evaluation is done by measuring the ability to predict empirical patterns for different topics, population, relocations and vacancies at different scales.",,
10.1016/j.cma.2016.09.024,A generalized multi-resolution expansion for uncertainty propagation with application to cardiovascular modeling (2017),"A general stochastic system may be characterized by a large number of arbitrarily distributed and correlated random inputs, and a limited support response with sharp gradients or event discontinuities.",We also show how these binary refinements are particularly effective in avoiding the exponential increase in the multi-resolution basis cardinality and significantly reduce the regression complexity for moderate to high dimensional random inputs.,The performance of the approach is demonstrated through previously proposed uncertainty propagation benchmarks and stochastic multi-scale finite element simulations in cardiovascular flow.,"In this work, we generalize a previously proposed multi-resolution approach to uncertainty propagation to develop a method that improves computational efficiency, can handle arbitrarily distributed random inputs and non-smooth stochastic responses, and naturally facilitates adaptivity, i.e., the expansion coefficients encode information on solution refinement.","This motivates continued research into novel adaptive algorithms for uncertainty propagation, particularly those handling high dimensional, arbitrarily distributed random inputs and non-smooth stochastic responses."
10.1016/j.cma.2009.11.021,A gPC-based approach to uncertain transonic aerodynamics (2010),The results allow for a better understanding of the flow sensitivity to such uncertainties and underline the coupling process between the stochastic parameters.,"Two kinds of non-linearities are critical with respect to the skin-friction uncertainties: on one hand, the leeward shock movement characteristic of the supercritical profile and on the other hand, the boundary-layer separation on the aft part of the airfoil downstream the shock.","The sensitivity analysis, thanks to the Sobol' decomposition, shows that a strong non-linear coupling exists between the uncertain parameters.",,
10.1016/j.cma.2012.10.016,Uncertainty quantification in computational stochastic multiscale analysis of nonlinear elastic materials (2013),"To overcome the curse of dimensionality, due to the high number of involved random variables, the problem is transformed into another one consisting in identifying the potential on a polynomial chaos expansion.","Several strategies, based on novel algorithms dedicated to high stochastic dimension, are used and adapted for the class of multi-modal random variables which may characterize the potential.",The geometry of the microstructure is random and characterized by a high number of random parameters.,The method is based on a deterministic non-concurrent multiscale approach devoted to micro-macro nonlinear mechanics which leads us to characterize the nonlinear constitutive equation with an explicit continuous form of the strain energy density function with respect to the large scale Cauchy Green strain states.,"At the microscale level, the nonlinear constitutive equation of the material is characterized by a stochastic potential for which a polynomial chaos representation is used."
10.1007/s00158-016-1550-y,Remarks on multi-fidelity surrogates (2017),"Three counterparts in simple frameworks are also included, which have the same functional form but can be built with ready-made surrogates.","For the examples considered, MFS frameworks were found to be more useful for saving computational time rather than improving accuracy.",The cross-validation error appears to be a reasonable candidate for estimating poor MFS frameworks for a specific problem but it does not perform well compared to choosing single fidelity surrogates.,Computational cost savings and accuracy improvement over a single fidelity surrogate model are investigated as a function of the ratio of the sampling costs between low and high fidelity simulations.,"For the Hartmann  function example, the maximum cost saving for the same accuracy was  %, while the maximum accuracy improvement for the same cost was %."
10.1016/j.jhydrol.2015.05.046,Uncertainty analysis of support vector machine for online prediction of five-day biochemical oxygen demand (2015),"In this research, a proper methodology was proposed to determine the uncertainty of support vector machine (SVM) for the prediction of five-day biochemical oxygen demand (BOD).","Besides, results showed that the SVM model had acceptable uncertainty in BOD prediction.","By this methodology, the parameters of SVM model will be obtained  times, giving various predicted BOD values each time.",Uncertainty is considered as one of the most important limitations for applying the results of artificial intelligence techniques (AI) in water quality management to obtain appropriate control strategies.,
10.1016/j.cma.2015.02.012,Stress constrained topology optimization with free-form design domains (2015),"Second, the implementation of the finite cell method (FCM) ensures the stress computing accuracy in the fixed mesh due to the use of high-order shape functions and adaptive integration scheme.","Compared with the existing level set based method, the important sensitivity property of design domain preserving makes it possible to avoid automatically the boundary violation of the design domain caused by the zero level set movement and both the topology and boundary shape of the free-form design domain can be simultaneously optimized.","Finally, representative examples are presented to illustrate the conveniences and effectiveness of the proposed method.",Such an operation is mathematically realized by means of the so-called R-functions in the form of implicit LSFs.,This paper aims at dealing with realistic and challenging design problems of stress constrained topology optimization with freeform design domains.
10.1016/j.jhydrol.2015.06.034,Variance-based global sensitivity analysis for multiple scenarios and models with implementation using sparse grid collocation (2015),This is particularly true when the sensitivity indices and model/scenario probabilities vary substantially.,"Based on a hierarchical structure of parameter, model, and scenario uncertainties and on recently developed techniques of model- and scenario-averaging, this study derives new global sensitivity indices for multiple models and multiple scenarios.",This problem is resolved by using the new indices defined for multiple models and/or multiple scenarios.,"Sensitivity analysis is a vital tool in hydrological modeling to identify influential parameters for inverse modeling and uncertainty analysis, and variance-based global sensitivity analysis has gained popularity.","The sparse grid collocation method dramatically reduces the computational cost, in comparison with the popular quasi-random sampling method."
