AU,year,title,journal,citations,Avg. Citations,DOI link
"Bennett, ND|Croke, BFW|Guariso, G|Guillaume, JHA|Hamilton, SH|Jakeman, AJ|Marsili-Libelli, S|Newham, LTH|Norton, JP|Perrin, C|Pierce, SA|Robson, B|Seppelt, R|Voinov, AA|Fath, BD|Andreassian, V",2013,Characterising performance of environmental models,ENVIRONMENTAL MODELLING & SOFTWARE,595,119.0,https://dx.doi.org/10.1016/j.envsoft.2012.09.011
"Refsgaard, JC|van der Sluijs, JP|Hojberg, AL|Vanrolleghem, PA",2007,Uncertainty in the environmental modelling process - A framework and guidance,ENVIRONMENTAL MODELLING & SOFTWARE,517,47.0,https://dx.doi.org/10.1016/j.envsoft.2007.02.004
"Sigmund, O|Maute, K",2013,Topology optimization approaches A comparative review,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,405,81.0,https://dx.doi.org/10.1007/s00158-013-0978-6
"Yang, J|Reichert, P|Abbaspour, KC|Xia, J|Yang, H",2008,Comparing uncertainty analysis techniques for a SWAT application to the Chaohe Basin in China,JOURNAL OF HYDROLOGY,316,31.6,https://dx.doi.org/10.1016/j.jhydrol.2008.05.012
"Blatman, G|Sudret, B",2011,Adaptive sparse polynomial chaos expansion based on least angle regression,JOURNAL OF COMPUTATIONAL PHYSICS,261,37.29,https://dx.doi.org/10.1016/j.jcp.2010.12.021
"Moens, D|Vandepitte, D",2005,A survey of non-probabilistic uncertainty treatment in finite element analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,238,18.31,https://dx.doi.org/10.1016/j.cma.2004.03.019
"van Dijk, NP|Maute, K|Langelaar, M|van Keulen, F",2013,Level-set methods for structural topology optimization: a review,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,207,41.4,https://dx.doi.org/10.1007/s00158-013-0912-y
"Shan, SQ|Wang, GG",2010,Survey of modeling and optimization strategies to solve high-dimensional design problems with computationally-expensive black-box functions,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,194,24.25,https://dx.doi.org/10.1007/s00158-009-0420-2
"Kuczera, G|Kavetski, D|Franks, S|Thyer, M",2006,Towards a Bayesian total error analysis of conceptual rainfall-runoff models: Characterising model error using storm-dependent parameters,JOURNAL OF HYDROLOGY,183,15.25,https://dx.doi.org/10.1016/j.jhydrol.2006.05.010
"Roy, CJ|Oberkampf, WL",2011,"A comprehensive framework for verification, validation, and uncertainty quantification in scientific computing",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,171,24.43,https://dx.doi.org/10.1016/j.cma.2011.03.016
"Chen, Y|Yu, J|Khan, S",2010,Spatial sensitivity analysis of multi-criteria weights in GIS-based land suitability evaluation,ENVIRONMENTAL MODELLING & SOFTWARE,170,21.25,https://dx.doi.org/10.1016/j.envsoft.2010.06.001
