,AU,SO,copyright,title,year
0,"Chen, S|Brune, WH",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Global sensitivity analysis of ozone production and O-3-NOx-VOC limitation based on field data,2012
1,"De Laender, F|Van Oevelen, D|Middelburg, JJ|Soetaert, K",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY, (C) 2009 Elsevier Inc. All rights reserved.,"Uncertainties in ecological, chemical and physiological parameters of a bioaccumulation model: Implications for internal concentrations and tissue based risk quotients",2010
2,"Tian, H|Yuan, XH|Huang, YH|Wu, XT",SOFT COMPUTING,,An improved gravitational search algorithm for solving short-term economic/environmental hydrothermal scheduling,2015
3,"Verma, SK|Fenila, F|Shastri, Y",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Sensitivity analysis and stochastic modelling of lignocellulosic feedstock pretreatment and hydrolysis,2017
4,"Elhag, M",JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,,Inconsistencies of SEBS Model Output Based on the Model Inputs: Global Sensitivity Contemplations,2016
5,"Ramin, E|Flores-Alsina, X|Sin, G|Gernaey, KV|Jeppsson, U|Mikkelsen, PS|Plosz, BG",CHEMICAL ENGINEERING JOURNAL, (C) 2013 Elsevier B.V. All rights reserved.,Influence of selecting secondary settling tank sub-models on the calibration of WWTP models - A global sensitivity analysis using BSM2,2014
6,"Fajraoui, N|Mara, TA|Younes, A|Bouhlila, R",WATER AIR AND SOIL POLLUTION,,Reactive Transport Parameter Estimation and Global Sensitivity Analysis Using Sparse Polynomial Chaos Expansion,2012
7,"Rahman, S",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,The f-Sensitivity Index,2016
8,"Chen, L|Yan, GJ|Wang, TX|Ren, HZ|Calbo, J|Zhao, J|McKenzie, R",REMOTE SENSING OF ENVIRONMENT, (C) 2012 Elsevier Inc. All rights reserved.,Estimation of surface shortwave radiation components under all sky conditions: Modeling and sensitivity analysis,2012
9,"Otahal, PPS|Burian, I|Ondracek, J|Zdimal, V|Holub, RF",RADIATION PROTECTION DOSIMETRY,,Simultaneous Measurements of Nanoaerosols and Radioactive Aerosols Containing the Short-lived Radon Isotopes,2017
10,"Zheng, Y|Wang, WM|Han, F|Ping, J",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Uncertainty assessment for watershed water quality modeling: A Probabilistic Collocation Method based approach,2011
11,"Someya, H|Yamamura, M",SOFT COMPUTING,,A robust real-coded evolutionary algorithm with toroidal search space conversion,2005
12,"Methling, T|Braun-Unkhoff, M|Riedel, U",COMBUSTION THEORY AND MODELLING,,A novel linear transformation model for the analysis and optimisation of chemical kinetics,2017
13,"Mathew, S|Banerjee, I",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Quantitative analysis of robustness of dynamic response and signal transfer in insulin mediated PI3K/AKT pathway,2014
14,"Hu, Y|Garcia-Cabrejo, O|Cai, XM|Valocchi, AJ|DuPont, B",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Global sensitivity analysis for large-scale socio-hydrological models using Hadoop,2015
15,"Luo, D|Realff, MJ|Thomas, VM",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Bioreactor-based fuel systems. I: Optimal production capacity considering start-up dynamics,2014
16,"Aiello-Lammens, ME|Akcakaya, HR",CONSERVATION BIOLOGY,,Using global sensitivity analysis of demographic models for ecological impact assessment,2017
17,"Tondel, K|Vik, JO|Martens, H|Indahl, UG|Smith, N|Omholt, SW",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (C) 2012 Elsevier B.V. All rights reserved.,Hierarchical multivariate regression-based sensitivity analysis reveals complex parameter interaction patterns in dynamic models,2013
18,"Chang, S|Graham, WD|Hwang, S|Munoz-Carpena, R",HYDROLOGY AND EARTH SYSTEM SCIENCES,,"Sensitivity of future continental United States water deficit projections to general circulation models, the evapotranspiration estimation method, and the greenhouse gas emission scenario",2016
19,"Ferretti, F|Saltelli, A|Tarantola, S",SCIENCE OF THE TOTAL ENVIRONMENT, Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,Trends in sensitivity analysis practice in the last decade,2016
20,"Formaggia, L|Guadagnini, A|Imperiali, I|Lever, V|Porta, G|Riva, M|Scotti, A|Tamellini, L",COMPUTATIONAL GEOSCIENCES,,Global sensitivity analysis through polynomial chaos expansion of a basin-scale geochemical compaction model,2013
21,"Convertino, M|Munoz-Carpena, R|Chu-Agor, ML|Kiker, GA|Linkov, I",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Untangling drivers of species distributions: Global sensitivity and uncertainty analyses of MAXENT,2014
22,"Sikorski, JJ|Brownbridge, G|Garud, SS|Mosbach, S|Karimi, IA|Kraft, M",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Parameterisation of a biodiesel plant process flow sheet model,2016
23,"Li, XA|Xie, M|Ng, SH",APPLIED MATHEMATICAL MODELLING, (c) 2010 Elsevier Inc. All rights reserved.,Sensitivity analysis of release time of software reliability models incorporating testing effort with multiple change-points,2010
24,"Borgonovo, E",RISK ANALYSIS,,Measuring uncertainty importance: Investigation and comparison of alternative approaches,2006
