,AU,SO,copyright,title,year
3,"Ekheden, Erland|Hossjer, Ola",SCANDINAVIAN ACTUARIAL JOURNAL,,Pricing catastrophe risk in life (re)insurance,2014
4,"Woodward, C|Grant, K|Maxwell, R|Hassanizadeh, SM|Schotting, RJ|Gray, WG|Pinder, GF","COMPUTATIONAL METHODS IN WATER RESOURCES, VOLS 1 AND 2, PROCEEDINGS",,Applications of sensitivity analysis to uncertainty quantification in variably saturated flow,2002
6,"Kaspar, TC|Radke, JK|Laflen, JM",JOURNAL OF SOIL AND WATER CONSERVATION,,"Small grain cover crops and wheel traffic effects on infiltration, runoff, and erosion",2001
7,"Ahmed, MA|Alkhamis, TM|Kuhl, ME|Steiger, NM|Armstrong, FB|Joines, JA","PROCEEDINGS OF THE 2005 WINTER SIMULATION CONFERENCE, VOLS 1-4",,An efficient performance extrapolation for queuing models in transient analysis,2005
10,"Chowdhury, S|Husain, T|Aral, MM|Brebbia, CA|Maslia, ML|Sinks, T",ENVIRONMENTAL EXPOSURE AND HEALTH,,Human health risk from trihalomethanes in drinking water evaluation with fuzzy aggregation,2005
18,"Das, Sanjukta",JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,,TIMING MOVIE RELEASE ON THE INTERNET IN THE CONTEXT OF PIRACY,2008
22,"Shen, Zhenyao|Chen, Xiaofeng|Zhao, Xin|Xiong, Ming|Liu, Ruimin|Liao, Qian",FRESENIUS ENVIRONMENTAL BULLETIN,,"THE INFLUENCE OF PARAMETER UNCERTAINTY ON PHOSPHORUS MODELING: A CASE STUDY OF EFDC MODEL APPLICATION TO THE THREE GORGES RESERVOIR REGION, CHINA",2014
24,"Rahman, M. M.|Al-Malack, M. H.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,,Biochemical Kinetics of Cross flow Membrane Bioreactor Processes in the Treatment of Refinery Wastewater,2012
25,"Giuliano, Aristide|Cerulli, Raffaele|Poletto, Massimo|Raiconi, Giancarlo|Barletta, Diego|Klemes, JJ|Varbanov, PS|Liew, PY","24TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING, PTS A AND B",,Optimization of a Multiproduct Lignocellulosic Biorefinery using a MILP Approximation,2014
30,"Zang, Z. P.|Cheng, L.|Gao, F. P.|Lee, JHW|Ng, CO",PROCEEDINGS OF THE 6TH INTERNATIONAL CONFERENCE ON APAC 2011,,APPLICATION OF ROMS FOR SIMULATING EVOLUTION AND MIGRATION OF TIDAL SAND WAVES,2012
33,"Guo, Yan-Jun|Ni, Yu|Han, Jian-Guo",ARID LAND RESEARCH AND MANAGEMENT,,The Influence of Land Use Change on Chemical and Biological Properties of Steppe Soils in Northern China,2009
34,"Zhou Hongbin, |Xiao Gang, |Chen Jiujun, |Gao Fei, |Ying Xiaofang, |Li, Q|Chen, SY|Xu, A|Li, M",WSEAS: ADVANCES ON APPLIED COMPUTER AND APPLIED COMPUTATIONAL SCIENCE,,Real-time fish detection based on improved adaptive background,2008
44,"Woehling, Th.|Barkle, G. F.|Bidwell, V. J.|Dann, R.|Wall, A.|Moorhead, B.|Clague, J.|Vrugt, J. A.|Chan, F|Marinova, D|Anderssen, RS",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),,Dual-domain mixing cell modelling and uncertainty analysis for unsaturated bromide and chloride transport,2011
50,"Urvashi, |Singh, S. R.|Singh, N.|Mandal, JK|Mukhopadhyay, A",FIRST INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE: MODELING TECHNIQUES AND APPLICATIONS (CIMTA) 2013, Published by Elsevier Ltd.,Green supply chain model with product remanufacturing under volume flexible environment,2013
57,"van der Keur, P|Ullum, M|Kjaer, J|Plauborg, F|DelRe, AAM|Capri, E|Padovani, L|Trevisan, M","PESTICIDE IN AIR, PLANT, SOIL & WATER SYSTEM",,Assessment of the macro model sensitivity for water balance in the unsaturated zone.,2003
60,"Laugesen, R.|Tuteja, N. K.|Shin, D.|Chia, T.|Khan, U.|Chan, F|Marinova, D|Anderssen, RS",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),,Seasonal Streamflow Forecasting with a workflow-based dynamic hydrologic modelling approach,2011
66,"Bekiaris, I. G.|Panagopoulos, I. N.|Mimikou, M. A.|Lekkas, TD","PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND TECHNOLOGY, VOL A - ORAL PRESENTATIONS, PTS A AND B",,Application of the SWAT (Soil and Water Assessment Tool) model in the Ronnea catchment of Sweden,2005
80,"Vasquez, VR|Whiting, WB|Malone, MF|Trainham, JA",FIFTH INTERNATIONAL CONFERENCE ON FOUNDATIONS OF COMPUTER-AIDED PROCESS DESIGN,,A sampling technique for correlated parameters in nonlinear models for uncertainty and sensitivity analysis,2000
81,"Song, Cuicui|Jia, Hongyu|Lin, Xiaowei|Zhang, L|Marinov, M|Johnson, N|Yang, C","PROCEEDINGS OF 2009 INTERNATIONAL CONFERENCE OF MANAGEMENT ENGINEERING AND INFORMATION TECHNOLOGY, VOLS 1 AND 2",,Based on DEA Approach for Analyzing the Sensitivity of Port Management Strategy,2009
83,"Huang, Wei|Cao, Zhixian|Carling, Paul|Pender, Gareth|Zhaoyin, W|Lee, JHW|Jizhang, G|Shuyou, C","PROCEEDINGS OF THE 35TH IAHR WORLD CONGRESS, VOLS III AND IV",,"2D Modelling of Megaflood due to Glacier Dam-break in Altai Mountains, Southern Siberia",2013
85,"Lucia, A|Bellows, ML|Octavio, LM|Puigjaner, L|Espuna, A","EUROPEAN SYMPOSIUM ON COMPUTER-AIDED PROCESS ENGINEERING-15, 20A AND 20B",,Global optimization of ordinary differential equations models,2005
88,"Yang, Zhixun|Yan, Jun|Lu, Qingzhen|Chen, Jinlong|Wu, Shanghua|Wang, Lidong|Yue, Qianjin","PROCEEDINGS OF THE ASME 35TH INTERNATIONAL CONFERENCE ON OCEAN, OFFSHORE AND ARCTIC ENGINEERING , 2016, VOL 5",,MULTI-OBJECTIVE SHAPE OPTIMIZATION DESIGN FOR LNG CRYOGENIC HELICAL CORRUGATED STEEL PIPE,2016
90,"Hood, A|Cechet, B|Hossain, H|Sheffield, K","MODSIM 2003: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION, VOLS 1-4",,"Options for Victorian Agriculture in a ""New"" Climate: Pilot study linking climate change & land suitability modelling",2003
92,"Van Beers, WCM|Kuhl, ME|Steiger, NM|Armstrong, FB|Joines, JA","PROCEEDINGS OF THE 2005 WINTER SIMULATION CONFERENCE, VOLS 1-4",,Kriging metamodeling in discrete-event simulation: An overview,2005
94,"Elduayen-Echave, B.|Ochoa de Eribe, A.|Lizarralde, I.|Sanchez, G.|Ayesa, E.|Grau, P.|Mannina, G","FRONTIERS IN WASTEWATER TREATMENT AND MODELLING, FICWTM 2017",,Sensitivity Analysis and Calibration with Bayesian Inference of a Mass-Based Discretized Population Balance Model for Struvite Precipitation,2017
101,"Kharche, Sanjay|Vigmond, Edward|Ni, Haibo|Coleman, Michael|Zhang, Henggui|Murray, A","2014 COMPUTING IN CARDIOLOGY CONFERENCE (CINC), VOL 41",,Ischemia Alters Sensitivity of Action Potential to the Sodium-Potassium Pump,2014
106,"Xuan, Jian-Lin|Chang, Min|Song, Bi-Feng",2016 INTERNATIONAL CONFERENCE ON ENERGY DEVELOPMENT AND ENVIRONMENTAL PROTECTION (EDEP 2016),,Influence of Input Parameters on Wing-Sail Solar-powered Aircraft,2016
115,"Jabbari, E.|Talebi, O.",JOURNAL OF COASTAL RESEARCH,,Using Artificial Neural Networks for estimation of scour at the head of vertical wall breakwater,2011
127,"Ren, Hongbo|Gao, Weijun|Ruan, Yingjun|Cen, K|Chi, Y|Wang, F","CHALLENGES OF POWER ENGINEERING AND ENVIRONMENT, VOLS 1 AND 2",,Optimal sizing for residential CHP system,2007
131,"Mut, Z.|Akay, H.",BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE,,EFFECT OF SEED SIZE AND DROUGHT STRESS ON GERMINATION AND SEEDLING GROWTH OF NAKED OAT (AVENA SATIVA L.),2010
132,"Rouzineau, D|Meyer, M|Prevost, M|Meyer, |Reneaume, JM|Puigjaner, L|Espuna, A","EUROPEAN SYMPOSIUM ON COMPUTER-AIDED PROCESS ENGINEERING-15, 20A AND 20B",,Reactive distillation modelling and sensitivity analysis based on NEQ Model,2005
133,"Yu, Zhe Ying|Soo, Vi Kie|Doolan, Matthew|Seliger, G|Kohl, H|Mallon, J",13TH GLOBAL CONFERENCE ON SUSTAINABLE MANUFACTURING - DECOUPLING GROWTH FROM RESOURCE USE, Published by Elsevier B.V.,The Effect of Consumer Behaviour on the Life Cycle Assessment of Energy Efficient Lighting Technologies,2016
138,"Kadovic, Ratko|Bohajar, Yousef Ali Mansour|Perovic, Veljko|Simic, Snezana Belanovic|Todosijevic, Mirjana|Tosic, Sonja|Andelic, Milosav|Mladan, Dragan|Dovezenski, Una",ARCHIVES OF ENVIRONMENTAL PROTECTION,,"Land Sensitivity Analysis of Degradation using MEDALUS model: Case Study of Deliblato Sands, Serbia",2016
143,"Rue, Havard|Riebler, Andrea|Sorbye, Sigrunn H.|Illian, Janine B.|Simpson, Daniel P.|Lindgren, Finn K.|Fienberg, SE","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION, VOL 4",,Bayesian Computing with INLA: A Review,2017
155,"Kanso, A|Chebbo, G|Tassin, B",WATER SCIENCE AND TECHNOLOGY,,Stormwater quality modelling in combined sewers: calibration and uncertainty analysis,2005
156,"Soltani-Sobh, Ali|Heaslip, Kevin|El Khoury, John",INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION, Elsevier Ltd. All rights reserved.,Estimation of road network reliability on resiliency: An uncertain based model,2015
163,"Kupciuniene, Kristina|Alzbutas, Robertas","ICONE16: PROCEEDING OF THE 16TH INTERNATIONAL CONFERENCE ON NUCLEAR ENGINEERING - 2008, VOL 2",,EXTERNAL EVENTS IMPORTANCE FOR SAFETY OF THE IGNALINA NUCLEAR POWER PLANT,2008
170,"Sanchez, Susan M.","PROCEEDINGS OF THE 2007 WINTER SIMULATION CONFERENCE, VOLS 1-5",,"Work smarter, not harder: Guidelines for designing simulation experiments",2007
172,"Davis, K. J.|Kragt, M. E.|Pannell, D. J.|Weber, T|McPhee, MJ|Anderssen, RS",21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),,Assessing the cost-effectiveness of invasive species management: a decision tool for biodiversity conservation,2015
175,"Andretta, M|Bruzzi, L|Ferrari, C|Magri, C|Morselli, L|Mingozzi, L|Serra, R|Brebbia, CA",RISK ANALYSIS II,,Comparison among polluted soils hazard ranking systems and absolute risk analysis methodologies,2000
180,"Bolognesi, A.|Gottardi, G.|Maglionico, M.|Ferreira, RML|Alves, CTL|Leal, GAB|Cardoso, AH","RIVER FLOW 2006, VOLS 1 AND 2",,Discharge measurements in a small ungauged river: Comparison between conventional current-meter and tracer dilution methods,2006
181,"Taylor, T. H.|Whalen, T.|Cohen, M.|Zhao, W",PROCEEDINGS OF THE 11TH JOINT CONFERENCE ON INFORMATION SCIENCES,,"Application of Sensitivity Analysis, ""Worst Case"", and Maximum Possible Risk (MPR) to Adventitious Events",2008
184,"Gibbs, M. S.|Maier, H. R.|Dandy, G. C.|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,The use of GIS to derive distributed unit hydrographs for streamflow prediction,2009
197,"Jha, MK|Das Gupta, A",WATER INTERNATIONAL,,Application of Mike Basin for water management strategies in a watershed,2003
201,"Li, Bangwei|Shang, Wei|Li, Hongquan|Huo, Lin|Xu, Shanying|Shi, Y|Lepskiy, A|Aleskerov, F","2ND INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT, ITQM 2014", (C) 2014 Published by Elsevier B.V. Open access under CC BY-NC-ND license.,Disposition effect in an Agent-based Financial Market Model,2014
207,"Biswas, R. K.|Jayawardena, A. W.",GLOBAL NEST JOURNAL,,WATER LEVEL PREDICTION BY ARTIFICIAL NEURAL NETWORK IN A FLASHY TRANSBOUNDARY RIVER OF BANGLADESH,2014
210,"Perez-Paricio, A|Carrera, J|Stauffer, F|Kinzelbach, W|Kovar, K|Hoehn, E",CALIBRATION AND RELIABILITY IN GROUNDWATER MODELLING: COPING WITH UNCERTAINTY,,Validity and sensitivity analysis of a new comprehensive clogging model,2000
212,"Kharche, Sanjay|Luedtke, Niklas|Panzeri, Stefano|Zhang, Henggui|Ayache, N|Delingette, H|Sermesant, M","FUNCTIONAL IMAGING AND MODELING OF THE HEART, PROCEEDINGS",,A Global Sensitivity Index for Biophysically Detailed Cardiac Cell Models: A Computational Approach,2009
220,"Abed, Farid H.|Makarem, Fadi S.|Onate, E|Owen, DRJ|Peric, D|Suarez, B",COMPUTATIONAL PLASTICITY XI: FUNDAMENTALS AND APPLICATIONS,,Dynamic Localizations in Structural Steel at High Strain Rates and Temperatures - COMPLAS XI,2011
221,"Chick, SE|Ingalls, RG|Rossetti, MD|Smith, JS|Peters, BA","PROCEEDINGS OF THE 2004 WINTER SIMULATION CONFERENCE, VOLS 1 AND 2",,Bayesian methods for discrete event simulation,2004
