	id	year	title	keywords	abstract	copyright	AU	SO	DE	DOI
0	WOS:000312813800011	2012	Ecological Risk-O-Meter: a risk assessor and manager software tool for better decision making in ecosystems	SECURITY METER QUANTIFY MODEL	"Increased awareness of environmental issues and their effects on ecological systems and human health drive an interest in developing computational methods to reduce detrimental consequences. For example, there are concerns regarding chlorofluorocarbons and their impact on stratospheric ozone, radon and its effect on human health, coal mining and effects on habitat loss, as well as numerous other issues. However, these issues do not exist in a vacuum nor occur just one at a time. There is a need to assess social and ecological risks comprehensively and account for numerous, inter-related potential risks. Given limited funds available for addressing these issues, how can spending for purposes of environmental and ecological mitigation be optimized? What is the magnitude of overall ecological risk for a given region? Novel software, the Ecological Risk-o-Meter, addresses these questions and concerns. The software tool not only assesses the current environmental and ecological risks, but also takes into account potential solutions and provides guidance as to how spending can be optimized to reducing overall environmental risk. We demonstrate this new tool and show how to optimize the costs of risk reduction in recursive cycles based on feedbacks."	" Copyright (c) 2012 John Wiley & Sons, Ltd."	"Sahinoglu, M|Simmons, SJ|Cahoon, LB|Morton, S"	ENVIRONMETRICS	ecological systems vulnerability threat countermeasure risk-o-meter	10.1002/env.2186
1	WOS:000348201000009	2015	Sensitivity analyses and simulations of a full-scale experimental membrane bioreactor system using the activated sludge model No. 3 (ASM3)	RETENTION TIME OPERATION WATER	"An ASM-based model was implemented in the numerical software MATHEMATICA where sensitivity analyses and simulations of a membrane bioreactor (MBR) system were carried out. These results were compared with those obtained using the commercial simulator WEST. Predicted values did not show significant variations between both software and simulations showed that the most influential operational conditions were influent flow rate and concentrations and bioreactor volumes. On the other hand, sensitivity analyses were carried out with both software programs for the same five outputs: COD, ammonium and nitrate concentrations in the effluent, total suspended solids concentration and oxygen uptake rate in the aerobic bioreactor. Similar results were in general obtained in both cases and according to these analyses, the most significant inputs over the model predictions were growth and storage heterotrophic biomass yields and decay coefficient. Other parameters related to the hydrolysis process or to the autotrophic biomass also significantly influenced model outputs."		"Ruiz, LM|Rodelas, P|Perez, JI|Gomez, MA"	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	simulation modeling sensitivity analysis mbr asm3	10.1080/10934529.2015.981122
2	WOS:000285122400004	2010	Efficient solution for Galerkin-based polynomial chaos expansion systems	STOCHASTIC PROJECTION METHOD FINITE-ELEMENT SYSTEMS ITERATIVE SOLUTION LINEAR-SYSTEMS FLUID-FLOW MODELS	"Iterative solvers and preconditioners are widely used for handling the linear system of equations arising from stochastic finite element method (SFEM) formulations, e.g. galerkin-based polynomial chaos (G-P-C) Expansion method. Especially, Preconditioned Conjugate Gradient (PCG) solver and the Incomplete Cholesky (IC) preconditioner are shown to be adequate choices within this context. In this study, approaches for the automated adjustment of the input parameters for these tools are to be introduced. The proposed algorithms aim to enable the use of the PCG solver and IC preconditioner in a black-box fashion. As a result, the requirement of the expertise for using these tools is removed to a certain extend. Furthermore, these algorithms can be used also for the implementation purposes of SFEM's within general purpose software by increasing the ease of the use of these tools and hence leading to an improved user-comfort. (C) "	 Elsevier Ltd. All rights reserved.	"Panayirci, HM"	ADVANCES IN ENGINEERING SOFTWARE	stochastic finite elements polynomial chaos expansion computational efficiency iterative solvers preconditioners uncertainty quantification	10.1016/j.advengsoft.2010.09.004
4	WOS:000411574400095	2017	The Effect of Vitamin A on Fracture Risk: A Meta-Analysis of Cohort Studies	BONE-MINERAL DENSITY HIP FRACTURE RETINOIC ACID BETA-CAROTENE SERUM RETINOL POSTMENOPAUSAL WOMEN OSTEOCLAST FORMATION HYPERVITAMINOSIS-A CLINICAL-TRIALS FOLLOW-UP	"This meta-analysis evaluated the influence of dietary intake and blood level of vitamin A (total vitamin A, retinol or beta-carotene) on total and hip fracture risk. Cohort studies published before July  were selected through English-language literature searches in several databases. Relative risk (RR) with corresponding % confidence interval (CI) was used to evaluate the risk. Heterogeneity was checked by Chi-square and I- test. Sensitivity analysis and publication bias were also performed. For the association between retinol intake and total fracture risk, we performed subgroup analysis by sex, region, case ascertainment, education level, age at menopause and vitamin D intake. R software was used to complete all statistical analyses. A total of , participants over the age of  years were included. Higher dietary intake of retinol and total vitamin A may slightly decrease total fracture risk (RR with % CI: . (., .) and . (., .), respectively), and increase hip fracture risk (RR with % CI: . (., .) and . (., .), respectively). Lower blood level of retinol may slightly increase total fracture risk (RR with % CI: . (., .)) and hip fracture risk (RR with % CI: . (., .)). In addition, higher beta-carotene intake was weakly associated with the increased risk of total fracture (RR with % CI: . (., .)). Our data suggest that vitamin A intake and level may differentially influence the risks of total and hip fractures. Clinical trials are warranted to confirm these results and assess the clinical applicability."		"Zhang, XG|Zhang, R|Moore, JB|Wang, YG|Yan, HY|Wu, YR|Tan, AR|Fu, JL|Shen, ZG|Qin, GY|Li, R|Chen, GX"	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	vitamin a retinol beta-carotene hip fracture total fracture	10.3390/ijerph14091043
7	WOS:000351458000015	2015	Risk Analysis of Water Demand for Agricultural Crops under Climate Change	OPTIMIZATION HBMO ALGORITHM RESERVOIR OPERATION DESIGN UNCERTAINTY DISCRETE NETWORKS STRATEGY IMPACTS SYSTEM	"This paper assesses the risk of increase in water demand for a wide range of irrigated crops in an irrigation network located downstream of the Aidoghmoush Dam in East Azerbaijan by considering climate change conditions for the period -. Atmosphere-ocean global circulation models (AOGCMs) are used to simulate climatic variables such as temperature and precipitation. The Bayesian approach is used to consider uncertainties of AOGCMs. Climate change scenarios of climatic variables are first weighted by using the mean observed temperature-precipitation (MOTP) method, and related probability distribution functions are produced. Outputs of AOGCMs are used as input to water requirement models. Then, produced by using the Monte Carlo method,  samples (discrete values) from the probability distribution functions of monthly downscaled temperature and precipitation in the study area are extracted by using a software for sensitivity and uncertainty analysis. Time series of climatic variables in future periods are then generated (temperature variable to calculate potential evapotranspiration and rainfall variable to calculate effective rainfall). To estimate crop water requirements, crop evapotranspiration (from the product of potential evapotranspiration in the previous step and coefficient of crop computed) and effective precipitation (from time series of the previous step) are calculated. The Food and Agricultural Organization of the United Nations (FAO) methods, FAO- and Penman-Monteith, were used to compute crop and potential evapotranspiration, respectively. Because of lack of required data, potential evapotranspiration in future periods is computed through the relationship of temperature and potential evapotranspiration in the baseline period; the same procedure is conducted for temperature. Net water requirement (NWR) and the risk of changes in water demand volume of crops (e.g., wheat, barley, alfalfa, soybean, feed corn, forage, potato, and walnut orchards) are computed by entering  monthly time series of downscaled temperature and precipitation in future periods. The results indicate that risk of changes in crop water requirements increases by approximately % for a % risk, approximately % for a % risk, and approximately % for a % risk. Also, based on the current cultivated area, on average, the volume of water demand only for the aforementioned crops will be approximately .(() m()/year) with a risk of %, approximately (() m()/year) with a risk of %, and approximately (() m()/year) with a risk of %. Wheat and barley are more resistant and less sensitive to climate change than other crops considered."	 (C) 2014 American Society of Civil Engineers.	"Ashofteh, PS|Bozorg-Haddad, O|Marino, MA"	JOURNAL OF HYDROLOGIC ENGINEERING	climate change net water requirement risk uncertainty monte carlo	10.1061/(ASCE)HE.1943-5584.0001053
8	WOS:000363949300025	2015	Feasibility analysis of a hybrid off-grid wind-DG-battery energy system for the eco-tourism remote areas	POWER PINCH ANALYSIS MALAYSIA PERFORMANCE GENERATION BANGLADESH SIMULATION STORAGE DESIGN PLANT	"The electrification process of the remote areas and decentralized areas is being a vital fact for the improvement of its eco-tourism issues such as the Cameron Highland of Malaysia. Renewable energy (RE) resources can be used extensively to support and fulfill the demand of the expected loads of these areas. This article presents an analysis of a complete off-grid wind-diesel-battery hybrid RE model. The main objective of the present analysis is to visualize the optimum volume of systems capable of fulfilling the requirements of  kWh/day primary load in coupled with . kW peak for  residential hotels of Cameron Highlands. The hybrid power system can be effective for the tourists of that area as it is a decentralized region of Malaysia. The main motto of this analysis is to minimize the electricity unit cost and ensure the most reliable and feasible system to fulfill the requirements of the desired or expected energy system using HOMER software. From the simulation result, it can be seen that  wind turbines ( kW),  diesel generator ( kW), and  battery (Hoppecke  OPzS) hybrid RE system is the most economically feasible and lowest cost of energy is nearing USD ./kWh and net present cost is USD , . The decrement of the CO emissions also can be identified from the simulation results using that most feasible RE system including the renewable fraction value which is about ., . % capacity shortage and . % electricity as storage as compared to the other energy system."		"Shezan, SKA|Saidur, R|Ullah, KR|Hossain, A|Chong, WT|Julai, S"	CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY	renewable energy wind energy wind turbines homer diesel generator sensitivity analysis optimization hybrid model	10.1007/s10098-015-0983-0
10	WOS:000244915000009	2007	Topology optimization of material-nonlinear continuum structures by the element connectivity parameterization	DESIGN SENSITIVITY-ANALYSIS ELASTOPLASTIC STRUCTURES COMPLIANT MECHANISMS PLASTIC-DEFORMATION CONTACT CRASHWORTHINESS	"The application of the element density-based topology optimization method to nonlinear continuum structures is limited to relatively simple problems such as bilinear elastoplastic material problems. Furthermore, it is very difficult to use analytic sensitivity when a commercial nonlinear finite element code is used. As an alternative to the element density formulation, the element connectivity parameterization (ECP) formulation is developed for the topology optimization of isotropic-hardening elastoplastic or hyperelastic continua by using commercial software. ECP varies the stiffness of zero-length linear elastic links that connect design domain-discretizing finite elements. Unloading was not considered. But the advantages of ECP in material-nonlinear problems were demonstrated: considerably simple analytic sensitivity calculation using a commercial code and simple link stiffness penalization regardless of nonlinear material behaviour."	" Copyright (c) 2006 John Wiley & Sons, Ltd."	"Yoon, GH|Kim, YY"	INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING	topology optimization material-nonlinearity element connectivity parameterization	10.1002/nme.1843
11	WOS:000388092400006	2016	"ALBANY: USING COMPONENT-BASED DESIGN TO DEVELOP A FLEXIBLE, GENERIC MULTIPHYSICS ANALYSIS CODE"	EMBEDDED ANALYSIS CAPABILITIES MANAGING SOFTWARE COMPLEXITY FINITE-ELEMENT PARALLEL SIMULATION FRAMEWORK EQUATIONS SYSTEMS LIBRARY	"Albany is a multiphysics code constructed by assembling a set of reusable, general components. It is an implicit, unstructured grid finite element code that hosts a set of advanced features that are readily combined within a single analysis run. Albany uses template-based generic programming methods to provide extensibility and flexibility; it employs a generic residual evaluation interface to support the easy addition and modification of physics. This interface is coupled to powerful automatic differentiation utilities that are used to implement efficient nonlinear solvers and preconditioners, and also to enable sensitivity analysis and embedded uncertainty quantification capabilities as part of the forward solve. The flexible application programming interfaces in Albany couple to two different adaptive mesh libraries; it internally employs generic integration machinery that supports tetrahedral, hexahedral, and hybrid meshes of user specified order. We present the overall design of Albany, and focus on the specifics of the integration of many of its advanced features. As Albany and the components that form it are openly available on the internet, it is our goal that the reader might find some of the design concepts useful in their own work. Albany results in a code that enables the rapid development of parallel, numerically efficient multiphysics software tools. In discussing the features and details of the integration of many of the components involved, we show the reader the wide variety of solution components that are available and what is possible when they are combined within a simulation capability."		"Salinger, AG|Bartlett, RA|Bradley, AM|Chen, QS|Demeshko, IP|Gao, XJ|Hansen, GA|Mota, A|Muller, RP|Nielsen, E|Ostien, JT|Pawlowski, RP|Perego, M|Phipps, ET|Sun, WC|Tezaur, IK"	INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING	partial differential equations finite element analysis template-based generic programming	10.1615/IntJMultCompEng.2016017040
12	WOS:000297595300005	2011	Shape optimisation of preform design for precision close-die forging	FINITE-ELEMENT METHOD TOPOLOGY OPTIMIZATION STRUCTURAL OPTIMIZATION EVOLUTIONARY PROCEDURE SENSITIVITY-ANALYSIS HOMOGENIZATION SIMULATION ALGORITHM BLADE	"Preform design is an essential stage in forging especially for parts with complex shapes. In this paper, based on the evolutionary structural optimisation (ESO) concept, a topological optimisation method is developed for preform design. In this method, a new criterion for element elimination and addition on the workpiece boundary surfaces is proposed to optimise material distribution. To improve the quality of the boundary after element elimination, a boundary smoothing technique is developed using B-spline curve approximation. The developed methods are programmed using C# code and integrated with DEFORM D software package. Two D case problems including forging of an aerofoil shape and forging of rail wheel are evaluated using the developed method. The results suggest that the developed topology optimisation method is an efficient approach for preform design optimisation."		"Lu, B|Ou, HA|Cui, ZS"	STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION	preform design topology optimisation forging	10.1007/s00158-011-0668-1
13	WOS:000223528100004	2004	POLCAGE 1.0 - a possibilistic life-cycle assessment model for evaluating alternative transportation fuels	FUZZY OUTRANKING SYSTEMS ENERGY	"A composite software model for the comparative life-cycle assessment (LCA) of  different fuel options for the Philippine automotive transport sector was developed. It is based on the GREET fuel-cycle inventory model developed by the Argonne National Laboratory for the United States Department of Energy. GREET .a is linked to an impact assessment submodel using the Danish environmental design of industrial products (EDIP) method. This combined inventory-impact assessment model is enhanced further with possibilistic uncertainty propagation (PUP) and possibilistic compromise programming (PCP) features that allow the  alternatives to be ranked in the presence of multiple criteria and uncertain data. Sensitivity and scenario analysis can also be performed within the composite model. Some current and anticipated Philippine conditions, including electricity generation mix, are incorporated in the prototype's built-in database. The software model, designated as POLCAGE . (possibilistic LCA using GREET and EDIP), is coded in Microsoft Excel and Visual Basic. The model's capabilities and features are demonstrated using a case study based on its default scenario. (C) "	 Elsevier Ltd. All rights reserved.	"Tan, RR|Culaba, AB|Purvis, MRI"	ENVIRONMENTAL MODELLING & SOFTWARE	life-cycle assessment (lca) decision support system (dss) alternative fuels	10.1016/j.envsoft.2003.10.004
