,year,title,copyright,AU,SO,DOI link
0,2017,Estimates of plant density of wheat crops at emergence from very low altitude UAV imagery, (C) 2017 Elsevier Inc. All rights reserved.,"Jin, XL|Liu, SY|Baret, F|Hemerle, M|Comar, A",REMOTE SENSING OF ENVIRONMENT,https://dx.doi.org/10.1016/j.rse.2017.06.007
1,2012,Yield improvement analysis with parameter-screening factorials, (C) 2011 Elsevier B.V. All rights reserved.,"Yamwong, W|Achalakul, T",APPLIED SOFT COMPUTING,https://dx.doi.org/10.1016/j.asoc.2011.11.021
2,2007,Comparing sensitivity analysis methods to advance lumped watershed model identification and evaluation,,"Tang, Y|Reed, P|Wagener, T|van Werkhoven, K",HYDROLOGY AND EARTH SYSTEM SCIENCES,https://dx.doi.org/10.5194/hess-11-793-2007
3,2015,Development of the integrated fuzzy analytical hierarchy process with multidimensional scaling in selection of natural wastewater treatment alternatives, (C) 2014 Elsevier B.V. All rights reserved.,"Ouyang, XG|Guo, F|Shan, D|Yu, HY|Wang, J",ECOLOGICAL ENGINEERING,https://dx.doi.org/10.1016/j.ecoleng.2014.11.006
4,2013,A model-independent Particle Swarm Optimisation software for model calibration, Elsevier Ltd. All rights reserved.,"Zambrano-Bigiarini, M|Rojas, R",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2013.01.004
5,2002,A computer program for a Monte Carlo analysis of sensitivity in equations of environmental modelling obtained from experimental data, (C) 2002 Elsevier Science Ltd. All rights reserved.,"Verdu, F|Villacampa, Y",ADVANCES IN ENGINEERING SOFTWARE,https://dx.doi.org/10.1016/S0965-9978(02)00023-6
6,2009,BAT - The Bayesian analysis toolkit, (C) 2009 Elsevier B.V. All rights reserved.,"Caldwell, A|Kollar, D|Kroninger, K",COMPUTER PHYSICS COMMUNICATIONS,https://dx.doi.org/10.1016/j.cpc.2009.06.026
7,2016,"Parameterization, sensitivity analysis, and inversion: an investigation using groundwater modeling of the surface-mined Tivoli-Guidonia basin (Metropolitan City of Rome, Italy)",,"La Vigna, F|Hill, MC|Rossetto, R|Mazza, R",HYDROGEOLOGY JOURNAL,https://dx.doi.org/10.1007/s10040-016-1393-z
8,2013,Addressing ten questions about conceptual rainfall-runoff models with global sensitivity analyses in R, (C) 2013 Elsevier B.V. All rights reserved.,"Shin, MJ|Guillaume, JHA|Croke, BFW|Jakeman, AJ",JOURNAL OF HYDROLOGY,https://dx.doi.org/10.1016/j.jhydrol.2013.08.047
9,2011,Uncertainty propagation or box propagation, Elsevier Ltd. All rights reserved.,"Barrio, R|Rodriguez, M|Abad, A|Serrano, S",MATHEMATICAL AND COMPUTER MODELLING,https://dx.doi.org/10.1016/j.mcm.2011.06.036
10,2016,A probabilistic projection of the transient flow equations with random system parameters and internal boundary conditions,,"Sattar, AMA",JOURNAL OF HYDRAULIC RESEARCH,https://dx.doi.org/10.1080/00221686.2016.1140682
11,2017,On the variational data assimilation problem solving and sensitivity analysis, (C) 2017 Elsevier Inc. All rights reserved.,"Arcucci, R|D'Amore, L|Pistoia, J|Toumi, R|Murli, A",JOURNAL OF COMPUTATIONAL PHYSICS,https://dx.doi.org/10.1016/j.jcp.2017.01.034
12,2010,TAMkin: A Versatile Package for Vibrational Analysis and Chemical Kinetics,,"Ghysels, A|Verstraelen, T|Hemelsoet, K|Waroquier, M|Van Speybroeck, V",JOURNAL OF CHEMICAL INFORMATION AND MODELING,https://dx.doi.org/10.1021/ci100099g
13,2015,Effect of bacteria density and accumulated inert solids on the effluent pollutant concentrations predicted by the constructed wetlands model BIO_PORE, (C) 2014 Elsevier B.V. All rights reserved.,"Samso, R|Blazquez, J|Agullo, N|Grau, J|Torres, R|Garcia, J",ECOLOGICAL ENGINEERING,https://dx.doi.org/10.1016/j.ecoleng.2014.09.069
14,2014,Groundwater fluxes in a shallow seasonal wetland pond: The effect of bathymetric uncertainty on predicted water and solute balances, (C) 2014 Elsevier B.V. All rights reserved.,"Trigg, MA|Cook, PG|Brunner, P",JOURNAL OF HYDROLOGY,https://dx.doi.org/10.1016/j.jhydrol.2014.06.020
15,2014,Study of MEPDG Sensitivity Using Nonparametric Regression Procedures,,"Tarefder, RA|Sumee, N|Storlie, C",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,https://dx.doi.org/10.1061/(ASCE)CP.1943-5487.0000239
16,2007,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox, Elsevier Ltd. All rights reserved.,"Wagener, T|Kollat, J",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2006.06.017
17,2013,A long-term sensitivity analysis of the denitrification and decomposition model, Crown Copyright (C) 2013 Published by Elsevier Ltd. All rights reserved.,"Qin, XB|Wang, H|Li, YE|Li, Y|McConkey, B|Lemke, R|Li, CS|Brandt, K|Gao, QZ|Wan, YF|Liu, S|Liu, YT|Xu, C",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2013.01.005
18,2004,Interactive software for material parameter characterization of advanced engineering constitutive models, Elsevier Ltd. All rights reserved.,"Saleeb, AF|Marks, JR|Wilt, TE|Arnold, SM",ADVANCES IN ENGINEERING SOFTWARE,https://dx.doi.org/10.1016/j.advengsoft.2004.03.010
19,2013,Nitrous Oxide Emissions from Cropland: a Procedure for Calibrating the DayCent Biogeochemical Model Using Inverse Modelling,,"Rafique, R|Fienen, MN|Parkin, TB|Anex, RP",WATER AIR AND SOIL POLLUTION,https://dx.doi.org/10.1007/s11270-013-1677-z
20,2012,Effect of Temporal and Spatial Rainfall Resolution on HSPF Predictive Performance and Parameter Estimation, (C) 2012 American Society of Civil Engineers.,"Mohamoud, YM|Prieto, LM",JOURNAL OF HYDROLOGIC ENGINEERING,https://dx.doi.org/10.1061/(ASCE)HE.1943-5584.0000457
21,2015,Chaospy: An open source tool for designing methods of uncertainty quantification, Published by Elsevier B.V.,"Feinberg, J|Langtangen, HP",JOURNAL OF COMPUTATIONAL SCIENCE,https://dx.doi.org/10.1016/j.jocs.2015.08.008
22,2014,Numerical and intelligent modeling of triaxial strength of anisotropic jointed rock specimens,,"Asadi, M|Bagheripour, MH",EARTH SCIENCE INFORMATICS,https://dx.doi.org/10.1007/s12145-013-0137-z
