DOI,title,1,2,3,4,5
,"SIMULTANEOUS HEAT AND WATER (SHAW) MODEL: MODEL USE, CALIBRATION, AND VALIDATION (2012)","Subsequently, all other parameters were varied while holding constant the parameter that minimized the RMSD in the previous iteration.",Advantages and disadvantages of the three calibration approaches are discussed,"In the stepwise approach, parameters for each soil horizon were individually varied to determine which parameter could minimize the root mean square deviation (RMSD) between measured and simulated soil water content of the top 20 cm.","Iterations continued until the RMSD was minimized For the trial-and-error calibration, plots of simulated and measured soil water content were examined, and soil parameters of each soil horizon or individual soil layers were varied to obtain a better fit and to minimize RMSD of the top 20 cm as well as the top 60 cm.","Much of the variability between the calibrated simulations was attributed to the calibrations that assumed uniform properties in the 0-75 cm soil horizon, i.e., the stepwise calibration and the single-layer automated optimization; variation between these and the other simulations ranged as high as 0.030 to 0.043 m(3) m(-3) near the surface."
10.1111/geb.12493,Effects of model assumptions and data quality on spatial cumulative human impact assessments (2016),"Of the nine factors tested here, eight had a considerable influence on at least one modelling result in at least one of the two study regions.",MethodsWe conducted computational experiments to test the effects of nine model assumptions and data quality problems (factors) on maps of human impact and related modelling results.,LocationWe used the Baltic Sea and the Mediterranean and Black Seas as example regions.,The factors were implemented on the basis of a literature review.,Main conclusionsModel assumptions and data quality have larger aggregate effects on maps of human impact than found in previous analyses.
10.1016/j.jhydrol.2015.02.013,"Global sensitivity analysis in hydrological modeling: Review of concepts, methods, theoretical framework, and applications (2015)","Finally, some conclusions and guidance recommendations on SA in hydrological modeling are provided, as well as a list of important future research directions that may facilitate more robust analyses when assessing hydrological modeling performance.","To better understand how these complex models work, efficient SA methods should be applied before the application of hydrological modeling.",The common definitions of SA and the typical categories of SA methods are described.,This study provides a comprehensive review of global SA methods in the field of hydrological modeling.,The advantages and disadvantages are also discussed and summarized.
10.1080/02626667.2015.1031762,Coupling SEBAL with a new radiation module and MODIS products for better estimation of evapotranspiration (2016),"In this study, a new radiation module based on MODIS data has been coupled with the Surface Energy Balance Algorithms for Land (SEBAL) to better estimate ET.","The coupled SEBAL modelled instantaneous.ET agreed much better with observations in the arid land of Central Asia than the original SEBAL, with a bias of -2.86 W m(-2), root mean square error (RMSE) of 9.75 W m(-2), and normalized RMSE (NRMSE) of 0.13.","Sensitivity analysis, which was conducted using numerical variance-based techniques, indicated that the estimated ET is sensitive to the available energy, suggesting the importance of obtaining accurate estimates of net radiation when applying the coupled SEBAL to estimate ET.","This study provides a simple and reliable way to utilize MODIS products and contains sensitivity analysis for helping to correctly interpret the outputs, which are both important for large-scale ET estimation.",
10.1016/j.rse.2015.06.002,Global sensitivity analysis of the SCOPE model: What drives simulated canopy-leaving sun-induced fluorescence? (2015),Their impact further reduced the relative importance of V-cmo.,These three variables alone determined 77.9% of the SIF variability.,"An updated version of the SCOPE model was used here (v1.53) which contains novel leaf physiological modules for determination of the steady state fluorescence yield: a photosynthesis model coupled with (a) submodels having empirically derived relationships, identified as TB12 for unstressed and TB12-D for drought conditions and (b) a mechanistic (MD12) submodel based on theoretical relationships.","Two experiments were conducted for the different leaf physiology modules in SCOPE considering (1) only vegetation variables, and (2) all SCOPE variables, i.e., including micrometeorological, aerodynamic and geometry variables.","V-cmo, the variable related to photosynthetic capacity, determined 11.4% of overall SIF variability, and its importance declined considerably when moving from the first emission peak (SIFred; with maximal relevance of 17.9% at 676 nm) to the second emission peak (SIFNIR; e.g., 9.6% at 740 nm)."
10.1091/mbc.E16-06-0430,Stronger net posterior cortical forces and asymmetric microtubule arrays produce simultaneous centration and rotation of the pronuclear complex in the early Caenorhabditis elegans embryo (2016),Positioning of microtubule-organizing centers (MTOCs) incorporates biochemical and mechanical cues for proper alignment of the mitotic spindle and cell division site.,"These changes must occur over a few minutes, between initial centration and rotation of the pronuclear complex and entry into mitosis, and the models do not replicate in vivo timing of centration and rotation.",,,
10.1016/j.envsoft.2012.11.014,Uncertainty in hydromorphological and ecological modelling of lowland river floodplains resulting from land cover classification errors (2013),The error in the current land cover map gave an uncertainty in design water levels of up to 19 cm.,"Compared to landscaping measures, the effects due to the uncertainty in the land cover map are of the same order of magnitude.","Land cover maps provide essential input data for various hydromorphological and ecological models, but the effect of land cover classification errors on these models has not been quantified systematically.","The ecotoxicological hazards, represented by the fraction of Little Owl habitat with potential cadmium exposure levels exceeding a corresponding toxicity threshold of 148 mu g d(-1), varied between 54 and 60%, aggregated over the distributaries.","Given high financial costs of these landscaping measures, increasing the classification accuracy of land cover maps is a prerequisite for improving the assessment of the efficiency of landscaping measures."
10.1016/j.jclepro.2017.03.193,Uncertainty analysis in agent-based modelling and consequential life cycle assessment coupled models: A critical review (2017),The context of uncertainty sources (e.g.,"Using ABM within LCA adds new uncertainty sources to the LCI and limits the number of applicable propagation methods, as the coupled model can no longer be expressed as an explicit formula.","The acceptance of this new approach depends, among other things, on the handling of uncertainty and variability forthcoming from various sources.",The promises of such ABM/LCA coupled models include the consideration of human behaviour and local variabilities in the studied system as well as scenario modelling for emerging systems.,"In the case of ABM/ LCA coupled models, the different nature of both parts (non-linear computational ABM and linear deterministic LCA) poses an additional challenge."
10.1016/j.renene.2017.05.013,Hierarchical four-step global sensitivity analysis of offshore wind turbines based on aeroelastic time domain simulations (2017),"Although uncertainties are present in all real parameters, numerical calculations of the structural behaviour of offshore wind turbines are usually conducted with deterministic values.","However, with this approach, optimisation processes can be misleading and reliability levels cannot be calculated.","It can be shown that for different substructures and different load cases, only a small parameter subset is influential and many other inputs can be regarded as deterministic without losing accuracy.","For deterministic approaches, more complex models with higher computing times are possible, although they, are less generally valid.",The reasons for deterministic calculations are high computing times of probabilistic approaches and the lack of knowledge about the scatter of data.
10.1504/EJIE.2014.066936,Offshore oil network design with transportation alternatives (2014),Two one-factor-at-a-time sensitivity analyses have been done with respect to the length of the planning horizon and the number of potential wells.,"Petroleum industry plays a vital role in the modern global economy, owing to the fact that it is the largest source of energy in the world.","Additionally, the model supports the selection of the transportation system and the planning of pipeline networks installations.",This work ends with two sensitivity analyses.,"In addition, crude oil transportation plays a critical role in the global supply chain of oil industry."
