,AU,SO,copyright,title,year
0,"De Conti, L|Ceretta, CA|Ferreira, PAA|Lourenzi, CR|Girotto, E|Lorensini, F|Tiecher, TL|Marchezan, C|Anchieta, MG|Brunetto, G",AGRICULTURE ECOSYSTEMS & ENVIRONMENT, (C) 2015 Elsevier B.V. All rights reserved.,Soil solution concentrations and chemical species of copper and zinc in a soil with a history of pig slurry application and plant cultivation,2016
1,"Kleijnen, JPC|Sanchez, SM|Lucas, TW|Cioppa, TM",INFORMS JOURNAL ON COMPUTING,,A user's guide to the brave new world of designing simulation experiments,2005
2,"Burke, EN|Wadzuk, BM",WATER RESEARCH, Elsevier Ltd. All rights reserved.,The effect of field conditions on low Reynolds number flow in a wetland,2009
3,"Resop, JP|Fleisher, DH|Wang, QG|Timlin, DJ|Reddy, VR",COMPUTERS AND ELECTRONICS IN AGRICULTURE, Published by Elsevier B.V.,Combining explanatory crop models with geospatial data for regional analyses of crop yield using field-scale modeling units,2012
4,"Silva, AS|Ghisi, E|Lamberts, R",BUILDING AND ENVIRONMENT, Elsevier Ltd. All rights reserved.,Performance evaluation of long-term thermal comfort indices in building simulation according to ASHRAE Standard 55,2016
5,"Lathashri, UA|Mahesha, A",JOURNAL OF ENVIRONMENTAL ENGINEERING, (C) 2015 American Society of Civil Engineers.,Predictive Simulation of Seawater Intrusion in a Tropical Coastal Aquifer,2016
6,"Moore, SA|Jamieson, EC|Rainville, F|Rennie, CD|Mueller, DS",JOURNAL OF HYDRAULIC ENGINEERING,,Monte Carlo Approach for Uncertainty Analysis of Acoustic Doppler Current Profiler Discharge Measurement by Moving Boat,2017
7,"Asadi, M|Bagheripour, MH",EARTH SCIENCE INFORMATICS,,Numerical and intelligent modeling of triaxial strength of anisotropic jointed rock specimens,2014
8,"Hamm, NAS|Hall, JW|Anderson, MG",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Variance-based sensitivity analysis of the probability of hydrologically induced slope instability,2006
9,"Smith, AE|Gans, W",RISK ANALYSIS,,Enhancing the Characterization of Epistemic Uncertainties in PM2.5 Risk Analyses,2015
10,"Qin, XB|Wang, H|Li, YE|Li, Y|McConkey, B|Lemke, R|Li, CS|Brandt, K|Gao, QZ|Wan, YF|Liu, S|Liu, YT|Xu, C",ENVIRONMENTAL MODELLING & SOFTWARE, Crown Copyright (C) 2013 Published by Elsevier Ltd. All rights reserved.,A long-term sensitivity analysis of the denitrification and decomposition model,2013
11,"Brown, HE|Huth, NI|Holzworth, DP|Teixeira, EI|Zyskowski, RF|Hargreaves, JNG|Moot, DJ",ENVIRONMENTAL MODELLING & SOFTWARE, Published by Elsevier Ltd.,Plant Modelling Framework: Software for building and running crop models on the APSIM platform,2014
12,"Chlot, S|Widerlund, A|Siergieiev, D|Ecke, F|Husson, E|Ohlander, B",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2011 Elsevier B.V. All rights reserved.,Modelling nitrogen transformations in waters receiving mine effluents,2011
13,"Burger, G|Sitzenfrei, R|Kleidorfer, M|Rauch, W",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Parallel flow routing in SWMM 5,2014
14,"Curtis, JMR|Naujokaitis-Lewis, I",ECOLOGICAL APPLICATIONS,,Sensitivity of population viability to spatial and nonspatial parameters using grip,2008
15,"Sethi, LN|Panda, SN|Nayak, MK",AGRICULTURAL WATER MANAGEMENT, (c) 2005 Elsevier B.V. All rights reserved.,"Optimal crop planning and water resources allocation in a coastal groundwater basin, Orissa, India",2006
16,"Mohammadi, B",COMPUTERS & FLUIDS, Elsevier Ltd. All rights reserved.,Uncertainty quantification in littoral erosion,2017
17,"Ding, Y|Wang, SSY",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,Optimal control of open-channel flow using adjoint sensitivity analysis,2006
18,"Hong, LJ|Hu, ZL|Liu, GW",ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,,Monte Carlo Methods for Value-at-Risk and Conditional Value-at-Risk: A Review,2014
19,"Lin, ZL",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,Estimating Water Budgets and Vertical Leakages for Karst Lakes in North-Central Florida (United States) Via Hydrological Modeling,2011
20,"Onishi, VC|Carrero-Parreno, A|Reyes-Labarta, JA|Ruiz-Femenia, R|Salcedo-Diaz, R|Fraga, ES|Caballero, JA",DESALINATION, Published by Elsevier B.V.,Shale gas flowback water desalination: Single vs multiple-effect evaporation with vapor recompression cycle and thermal integration,2017
21,"Hou, T|Zhu, YH|Lu, HS|Sudicky, E|Yu, ZB|Ouyang, F",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,"Parameter sensitivity analysis and optimization of Noah land surface model with field measurements from Huaihe River Basin, China",2015
22,"Moilanen, A|Wintle, BA|Elith, J|Burgman, M",CONSERVATION BIOLOGY,,Uncertainty analysis for regional-scale reserve selection,2006
23,"Dotto, CBS|Mannina, G|Kleidorfer, M|Vezzaro, L|Henrichs, M|McCarthy, DT|Freni, G|Rauch, W|Deletic, A",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Comparison of different uncertainty techniques in urban stormwater quantity and quality modelling,2012
24,"Faghih, M|Mirzaei, M|Adamowski, J|Lee, J|El-Shafie, A",RIVER RESEARCH AND APPLICATIONS," Copyright (c) 2017 John Wiley & Sons, Ltd.",Uncertainty Estimation in Flood Inundation Mapping: An Application of Non-parametric Bootstrapping,2017
25,"Bermudez, A|Esteban, N|Ferrin, JL|Rodriguez-Calo, JF|Sillero-Denamiel, MR",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Identification problem in plug-flow chemical reactors using the adjoint method,2017
26,"Bieda, B",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2012 Elsevier B.V. All rights reserved.,Stochastic approach to municipal solid waste landfill life based on the contaminant transit time modeling using the Monte Carlo (MC) simulation,2013
27,"Bellos, V|Kourtis, IM|Moreno-Rodenas, A|Tsihrintzis, VA",WATER,,Quantifying Roughness Coefficient Uncertainty in Urban Flooding Simulations through a Simplified Methodology,2017
28,"Hosseini, SMH|Forouzbakhsh, F|Rahimpoor, M",ENERGY POLICY, Elsevier Ltd. All rights reserved.,"Determination of the optimal installation capacity of small hydro-power plants through the use of technical, economic and reliability indices",2005
29,"Sun, D|Zhang, LH|Chen, FX",SIMULATION MODELLING PRACTICE AND THEORY, (c) 2013 Elsevier B.V. All rights reserved.,Comparative study on simulation performances of CORSIM and VISSIM for urban street network,2013
30,"Oberg, T|Bergback, B",JOURNAL OF SOILS AND SEDIMENTS,,A review of probabilistic risk assessment of contaminated land,2005
31,"La Vigna, F|Hill, MC|Rossetto, R|Mazza, R",HYDROGEOLOGY JOURNAL,,"Parameterization, sensitivity analysis, and inversion: an investigation using groundwater modeling of the surface-mined Tivoli-Guidonia basin (Metropolitan City of Rome, Italy)",2016
32,"Akula, M|Sandur, A|Kamat, VR|Prakash, A",JOURNAL OF COMPUTING IN CIVIL ENGINEERING, (C) 2014 American Society of Civil Engineers.,Context-Aware Framework for Highway Bridge Inspections,2015
33,"Bhikhoo, N|Hashemi, A|Cruickshank, H",SUSTAINABILITY,,Improving Thermal Comfort of Low-Income Housing in Thailand through Passive Design Strategies,2017
34,"Zobel, RW",COMPUTERS AND ELECTRONICS IN AGRICULTURE, Published by Elsevier B.V.,Hardware and software efficacy in assessment of fine root diameter distributions,2008
35,"Yesuf, HM|Assen, M|Alamirew, T|Melesse, AM",CATENA, (C) 2014 Elsevier B.V. All rights reserved.,"Modeling of sediment yield in Maybar gauged watershed using SWAT, northeast Ethiopia",2015
36,"Wieland, R|Gutzler, C",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Environmental impact assessment based on dynamic fuzzy simulation,2014
37,"Olivieri, AC|Wu, HL|Yu, RQ",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (C) 2012 Elsevier B.V. All rights reserved.,MVC3: A MATLAB graphical interface toolbox for third-order multivariate calibration,2012
38,"Annadurai, K|Uthayakumar, R",APPLIED MATHEMATICAL MODELLING, (C) 2009 Elsevier Inc. All rights reserved.,"Controlling setup cost in (Q, r, L) inventory model with defective items",2010
