DOI,title,1,2,3,4,5
10.1007/s00158-017-1734-0,Matrix-free algorithm for the optimization of multidisciplinary systems (2017),"The Krylov method also needs to be preconditioned, and a key contribution of this work is a novel and effective preconditioner that is based on approximating a monolithic solution of the (linearized) multidisciplinary system.",We demonstrate the efficacy of the algorithm by comparing it with the popular multidisciplinary feasible formulation on two test problems.,IDF achieves modularity by introducing optimization variables and constraints that effectively decouple the disciplinary solvers during each optimization iteration.,"The Krylov method requires matrix-vector products, which can be evaluated in a matrix-free manner using second-order adjoints.","Furthermore, limited-memory quasi-Newton approximations, commonly used for large-scale problems, exhibit linear convergence rates that can struggle with the large number of design variables introduced by the IDF formulation."
10.1016/j.desal.2010.05.018,Prediction of performance of sea water reverse osmosis units (2010),"Feed water conditions pertinent to flow rate, TDS (total dissolved solids), pressure, pH and temperature are correlated with recovery ratio, permeate TDS and power consumption via regression analysis.",Satisfactory results are obtained by comparing the resulting correlations against the software ROSA predictions.,"The mathematical correlations and regression assessment led to the derivation of simple polynomial expressions which were used for sensitivity analysis and may be useful for the design, monitoring and control of this important desalination process.",,
10.1002/env.2186,Ecological Risk-O-Meter: a risk assessor and manager software tool for better decision making in ecosystems (2012),We demonstrate this new tool and show how to optimize the costs of risk reduction in recursive cycles based on feedbacks.,"However, these issues do not exist in a vacuum nor occur just one at a time.","There is a need to assess social and ecological risks comprehensively and account for numerous, inter-related potential risks.","Given limited funds available for addressing these issues, how can spending for purposes of environmental and ecological mitigation be optimized?",What is the magnitude of overall ecological risk for a given region?
10.1111/j.1539-6924.2012.01918.x,Application of Bayesian Networks in Quantitative Risk Assessment of Subsea Blowout Preventer Operations (2013),"Lastly, the Bayesian network model is analyzed.","Fourth, the entire Bayesian network model is established.","First, the flow chart is translated into a Bayesian network.","Second, the influencing factors of the network nodes are classified.",This article proposes a methodology for the application of Bayesian networks in conducting quantitative risk assessment of operations in offshore oil and gas industry.
10.1016/j.cie.2010.04.002,Simulation model for extended double-ended queueing (2010),"In some cases bulk arrivals may come at the same time, and pairing is not always guaranteed.",Inter-arrival time may follow distributions other than exponential.,The purpose of this paper is to extend traditional double-ended queuing models using a simulation approach.,"Inter-arrival time is assumed to follow an exponential distribution, with arrivals to the system assumed to occur just one at a time.",Traditional double-ended queuing models assume that one supply queue should satisfy one demand queue through instantaneous pairing.
10.2175/106143002X139703,Optimization of biofiltration for odor control: Model development and parameter sensitivity (2002),The model simulations showed that the existence of a water layer surrounding the biofilm in a biofiltration unit lowers the removal efficiency of hydrogen sulfide.,"A dynamic model that describes the mass transport and attenuation of odor-causing air emissions (i.e., hydrogen sulfide and other reduced sulfur compounds) in a biofiltration unit was developed and incorporated into a software package called Biofilter(TM).",Model equations were converted to ordinary differential equations using orthogonal collocation and the resulting ordinary differential equations were solved using the DGEAR algorithm.,"Mechanisms included advective flow, mass transfer from the bulk phase to the biofilm, biofilm internal diffusion, and biological reaction in the biofilm.",internal diffusion and biofilm.
10.1016/j.cageo.2016.08.007,On ISSM and leveraging the Cloud towards faster quantification of the uncertainty in ice-sheet mass balance projections (2016),"We demonstrate how this approach was used to carry out an extensive analysis of ice-flow projections on one of the largest basins in Greenland, the North-East Greenland Glacier, using the Ice Sheet System Model, the public-domain NASA-funded ice-flow modeling software.","We show how errors in the projections were accurately quantified using Monte-Carlo sampling analysis on the EC Cloud, and how a judicious mix of high-end parallel computing and Cloud use can best leverage existing infrastructures, and significantly accelerate delivery of potentially ground-breaking climate projections, and in particular, enable uncertainty quantification that were previously impossible to achieve.","In particular, faced with long wait periods on high-end clusters, the elasticity of the Cloud presents a unique opportunity of potentially ""infinite"" availability of small-sized clusters running on high-performance instances.","Among specific applications of this new paradigm, we show here how uncertainty quantification in climate projections of polar ice sheets (Antarctica and Greenland) can be significantly accelerated using the Cloud.",
10.1016/j.jenvman.2017.05.053,Process simulation and techno economic analysis of renewable diesel production via catalytic decarboxylation of rubber seed oil - A case study in Malaysia (2017),With the forecasted renewable diesel retail price of .,"Sensitivity analysis conducted showed that renewable diesel production cost is most sensitive to rubber seed oil price and hydrogen gas price, reflecting on the relative importance of feedstock prices in the overall profitability profile.",This work describes the economic feasibility of hydroprocessed diesel fuel production via catalytic decarboxylation of rubber seed oil in Malaysia.,,
10.1007/s11069-016-2269-1,"Application of run-off model as a contribution to the torrential flood risk management in Topiderska Reka watershed, Serbia (2016)","Considering obtained results, developed model should be a part of torrential flood risk management in watershed of Topiderska River.","Results achievement was enabled through three phases: () Sensitivity analysis showed that the closest hydrograph to registered hydrograph is modelled with averaged values of parameters; () model calibration was done by calibration of four main parameters with significant influence on flow component (hydraulic conductivity of soil and rock, Strickler roughness coefficient for overland and river network flow) in case of the torrential flood event from th July ; and () model verification was done by input of calibrated values in case of two another torrential flood events (, ).","The aim of the paper was to show that model, developed by hydrological software SHETRAN, is useful tool enabling the simulation of physical properties and hydrological processes in watersheds, having a significant place in decision support system within the torrential flood risk management.",Statistical analysis of correspondence of modelled and registered discharges showed that due to correlation coefficient (.-.),
10.1016/j.cie.2017.10.019,Optimal design of a multi-echelon supply chain in a system thinking framework: An integrated financial-operational approach (2017),"Within this framework, a comparison is primarily made between profit and each of corporate value, change in equity and economic value added two by two (in the form of traditional approach (scenario A) and new approach (scenario B)).","Besides highlighting the significance of the financial dimension and its integration with the operational dimension in gaining sustainable competitive advantage, the research results revealed that CVM- in contrast to change in equity and EVA- is much more favorable than the other objectives.","In this process, the effectiveness and efficiency of the scenario B is analyzed and assessed.","To test the model, data of an Iranian petrochemical company are used.","In this process, the aforementioned dimensions are extended and integrated in mathematical modeling framework."
