,AU,year,title,journal,citations,DOI link
13,"Refsgaard, JC|van der Sluijs, JP|Hojberg, AL|Vanrolleghem, PA",2007,Uncertainty in the environmental modelling process - A framework and guidance,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,536,https://dx.doi.org/10.1016/j.envsoft.2007.02.004
28,"Refsgaard, JC|Henriksen, HJ",2004,Modelling guidelines - terminology and guiding principles,best practice_ADVANCES IN WATER RESOURCES,194,https://dx.doi.org/10.1016/j.advwatres.2003.08.006
14,"Pianosi, F|Beven, K|Freer, J|Hall, JW|Rougier, J|Stephenson, DB|Wagener, T",2016,Sensitivity analysis of environmental models: A systematic review with practical workflow,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,160,https://dx.doi.org/10.1016/j.envsoft.2016.02.008
15,"Castelletti, A|Galelli, S|Ratto, M|Soncini-Sessa, R|Young, PC",2012,A general framework for Dynamic Emulation Modelling in environmental problems,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,75,https://dx.doi.org/10.1016/j.envsoft.2012.01.002
23,"Janssen, WD|Blocken, B|van Hooff, T",2013,Pedestrian wind comfort around buildings: Comparison of wind comfort criteria based on whole-flow field data for a complex case study,best practice_BUILDING AND ENVIRONMENT,66,https://dx.doi.org/10.1016/j.buildenv.2012.10.012
16,"Fu, BH|Newham, LTH|Ramos-Scharron, CE",2010,A review of surface erosion and sediment delivery models for unsealed roads,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,62,https://dx.doi.org/10.1016/j.envsoft.2009.07.013
24,"Booth, AT|Choudhary, R|Spiegelhalter, DJ",2012,Handling uncertainty in housing stock models,best practice_BUILDING AND ENVIRONMENT,62,https://dx.doi.org/10.1016/j.buildenv.2011.08.016
17,"Vanuytrecht, E|Raes, D|Willems, P",2014,Global sensitivity analysis of yield output from the water productivity model,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,59,https://dx.doi.org/10.1016/j.envsoft.2013.10.017
18,"Pena-Haro, S|Pulido-Velazquez, M|Llopis-Albert, C",2011,Stochastic hydro-economic modeling for optimal management of agricultural groundwater nitrate pollution under hydraulic conductivity uncertainty,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,34,https://dx.doi.org/10.1016/j.envsoft.2011.02.010
0,"Hughes, DA|Kapangaziwiri, E|Sawunyama, T",2010,Hydrological model uncertainty assessment in southern Africa,best practice_JOURNAL OF HYDROLOGY,30,https://dx.doi.org/10.1016/j.jhydrol.2010.04.010
25,"Samuelson, H|Claussnitzer, S|Goyal, A|Chen, YJ|Romo-Castillo, A",2016,Parametric energy simulation in early design: High-rise residential buildings in urban contexts,best practice_BUILDING AND ENVIRONMENT,28,https://dx.doi.org/10.1016/j.buildenv.2016.02.018
29,"Jaber, FH|Mohtar, RH",2003,Stability and accuracy of two-dimensional kinematic wave overland flow modeling,best practice_ADVANCES IN WATER RESOURCES,24,https://dx.doi.org/10.1016/S0309-1708(03)00102-7
7,"Straub, D|Papaioannou, I|Betz, W",2016,Bayesian analysis of rare events,best practice_JOURNAL OF COMPUTATIONAL PHYSICS,16,https://dx.doi.org/10.1016/j.jcp.2016.03.018
8,"Chen, XX|Park, EJ|Xiu, DB",2013,A flexible numerical approach for quantification of epistemic uncertainty,best practice_JOURNAL OF COMPUTATIONAL PHYSICS,15,https://dx.doi.org/10.1016/j.jcp.2013.01.018
19,"Zoras, S|Triantafyllou, AG|Hurley, PJ",2007,Grid sensitivity analysis for the calibration of a prognostic meteorological model in complex terrain by a screening experiment,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,15,https://dx.doi.org/10.1016/j.envsoft.2005.09.010
20,"Larocque, GR|Bhatti, JS|Ascough, JC|Liu, J|Luckai, N|Mailly, D|Archambault, L|Gordon, AM",2011,An analytical framework to assist decision makers in the use of forest ecosystem model predictions,best practice_ENVIRONMENTAL MODELLING & SOFTWARE,14,https://dx.doi.org/10.1016/j.envsoft.2010.03.009
1,"Jiang, S|Jomaa, S|Buttner, O|Meon, G|Rode, M",2015,Multi-site identification of a distributed hydrological nitrogen model using Bayesian uncertainty analysis,best practice_JOURNAL OF HYDROLOGY,13,https://dx.doi.org/10.1016/j.jhydrol.2015.09.009
