AU,year,title,journal,citations,Avg. Citations,abstract,DOI,DOI link
"Yang, J | Reichert, P | Abbaspour, KC | Xia, J | Yang, H",2008,Comparing uncertainty analysis techniques for a SWAT application to the Chaohe Basin in China,Applications_JOURNAL OF HYDROLOGY,316,31.6,"Distributed watershed models are increasingly being used to support decisions about alternative management strategies in the areas of land use change, climate change, water allocation, and pollution control. For this reason it is important that these models pass through a careful calibration and uncertainty analysis. To fulfil this demand, in recent years, scientists have come up with various uncertainty analysis techniques for watershed models. To determine the differences and similarities of these techniques we compared five uncertainty analysis procedures: Generalized Likelihood Uncertainty Estimation (GLUE), Parameter Solution (ParaSol), Sequential Uncertainty Fitting algorithm (SUFI-), and a Bayesian framework implemented using Markov chain Monte Carlo (MCMC) and Importance Sampling (IS) techniques. As these techniques are different in their philosophies and leave the user some freedom in formulating the generalized likelihood measure, objective function, or likelihood function, a literal comparison between these techniques is not possible. As there is a small spectrum of different applications in hydrology for the first three techniques, we made this choice according to their typical, use in hydrology. For Bayesian inference, we used a recently developed likelihood function that does not obviously violate the statistical assumptions, namely a continuous-time autoregressive error model. We implemented all these techniques for the soil and water assessment toot (SWAT) and applied them to the Chaohe Basin in China. We compared the results with respect to the posterior parameter distributions, performances of their best estimates, prediction uncertainty, conceptual bases, computational efficiency, and difficulty of implementation. The comparison results for these categories are listed and the advantages and disadvantages are analyzed. From the point of view of the authors, if computationally feasible, Bayesian-based approaches are most recommendable because of their solid conceptual basis, but construction and test of the likelihood function requires critical attention.",10.1016/j.jhydrol.2008.05.012,https://dx.doi.org/10.1016/j.jhydrol.2008.05.012
"Pedersen, CBW | Buhl, T | Sigmund, O",2001,Topology synthesis of large-displacement compliant mechanisms,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,237,13.94,"This paper describes the use of topology optimization as a synthesis tool for the design of large-displacement compliant mechanisms. An objective function for the synthesis of large-displacement mechanisms is proposed together with a formulation for synthesis of path-generating compliant mechanisms. The responses of the compliant mechanisms are modelled using a total Lagrangian finite element formulation, the sensitivity analysis is performed using the adjoint method and the optimization problem is solved using the method of moving asymptotes. Procedures to circumvent some numerical problems are discussed.",10.1002/nme.148,https://dx.doi.org/10.1002/nme.148
"Le Maitre, OP | Knio, OM | Najm, HN | Ghanem, RG",2004,Uncertainty propagation using Wiener-Haar expansions,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,209,14.93,"An uncertainty quantification scheme is constructed based on generalized Polynomial Chaos (PC) representations. Two such representations are considered, based on the orthogonal projection of uncertain data and solution variables using either a Haar or a Legendre basis. Governing equations for the unknown coefficients in the resulting representations are derived using a Galerkin procedure and then integrated in order to determine the behavior of the stochastic process. The schemes are applied to a model problem involving a simplified dynamical system and to the classical problem of Rayleigh-Benard instability. For situations involving random parameters close to a critical point, the computational implementations show that the Wiener-Haar (WHa) representation provides more robust predictions that those based on a Wiener-Legendre (WLe) decomposition. However, when the solution depends smoothly on the random data, the WLe scheme exhibits superior convergence. Suggestions regarding future extensions are finally drawn based on these experiences.",10.1016/j.jcp.2003.11.033,https://dx.doi.org/10.1016/j.jcp.2003.11.033
"McVicar, TR | Van Niel, TG | Li, LT | Hutchinson, MF | Mu, XM | Liu, ZH",2007,Spatially distributing monthly reference evapotranspiration and pan evaporation considering topographic influences,Applications_JOURNAL OF HYDROLOGY,205,18.64,"Many hydrological models engage spatially distributed measures of 'potential evapotranspiration' (ETpot). The reliability and utility of the physically based Penman-Monteith approach to generate ETpot has been recently advocated. Assuming land-surface conditions, spatial surfaces of reference evapotranspiration (ETO) can be generated taking into account the topographic influence of forcing meteorological variables. This was performed in this paper by spatially interpolating maximum (T-max) and minimum (T-min) air temperatures, wind speed (u) and vapor pressure (ea), using a spline model with a linear sub-model dependency on elevation, and modelling the radiation environment, taking topography (i.e., elevation, slope and aspect) into account, prior to calculating ETO at each grid-cell. In accordance with previous research, resultant lapse rates showed a strong seasonal pattern; values were steeper in summer than winter and those for Tma, were steeper than for T-min. Monthly mean T-max lapse rates varied from -. degrees C km(-) in winter to -. degrees C km(-) in summer, with T-min lapse rates ranging from -. degrees C km(-) in winter, to -. degrees C km(-) in summer. Monthly climatotogies of the near-surface elevation-dependence (NSED) for u and ea also showed strong seasonal values. NSED of u varied from . ms(-) km(-) in winter reducing to . ms(-) km(-) in summer. The NSED for e(a) ranged from -. kPa km(-) in winter to -. kPa km(-) in summer. For a -month sequence from  through , spatial surfaces of ET with a  m resolution for the , km() study site located in the Loess Plateau, China were generated using an 'interpolate-then-catculate' approach. Resultant ET values varied from about  mm month(-) in winter to over  mm month(-) in summer. In order to assess the reliability of these ETO surfaces, pan evaporation (Ep,,,) was also spatially interpolated and from these a set of pan coefficient (K-pan - a unitless ratio defined as ET/E-pan) surfaces were calculated. Spatio-temporally averaged K-pan values for the study site varied from . in April to . in late summer. K-pan values were in agreement with another study using a Chinese  cm diameter micro-pan, and, as expected, were tower than other values documented using a Class A pan. The influence of topography, especially aspect, was seen on the resultant ETO and K-pan, but not E-pan, surfaces. Sensitivity analysis showed that results were particularly stable in the hydrologically active portion of the year extending from March to October, inclusive. This study demonstrated that high spatial resolution monthly surfaces of ETO can be spatially modelled while taking into account the influence of topography on the forcing variables.",10.1016/j.jhydrol.2007.02.018,https://dx.doi.org/10.1016/j.jhydrol.2007.02.018
"Pappenberger, F | Beven, K | Horritt, M | Blazkova, S",2005,Uncertainty in the calibration of effective roughness parameters in HEC-RAS using inundation and downstream level observations,Applications_JOURNAL OF HYDROLOGY,201,15.46,"An uncertainty analysis of the unsteady flow component (UNET) of the one-dimensional model HEC-RAS within the generalised likelihood uncertainty estimation (GLUE) is presented. For this, the model performance of runs with different sets of Manning roughness coefficients, chosen from a range between . and ., are compared to inundation data and an outflow hydrograph. The influence of variation in the weighting coefficient of the numerical scheme is also investigated. For the latter, the empirical results show no advantage of using values below  and suggest the use of a fully implicit scheme (weighting parameter equals ). The results of varying the reach scale roughnesses shows that many parameter sets can perform equally well (problem of equifinality) even with extreme values. However, this depends on the model region and boundary conditions. The necessity to distinguish between effective parameters and real physical parameters is emphasised. The study demonstrates that this analysis can be used to produce dynamic probability maps of flooding during an event and can be linked to a stopping criterion for GLUE.",10.1016/j.jhydrol.2004.06.036,https://dx.doi.org/10.1016/j.jhydrol.2004.06.036
"Gong, LB | Xu, CY | Chen, DL | Halldin, S | Chen, YQD",2006,Sensitivity of the Penman-Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,Applications_JOURNAL OF HYDROLOGY,200,16.67,"Sensitivity analysis is important in understanding the relative importance of climatic variables to the variation of reference evapotranspiration (ETref). In this study, a non-dimensional relative sensitivity coefficient was employed to predict responses of ETref to perturbations of four climatic variables in the Changjiang (Yangtze River) basin. ETref was estimated with the FAO- Penman-Monteith equation. A -year historical dataset of daily air temperature, wind speed, relative humidity and daily sunshine duration at  national meteorological observatory stations was used in the analysis. Results show that the response of ETref can be precisely predicted under perturbation of relative humidity or shortwave radiation by their sensitivity coefficients; the predictive power under perturbations of air temperature and wind speed depended on the magnitude of the perturbation, season and region. The prediction errors were much smaller than the seasonal and regional variation of their sensitivity coefficients. The sensitivity coefficient could also be used to predict the response of ETref to co-perturbation of several variables. The accuracy of the prediction increases from the lower to the upper region. Spatial variations of long-term average monthly and yearly sensitivity coefficients were obtained by interpolation of station estimates. In general, relative humidity was the most sensitive variable, followed by shortwave radiation, air temperature and wind speed. The actual rank of the four climatic variables in terms of their sensitivity varied with season and region. The large spatial variability of the sensitivity coefficients of all the climatic variables in the middle and tower regions of the basin was to a large extent determined by the distinct wind-speed patterns in those two regions.",10.1016/j.jhydrol.2006.03.027,https://dx.doi.org/10.1016/j.jhydrol.2006.03.027
"Le Maitre, OP | Najm, HN | Ghanem, RG | Knio, OM",2004,Multi-resolution analysis of Wiener-type uncertainty propagation schemes,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,181,12.93,"A multi-resolution analysis (MRA) is applied to an uncertainty propagation scheme based on a generalized polynomial chaos (PC) representation. The MRA relies on an orthogonal projection of uncertain data and solution variables onto a multi-wavelet basis, consisting of compact piecewise-smooth polynomial functions. The coefficients of the expansion are computed through a Galerkin procedure. The MRA scheme is applied to the simulation of the Lorenz system having a single random parameter. The convergence of the solution with respect to the resolution level and expansion order is investigated. In particular, results are compared to two Monte-Carlo sampling strategies, demonstrating the superiority of the MRA. For more complex problems, however, the MRA approach may require excessive CPU times. Adaptive methods are consequently developed in order to overcome this drawback. Two approaches are explored: the first is based on adaptive refinement of the multi-wavelet basis, while the second is based on adaptive block-partitioning of the space of random variables. Computational tests indicate that the latter approach is better suited for large problems, leading to a more efficient, flexible and parallelizable scheme.",10.1016/j.jcp.2003.12.020,https://dx.doi.org/10.1016/j.jcp.2003.12.020
"Oberkampf, WL | Barone, MF",2006,Measures of agreement between computation and experiment: Validation metrics,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,176,14.67,"With the increasing role of computational modeling in engineering design, performance estimation, and safety assessment, improved methods are needed for comparing computational results and experimental measurements. Traditional methods of graphically comparing computational and experimental results, though valuable, are essentially qualitative. Computable measures are needed that can quantitatively compare computational and experimental results over a range of input, or control, variables to sharpen assessment of computational accuracy. This type of measure has been recently referred to as a validation metric. We discuss various features that we believe should be incorporated in a validation metric, as well as features that we believe should be excluded. We develop a new validation metric that is based on the statistical concept of confidence intervals. Using this fundamental concept, we construct two specific metrics: one that requires interpolation of experimental data and one that requires regression (curve fitting) of experimental data. We apply the metrics to three example problems: thermal decomposition of a polyurethane foam, a turbulent buoyant plume of helium, and compressibility effects on the growth rate of a turbulent free-shear layer. We discuss how the present metrics are easily interpretable for assessing computational model accuracy, as well as the impact of experimental measurement uncertainty on the accuracy assessment.",10.1016/j.jcp.2006.03.037,https://dx.doi.org/10.1016/j.jcp.2006.03.037
"Stegmann, J | Lund, E",2005,Discrete material optimization of general composite shell structures,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,169,13.0,A novel method for doing material optimization of general composite laminate shell structures is presented and its capabilities are illustrated with three examples. The method is labelled Discrete Material Optimization (DMO) but uses gradient information combined with mathematical programming to solve a discrete optimization problem. The method can be used to solve the orientation problem of orthotropic materials and the material selection problem as well as problems involving both. The method relies on ideas from multiphase topology optimization to achieve a parametrization which is very general and reduces the risk of obtaining a local optimum solution for the tested configurations. The applicability of the DMO method is demonstrated for fibre angle optimization of a cantilever beam and combined fibre angle and material selection optimization of a four-point beam bending problem and a doubly curved laminated shell.,10.1002/nme.1259,https://dx.doi.org/10.1002/nme.1259
"Kharmanda, G | Olhoff, N | Mohamed, A | Lemaire, M",2004,Reliability-based topology optimization,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,154,11.0,"The objective of this work is to integrate reliability analysis into topology optimization problems. The new model, in which we introduce reliability constraints into a deterministic topology optimization formulation, is called Reliability-Based Topology Optimization (RBTO). Several applications show the importance of this integration. The application of the RBTO model gives a different topology relative to deterministic topology optimization. We also find that the RBTO model yields structures that are more reliable than those produced by deterministic topology optimization (for the same weight).",10.1007/s00158-003-0322-7,https://dx.doi.org/10.1007/s00158-003-0322-7
