,AU,year,title,journal,citations,DOI link
6,"Gallagher, M | Doherty, J",2007,Parameter estimation and uncertainty analysis for a watershed model,ENVIRONMENTAL MODELLING & SOFTWARE,122,https://dx.doi.org/10.1016/j.envsoft.2006.06.007
7,"Ziehn, T | Tomlin, AS",2009,GUI-HDMR - A software tool for global sensitivity analysis of complex models,ENVIRONMENTAL MODELLING & SOFTWARE,122,https://dx.doi.org/10.1016/j.envsoft.2008.12.002
23,"Vu-Bac, N | Lahmer, T | Zhuang, X | Nguyen-Thoi, T | Rabczuk, T",2016,A software framework for probabilistic sensitivity analysis for computationally expensive models,ADVANCES IN ENGINEERING SOFTWARE,106,https://dx.doi.org/10.1016/j.advengsoft.2016.06.005
8,"Pianosi, F | Sarrazin, F | Wagener, T",2015,A Matlab toolbox for Global Sensitivity Analysis,ENVIRONMENTAL MODELLING & SOFTWARE,105,https://dx.doi.org/10.1016/j.envsoft.2015.04.009
16,"Dixon, B",2005,Applicability of neuro-fuzzy techniques in predicting ground-water vulnerability: a GIS-based sensitivity analysis,JOURNAL OF HYDROLOGY,100,https://dx.doi.org/10.1016/j.jhydrol.2004.11.010
9,"Landuyt, D | Broekx, S | D'hondt, R | Engelen, G | Aertsens, J | Goethals, PLM",2013,A review of Bayesian belief networks in ecosystem service modelling,ENVIRONMENTAL MODELLING & SOFTWARE,99,https://dx.doi.org/10.1016/j.envsoft.2013.03.011
10,"Wagener, T | Kollat, J",2007,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox,ENVIRONMENTAL MODELLING & SOFTWARE,87,https://dx.doi.org/10.1016/j.envsoft.2006.06.017
0,"Cannavo, F",2012,Sensitivity analysis for volcanic source modeling quality assessment and model selection,COMPUTERS & GEOSCIENCES,78,https://dx.doi.org/10.1016/j.cageo.2012.03.008
11,"Gan, YJ | Duan, QY | Gong, W | Tong, C | Sun, YW | Chu, W | Ye, AZ | Miao, CY | Di, ZH",2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,ENVIRONMENTAL MODELLING & SOFTWARE,76,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
12,"Harmel, RD | Smith, DR | King, KW | Slade, RM",2009,Estimating storm discharge and water quality data uncertainty: A software tool for monitoring and modeling applications,ENVIRONMENTAL MODELLING & SOFTWARE,66,https://dx.doi.org/10.1016/j.envsoft.2008.12.006
17,"Shin, MJ | Guillaume, JHA | Croke, BFW | Jakeman, AJ",2013,Addressing ten questions about conceptual rainfall-runoff models with global sensitivity analyses in R,JOURNAL OF HYDROLOGY,62,https://dx.doi.org/10.1016/j.jhydrol.2013.08.047
29,"Bertrand-Krajewski, JL",2007,Stormwater pollutant loads modelling: epistemological aspects and case studies on the influence of field data sets on calibration and verification,WATER SCIENCE AND TECHNOLOGY,60,https://dx.doi.org/10.2166/wst.2007.090
1,"Brown, JD | Heuvelink, GBM",2007,The Data Uncertainty Engine (DUE): A software tool for assessing and simulating uncertain environmental variables,COMPUTERS & GEOSCIENCES,54,https://dx.doi.org/10.1016/j.cageo.2006.06.015
13,"Zambrano-Bigiarini, M | Rojas, R",2013,A model-independent Particle Swarm Optimisation software for model calibration,ENVIRONMENTAL MODELLING & SOFTWARE,48,https://dx.doi.org/10.1016/j.envsoft.2013.01.004
