,AU,year,title,journal,citations,DOI link
27,"Tang, Y|Reed, P|Wagener, T|van Werkhoven, K",2007,Comparing sensitivity analysis methods to advance lumped watershed model identification and evaluation,HYDROLOGY AND EARTH SYSTEM SCIENCES,162,https://dx.doi.org/10.5194/hess-11-793-2007
6,"Ziehn, T|Tomlin, AS",2009,GUI-HDMR - A software tool for global sensitivity analysis of complex models,ENVIRONMENTAL MODELLING & SOFTWARE,121,https://dx.doi.org/10.1016/j.envsoft.2008.12.002
16,"Vu-Bac, N|Lahmer, T|Zhuang, X|Nguyen-Thoi, T|Rabczuk, T",2016,A software framework for probabilistic sensitivity analysis for computationally expensive models,ADVANCES IN ENGINEERING SOFTWARE,101,https://dx.doi.org/10.1016/j.advengsoft.2016.06.005
21,"Dixon, B",2005,Applicability of neuro-fuzzy techniques in predicting ground-water vulnerability: a GIS-based sensitivity analysis,JOURNAL OF HYDROLOGY,100,https://dx.doi.org/10.1016/j.jhydrol.2004.11.010
7,"Pianosi, F|Sarrazin, F|Wagener, T",2015,A Matlab toolbox for Global Sensitivity Analysis,ENVIRONMENTAL MODELLING & SOFTWARE,99,https://dx.doi.org/10.1016/j.envsoft.2015.04.009
8,"Wagener, T|Kollat, J",2007,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox,ENVIRONMENTAL MODELLING & SOFTWARE,87,https://dx.doi.org/10.1016/j.envsoft.2006.06.017
0,"Cannavo, F",2012,Sensitivity analysis for volcanic source modeling quality assessment and model selection,COMPUTERS & GEOSCIENCES,78,https://dx.doi.org/10.1016/j.cageo.2012.03.008
9,"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,ENVIRONMENTAL MODELLING & SOFTWARE,76,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
10,"Harmel, RD|Smith, DR|King, KW|Slade, RM",2009,Estimating storm discharge and water quality data uncertainty: A software tool for monitoring and modeling applications,ENVIRONMENTAL MODELLING & SOFTWARE,66,https://dx.doi.org/10.1016/j.envsoft.2008.12.006
22,"Shin, MJ|Guillaume, JHA|Croke, BFW|Jakeman, AJ",2013,Addressing ten questions about conceptual rainfall-runoff models with global sensitivity analyses in R,JOURNAL OF HYDROLOGY,61,https://dx.doi.org/10.1016/j.jhydrol.2013.08.047
