DOI,title,1,2,3,4,5
10.1016/j.rse.2017.06.007,Estimates of plant density of wheat crops at emergence from very low altitude UAV imagery (2017),"Further, a specific sensitivity analysis shows that the ground resolution of the images should be better than .",Agisoft photoscan software was then used to derive the position of the cameras for each image.,The application of the method on the  samples available over the three sites provides a RMSE and relative RMSE on estimates of .,The current limits and possible improvements of the method proposed are finally discussed.,Images were then projected on the ground surface to finally extract subsamples used to estimate the plant density.
10.1016/j.asoc.2011.11.021,Yield improvement analysis with parameter-screening factorials (2012),"After the results were validated by the experts, we designed software that automates the critical parameter analysis process.","From our initial experiments, we found that the sensitivity analysis results were not sufficiently good and the interactions between parameters were not identified.",The software should greatly benefit the daily yield analysis at the disk drive manufacturing plant greatly.,"Several techniques were studied including the sensitivity analysis framework, which is currently used at several disk drive plants.",The objective of the work is to improve the manufacturing yield by tuning the parameters that significantly affect the yield.
10.5194/hess-11-793-2007,Comparing sensitivity analysis methods to advance lumped watershed model identification and evaluation (2007),"This study seeks to identify sensitivity tools that will advance our understanding of lumped hydrologic models for the purposes of model improvement, calibration efficiency and improved measurement schemes.",These four sensitivity methods were applied to the lumped Sacramento soil moisture accounting model (SAC-SMA) coupled with SNOW-.,"Four sensitivity analysis methods were tested: () local analysis using parameter estimation software (PEST), () regional sensitivity analysis (RSA), () analysis of variance (ANOVA), and () Sobol's method.","Comparative results for the  sensitivity methods are presented for a -year time series with  h,  h, and  h time intervals.",Differences between the two adjacent watersheds also suggest strong influences of local physical characteristics on the sensitivity methods' results.
10.1016/j.ecoleng.2014.11.006,Development of the integrated fuzzy analytical hierarchy process with multidimensional scaling in selection of natural wastewater treatment alternatives (2015),"The method was evaluated via specific programming language software packages, and was applied to select natural wastewater treatment alternatives in a case study.",Sensitivity analysis was conducted and reflects the importance of weighing on alternative selection.,"Multi-criteria decision-making in selection of wastewater treatment alternatives has been explored widely, while few past studies comprehensively addressed the integration of various aspects (e.g., environmental, economical, ecological and management, and technical factors), which is a priority for decision-makers.",This is followed by the MDS method to determine the optimal alternative directly through the coordinates associated with each alternative in a two-dimensional configuration.,Results indicate the stabilization pond was the optimal alternative among five natural wastewater treatment systems.
10.1016/j.envsoft.2013.01.004,A model-independent Particle Swarm Optimisation software for model calibration (2013),"This work presents and illustrates the application of hydroPSO, a novel multi-OS and model-independent R package used for model calibration.","Although we limit the application of hydroPSO to hydrological models, flexibility of the package suggests it can be implemented in a wider range of models requiring some form of parameter optimisation.","hydroPSO allows the modeller to perform a standard modelling work flow including, sensitivity analysis, parameter calibration, and assessment of the calibration results, using a single piece of software.",hydroPSO implements several state-of-the-art enhancements and fine-tuning options to the Particle Swarm Optimisation (PSO) algorithm to meet specific user needs.,"We further illustrate the application of hydroPSO in two real-world case studies: we calibrate, first, a hydrological model for the Ega River Basin (Spain) and, second, a groundwater flow model for the Pampa del Tamarugal Aquifer (Chile)."
10.5194/hess-18-855-2014,PERSiST: a flexible rainfall-runoff modelling toolkit for use with the INCA family of models (2014),"Here, we present a flexible, semi-distributed landscape-scale rainfall-runoff modelling toolkit suitable for simulating a broad range of user-specified perceptual models of runoff generation and stream flow occurring in different climatic regions and landscape types.","Here, we apply PERSiST to the river Thames in the UK and describe a Monte Carlo tool for model calibration, sensitivity and uncertainty analysis.","Credible simulations of solute and pollutant transport in surface waters are dependent on models which facilitate appropriate, catchment-specific representations of perceptual models of the runoff generation process.",,
10.1155/2015/473172,Integrated Location-Production-Distribution Planning in a Multiproducts Supply Chain Network Design Model (2015),The LINGO software is used to solve the model for some problem cases.,"This paper proposes integrated location, production, and distribution planning for the supply chain network design which focuses on selecting the appropriate locations to build a new plant and distribution center while deciding the production and distribution of the product.",The study conducts various numerical experiments to illustrate the applicability of the developed model.,"In particular, the mathematical model considers the decision of how many plants and distribution centers to open and where to open them, as well as the allocation in each echelon.","We examine a multiechelon supply chain that includes suppliers, plants, and distribution centers and develop a mathematical model that aims at minimizing the total cost of the supply chain."
10.1016/S0965-9978(02)00023-6,A computer program for a Monte Carlo analysis of sensitivity in equations of environmental modelling obtained from experimental data (2002),The authors consider that it is useful to obtain new parameters that relate the sensitivity of the equations to the variations that are produced by the experimental data.,"On the other hand, they discuss a computing algorithm that allows the analysis of sensitivity (and stability) of the mathematical equations, which are built from any methodology.","On the one hand, the authors present a theoretical study of sensitivity of the models according to different points of view.","There are studies of sensitivity of the sample of data, as found by Bolado and Alonso [Proceedings SAMO ].",This will allow the selection of the model according to new criteria.
10.1016/j.advengsoft.2010.09.004,Efficient solution for Galerkin-based polynomial chaos expansion systems (2010),"Furthermore, these algorithms can be used also for the implementation purposes of SFEM's within general purpose software by increasing the ease of the use of these tools and hence leading to an improved user-comfort.",The proposed algorithms aim to enable the use of the PCG solver and IC preconditioner in a black-box fashion.,"In this study, approaches for the automated adjustment of the input parameters for these tools are to be introduced.","As a result, the requirement of the expertise for using these tools is removed to a certain extend.",
10.1016/j.apm.2010.02.035,"Reducing lost-sales rate in (T,R,L) inventory model with controllable lead time (2010)",Two computational algorithms with the help of the software Matlab are furnished to determine the optimal solution.,"In addition, six numerical examples and sensitivity analysis are presented to illustrate the theoretical results and obtain some managerial insights.","Finally, the effect of lost-sales rate reduction is investigated.","By framing this new model, we observe that a significant amount of savings can be easily achieved to increase the competitive edge in business.","Moreover, we assume that the lost-sales rate can also be reduced by capital investment."
